ANALYTE_NAME,total_meas,n_loc,use
"Alkalinity, Carbonate as CaCO3",1,1,
"BOD, carbonaceous",1,1,
Flow (Daily Mean),2,1,discard
Mercury,2,2,
Molybdenum,6,2,
Bolstar,8,1,discard
"2,4-D",10,1,discard
Acesulfame K,10,1,discard
Acetamiprid,10,1,discard
Afidopyropen,10,1,discard
Aminomethylphosphonic acid,10,1,discard
Bentazon,10,1,discard
Benzovindiflupyr,10,1,discard
Clothianidin,10,1,discard
Dinotefuran,10,1,discard
Endothall,10,1,discard
Fenuron,10,1,discard
Glufosinate,10,1,discard
Glyphosate,10,1,discard
Hydrocodone,10,1,discard
Ibuprofen,10,1,discard
Imazapyr,10,1,discard
MCPP,10,1,discard
Mandestrobin,10,1,discard
Naproxen,10,1,discard
Pyraclostrobin,10,1,discard
Thiamethoxam,10,1,discard
Tolfenpyrad,10,1,discard
Triclopyr,10,1,discard
Dichlorovos (DDVP),11,1,discard
Dimethoate,11,1,discard
Naled,11,1,discard
Parathion,11,1,discard
Phosdrin,11,1,discard
Enterococci (MPN),14,1,
Bromide,16,3,
Flow,16,1,discard
Color440F22,18,2,
Fluridone,19,3,discard
Aldrin,20,1,discard
Atrazine,20,1,discard
Azinphos-methyl,20,1,discard
BHC-alpha,20,1,discard
BHC-beta,20,1,discard
BHC-delta,20,1,discard
BHC-gamma (Lindane),20,1,discard
"Chlordane, cis",20,1,discard
"Chlordane, gamma",20,1,discard
Chlorpyrifos-methyl,20,1,discard
Coumaphos,20,1,discard
"DDD, p,p'- ***retired*** (Use DDD)",20,1,discard
"DDE, p,p'-, or 4,4'-DDE ***retired*** (use DDE)",20,1,discard
"DDT, p,p'-, or 4,4'-DDT ***retired*** (use DDT)",20,1,discard
Diazinon,20,1,discard
Dieldrin,20,1,discard
Disulfoton,20,1,discard
Endosulfan Sulfate,20,1,discard
"Endosulfan, alpha-",20,1,discard
"Endosulfan, beta-",20,1,discard
Endrin,20,1,discard
Endrin Aldehyde,20,1,discard
Endrin ketone,20,1,discard
Ethion,20,1,discard
Ethoprop,20,1,discard
Fensulfothion,20,1,discard
Fenthion,20,1,discard
Heptachlor,20,1,discard
Heptachlor epoxide,20,1,discard
Malathion,20,1,discard
Methoxychlor,20,1,discard
Methyl parathion,20,1,discard
Mirex,20,1,discard
PCB-008,20,1,discard
PCB-018,20,1,discard
PCB-028,20,1,discard
PCB-044,20,1,discard
PCB-052,20,1,discard
PCB-066,20,1,discard
Pcb-101,20,1,discard
Pcb-105,20,1,discard
Pcb-118,20,1,discard
Pcb-153,20,1,discard
Pcb-170,20,1,discard
Pcb-180,20,1,discard
Pcb-195,20,1,discard
Pcb-206,20,1,discard
Phorate,20,1,discard
Ronnel,20,1,discard
Diuron,22,3,discard
Imidacloprid,22,3,discard
Lead,22,6,
Linuron,22,3,discard
Acetaminophen,23,3,discard
Carbamazepine,23,3,discard
Primidone,23,3,discard
Sucralose,34,3,discard
"Nitrogen, ammonia (NH3) as NH3",40,3,
Phosphorus,48,1,
Hardness- Calculated (CaCO3),50,1,
Zinc,53,7,
Methyl-t-butyl ether,56,2,discard
Nitrogen ion (N),60,1,
"Nitrogen, ammonia (NH3) + ammonium (NH4)",60,1,
TotalDissolvedSolids,66,2,
TotalSolids,66,2,
"Hardness, Ca + Mg",67,3,
Nickel,70,5,
True Color,76,3,
Aluminum,82,5,
"Solids, Total Suspended (TSS)",88,2,
Boron,97,4,
Conductivity,97,2,
Antimony,99,5,
