"title","Q_cfs_log_round","wq_orig"
"Nitrogen Hillsborough R at Morris Br",-8.082,NA
"Nitrogen Hillsborough R at Morris Br",-8.081,NA
"Nitrogen Hillsborough R at Morris Br",-8.08,NA
"Nitrogen Hillsborough R at Morris Br",-8.079,NA
"Nitrogen Hillsborough R at Morris Br",-8.078,NA
"Nitrogen Hillsborough R at Morris Br",-8.077,NA
"Nitrogen Hillsborough R at Morris Br",-8.076,NA
"Nitrogen Hillsborough R at Morris Br",-8.075,NA
"Nitrogen Hillsborough R at Morris Br",-8.074,NA
"Nitrogen Hillsborough R at Morris Br",-8.073,NA
"Nitrogen Hillsborough R at Morris Br",-8.072,NA
"Nitrogen Hillsborough R at Morris Br",-8.071,NA
"Nitrogen Hillsborough R at Morris Br",-8.07,NA
"Nitrogen Hillsborough R at Morris Br",-8.069,NA
"Nitrogen Hillsborough R at Morris Br",-8.068,NA
"Nitrogen Hillsborough R at Morris Br",-8.067,NA
"Nitrogen Hillsborough R at Morris Br",-8.066,NA
"Nitrogen Hillsborough R at Morris Br",-8.065,NA
"Nitrogen Hillsborough R at Morris Br",-8.064,NA
"Nitrogen Hillsborough R at Morris Br",-8.063,NA
"Nitrogen Hillsborough R at Morris Br",-8.062,NA
"Nitrogen Hillsborough R at Morris Br",-8.061,NA
"Nitrogen Hillsborough R at Morris Br",-8.06,NA
"Nitrogen Hillsborough R at Morris Br",-8.059,NA
"Nitrogen Hillsborough R at Morris Br",-8.058,NA
"Nitrogen Hillsborough R at Morris Br",-8.057,NA
"Nitrogen Hillsborough R at Morris Br",-8.056,NA
"Nitrogen Hillsborough R at Morris Br",-8.055,NA
"Nitrogen Hillsborough R at Morris Br",-8.054,NA
"Nitrogen Hillsborough R at Morris Br",-8.053,NA
"Nitrogen Hillsborough R at Morris Br",-8.052,NA
"Nitrogen Hillsborough R at Morris Br",-8.051,NA
"Nitrogen Hillsborough R at Morris Br",-8.05,NA
"Nitrogen Hillsborough R at Morris Br",-8.049,NA
"Nitrogen Hillsborough R at Morris Br",-8.048,NA
"Nitrogen Hillsborough R at Morris Br",-8.047,NA
"Nitrogen Hillsborough R at Morris Br",-8.046,NA
"Nitrogen Hillsborough R at Morris Br",-8.045,NA
"Nitrogen Hillsborough R at Morris Br",-8.044,NA
"Nitrogen Hillsborough R at Morris Br",-8.043,NA
"Nitrogen Hillsborough R at Morris Br",-8.042,NA
"Nitrogen Hillsborough R at Morris Br",-8.041,NA
"Nitrogen Hillsborough R at Morris Br",-8.04,NA
"Nitrogen Hillsborough R at Morris Br",-8.039,NA
"Nitrogen Hillsborough R at Morris Br",-8.038,NA
"Nitrogen Hillsborough R at Morris Br",-8.037,NA
"Nitrogen Hillsborough R at Morris Br",-8.036,NA
"Nitrogen Hillsborough R at Morris Br",-8.035,NA
"Nitrogen Hillsborough R at Morris Br",-8.034,NA
"Nitrogen Hillsborough R at Morris Br",-8.033,NA
"Nitrogen Hillsborough R at Morris Br",-8.032,NA
"Nitrogen Hillsborough R at Morris Br",-8.031,NA
"Nitrogen Hillsborough R at Morris Br",-8.03,NA
"Nitrogen Hillsborough R at Morris Br",-8.029,NA
"Nitrogen Hillsborough R at Morris Br",-8.028,NA
"Nitrogen Hillsborough R at Morris Br",-8.027,NA
"Nitrogen Hillsborough R at Morris Br",-8.026,NA
"Nitrogen Hillsborough R at Morris Br",-8.025,NA
"Nitrogen Hillsborough R at Morris Br",-8.024,NA
"Nitrogen Hillsborough R at Morris Br",-8.023,NA
"Nitrogen Hillsborough R at Morris Br",-8.022,NA
"Nitrogen Hillsborough R at Morris Br",-8.021,NA
"Nitrogen Hillsborough R at Morris Br",-8.02,NA
"Nitrogen Hillsborough R at Morris Br",-8.019,NA
"Nitrogen Hillsborough R at Morris Br",-8.018,NA
"Nitrogen Hillsborough R at Morris Br",-8.017,NA
"Nitrogen Hillsborough R at Morris Br",-8.016,NA
"Nitrogen Hillsborough R at Morris Br",-8.015,NA
"Nitrogen Hillsborough R at Morris Br",-8.014,NA
"Nitrogen Hillsborough R at Morris Br",-8.013,NA
"Nitrogen Hillsborough R at Morris Br",-8.012,NA
"Nitrogen Hillsborough R at Morris Br",-8.011,NA
"Nitrogen Hillsborough R at Morris Br",-8.01,NA
"Nitrogen Hillsborough R at Morris Br",-8.009,NA
"Nitrogen Hillsborough R at Morris Br",-8.008,NA
"Nitrogen Hillsborough R at Morris Br",-8.007,NA
"Nitrogen Hillsborough R at Morris Br",-8.006,NA
"Nitrogen Hillsborough R at Morris Br",-8.005,NA
"Nitrogen Hillsborough R at Morris Br",-8.004,NA
"Nitrogen Hillsborough R at Morris Br",-8.003,NA
"Nitrogen Hillsborough R at Morris Br",-8.002,NA
"Nitrogen Hillsborough R at Morris Br",-8.001,NA
"Nitrogen Hillsborough R at Morris Br",-8,NA
"Nitrogen Hillsborough R at Morris Br",-7.999,NA
"Nitrogen Hillsborough R at Morris Br",-7.998,NA
"Nitrogen Hillsborough R at Morris Br",-7.997,NA
"Nitrogen Hillsborough R at Morris Br",-7.996,NA
"Nitrogen Hillsborough R at Morris Br",-7.995,NA
"Nitrogen Hillsborough R at Morris Br",-7.994,NA
"Nitrogen Hillsborough R at Morris Br",-7.993,NA
"Nitrogen Hillsborough R at Morris Br",-7.992,NA
"Nitrogen Hillsborough R at Morris Br",-7.991,NA
"Nitrogen Hillsborough R at Morris Br",-7.99,NA
"Nitrogen Hillsborough R at Morris Br",-7.989,NA
"Nitrogen Hillsborough R at Morris Br",-7.988,NA
"Nitrogen Hillsborough R at Morris Br",-7.987,NA
"Nitrogen Hillsborough R at Morris Br",-7.986,NA
"Nitrogen Hillsborough R at Morris Br",-7.985,NA
"Nitrogen Hillsborough R at Morris Br",-7.984,NA
"Nitrogen Hillsborough R at Morris Br",-7.983,NA
"Nitrogen Hillsborough R at Morris Br",-7.982,NA
"Nitrogen Hillsborough R at Morris Br",-7.981,NA
"Nitrogen Hillsborough R at Morris Br",-7.98,NA
"Nitrogen Hillsborough R at Morris Br",-7.979,NA
"Nitrogen Hillsborough R at Morris Br",-7.978,NA
"Nitrogen Hillsborough R at Morris Br",-7.977,NA
"Nitrogen Hillsborough R at Morris Br",-7.976,NA
"Nitrogen Hillsborough R at Morris Br",-7.975,NA
"Nitrogen Hillsborough R at Morris Br",-7.974,NA
"Nitrogen Hillsborough R at Morris Br",-7.973,NA
"Nitrogen Hillsborough R at Morris Br",-7.972,NA
"Nitrogen Hillsborough R at Morris Br",-7.971,NA
"Nitrogen Hillsborough R at Morris Br",-7.97,NA
"Nitrogen Hillsborough R at Morris Br",-7.969,NA
"Nitrogen Hillsborough R at Morris Br",-7.968,NA
