"title","Q_cfs_log_round","wq_orig"
"Phosphorus Alafia R at Lithia",-8.082,NA
"Phosphorus Alafia R at Lithia",-8.081,NA
"Phosphorus Alafia R at Lithia",-8.08,NA
"Phosphorus Alafia R at Lithia",-8.079,NA
"Phosphorus Alafia R at Lithia",-8.078,NA
"Phosphorus Alafia R at Lithia",-8.077,NA
"Phosphorus Alafia R at Lithia",-8.076,NA
"Phosphorus Alafia R at Lithia",-8.075,NA
"Phosphorus Alafia R at Lithia",-8.074,NA
"Phosphorus Alafia R at Lithia",-8.073,NA
"Phosphorus Alafia R at Lithia",-8.072,NA
"Phosphorus Alafia R at Lithia",-8.071,NA
"Phosphorus Alafia R at Lithia",-8.07,NA
"Phosphorus Alafia R at Lithia",-8.069,NA
"Phosphorus Alafia R at Lithia",-8.068,NA
"Phosphorus Alafia R at Lithia",-8.067,NA
"Phosphorus Alafia R at Lithia",-8.066,NA
"Phosphorus Alafia R at Lithia",-8.065,NA
"Phosphorus Alafia R at Lithia",-8.064,NA
"Phosphorus Alafia R at Lithia",-8.063,NA
"Phosphorus Alafia R at Lithia",-8.062,NA
"Phosphorus Alafia R at Lithia",-8.061,NA
"Phosphorus Alafia R at Lithia",-8.06,NA
"Phosphorus Alafia R at Lithia",-8.059,NA
"Phosphorus Alafia R at Lithia",-8.058,NA
"Phosphorus Alafia R at Lithia",-8.057,NA
"Phosphorus Alafia R at Lithia",-8.056,NA
"Phosphorus Alafia R at Lithia",-8.055,NA
"Phosphorus Alafia R at Lithia",-8.054,NA
"Phosphorus Alafia R at Lithia",-8.053,NA
"Phosphorus Alafia R at Lithia",-8.052,NA
"Phosphorus Alafia R at Lithia",-8.051,NA
"Phosphorus Alafia R at Lithia",-8.05,NA
"Phosphorus Alafia R at Lithia",-8.049,NA
"Phosphorus Alafia R at Lithia",-8.048,NA
"Phosphorus Alafia R at Lithia",-8.047,NA
"Phosphorus Alafia R at Lithia",-8.046,NA
"Phosphorus Alafia R at Lithia",-8.045,NA
"Phosphorus Alafia R at Lithia",-8.044,NA
"Phosphorus Alafia R at Lithia",-8.043,NA
"Phosphorus Alafia R at Lithia",-8.042,NA
"Phosphorus Alafia R at Lithia",-8.041,NA
"Phosphorus Alafia R at Lithia",-8.04,NA
"Phosphorus Alafia R at Lithia",-8.039,NA
"Phosphorus Alafia R at Lithia",-8.038,NA
"Phosphorus Alafia R at Lithia",-8.037,NA
"Phosphorus Alafia R at Lithia",-8.036,NA
"Phosphorus Alafia R at Lithia",-8.035,NA
"Phosphorus Alafia R at Lithia",-8.034,NA
"Phosphorus Alafia R at Lithia",-8.033,NA
"Phosphorus Alafia R at Lithia",-8.032,NA
"Phosphorus Alafia R at Lithia",-8.031,NA
"Phosphorus Alafia R at Lithia",-8.03,NA
"Phosphorus Alafia R at Lithia",-8.029,NA
"Phosphorus Alafia R at Lithia",-8.028,NA
"Phosphorus Alafia R at Lithia",-8.027,NA
"Phosphorus Alafia R at Lithia",-8.026,NA
"Phosphorus Alafia R at Lithia",-8.025,NA
"Phosphorus Alafia R at Lithia",-8.024,NA
"Phosphorus Alafia R at Lithia",-8.023,NA
"Phosphorus Alafia R at Lithia",-8.022,NA
"Phosphorus Alafia R at Lithia",-8.021,NA
"Phosphorus Alafia R at Lithia",-8.02,NA
"Phosphorus Alafia R at Lithia",-8.019,NA
"Phosphorus Alafia R at Lithia",-8.018,NA
