"date","Name","USGS","ANALYTE_GROUP2","remark","value"
2013-01-08,"Alafia R at Lithia",2301500,"Alkalinity",NA,104
2013-01-08,"Alafia R at Lithia",2301500,"Chlorophyll",NA,1.3
2013-01-08,"Alafia R at Lithia",2301500,"Color",NA,59
2013-01-08,"Alafia R at Lithia",2301500,"DO",NA,8.48
2013-01-08,"Alafia R at Lithia",2301500,"Fluoride",NA,1.4
2013-01-08,"Alafia R at Lithia",2301500,"Phosphorus",NA,1.1
2013-01-08,"Alafia R at Lithia",2301500,"TOC",NA,12
2013-01-08,"Alafia R at Lithia",2301500,"Temperature",NA,18.3
2013-01-08,"Alafia R at Lithia",2301500,"Turbidity",NA,2.5
2013-01-08,"Alafia R at Lithia",2301500,"pH",NA,7.5
2013-01-22,"Hillsborough R at Morris Br",2303330,"Chlorophyll",NA,5.62
2013-01-22,"Hillsborough R at Morris Br",2303330,"Color",NA,17.6
2013-01-22,"Hillsborough R at Morris Br",2303330,"DO",NA,8.82
2013-01-22,"Hillsborough R at Morris Br",2303330,"Fluoride",NA,0.22
2013-01-22,"Hillsborough R at Morris Br",2303330,"Nitrogen",NA,1.482
2013-01-22,"Hillsborough R at Morris Br",2303330,"Phosphorus",NA,0.111
2013-01-22,"Hillsborough R at Morris Br",2303330,"Salinity",NA,0.18
2013-01-22,"Hillsborough R at Morris Br",2303330,"TOC",NA,5.7
2013-01-22,"Hillsborough R at Morris Br",2303330,"Temperature",NA,18.05
2013-01-22,"Hillsborough R at Morris Br",2303330,"Turbidity",NA,2.3
2013-01-22,"Hillsborough R at Morris Br",2303330,"pH",NA,7.91
2013-01-29,"Alafia R at Bell Shoals",2301500,"Chlorophyll",NA,4.14
2013-01-29,"Alafia R at Bell Shoals",2301500,"Color",NA,19.4
2013-01-29,"Alafia R at Bell Shoals",2301500,"DO",NA,7.4025
2013-01-29,"Alafia R at Bell Shoals",2301500,"Fluoride",NA,1.04
2013-01-29,"Alafia R at Bell Shoals",2301500,"Nitrogen",NA,2.257
2013-01-29,"Alafia R at Bell Shoals",2301500,"Phosphorus",NA,0.604
2013-01-29,"Alafia R at Bell Shoals",2301500,"Salinity",NA,0.25
2013-01-29,"Alafia R at Bell Shoals",2301500,"TOC",NA,7.3
2013-01-29,"Alafia R at Bell Shoals",2301500,"Temperature",NA,19.63
2013-01-29,"Alafia R at Bell Shoals",2301500,"Turbidity",NA,1.3
2013-01-29,"Alafia R at Bell Shoals",2301500,"pH",NA,7.89
2013-01-29,"Alafia R at Lithia",2301500,"Chlorophyll",NA,3.38
2013-01-29,"Alafia R at Lithia",2301500,"Color",NA,30.2
2013-01-29,"Alafia R at Lithia",2301500,"DO",NA,9.8
2013-01-29,"Alafia R at Lithia",2301500,"Fluoride",NA,1.54
2013-01-29,"Alafia R at Lithia",2301500,"Nitrogen",NA,1.731
2013-01-29,"Alafia R at Lithia",2301500,"Phosphorus",NA,1
2013-01-29,"Alafia R at Lithia",2301500,"Salinity",NA,0.24
2013-01-29,"Alafia R at Lithia",2301500,"TOC",NA,12
2013-01-29,"Alafia R at Lithia",2301500,"Temperature",NA,17.45
2013-01-29,"Alafia R at Lithia",2301500,"Turbidity",NA,1.8
2013-01-29,"Alafia R at Lithia",2301500,"pH",NA,8.09
2013-02-07,"Alafia R at Lithia",2301500,"Alkalinity",NA,129
2013-02-07,"Alafia R at Lithia",2301500,"Chlorophyll",NA,0.74
2013-02-07,"Alafia R at Lithia",2301500,"Color",NA,41
2013-02-07,"Alafia R at Lithia",2301500,"DO",NA,10.365
2013-02-07,"Alafia R at Lithia",2301500,"Fluoride",NA,1.5
2013-02-07,"Alafia R at Lithia",2301500,"Phosphorus",NA,1
2013-02-07,"Alafia R at Lithia",2301500,"TOC",NA,11
2013-02-07,"Alafia R at Lithia",2301500,"Temperature",NA,16.2
2013-02-07,"Alafia R at Lithia",2301500,"Turbidity",NA,1.4
2013-02-07,"Alafia R at Lithia",2301500,"pH",NA,7.9
2013-02-18,"Hillsborough R at Morris Br",2303330,"Chlorophyll",NA,5.06
2013-02-18,"Hillsborough R at Morris Br",2303330,"Color",NA,11.4
2013-02-18,"Hillsborough R at Morris Br",2303330,"DO",NA,8.79
2013-02-18,"Hillsborough R at Morris Br",2303330,"Fluoride",NA,0.19
2013-02-18,"Hillsborough R at Morris Br",2303330,"Nitrogen",NA,1.681
2013-02-18,"Hillsborough R at Morris Br",2303330,"Phosphorus",NA,0.086
2013-02-18,"Hillsborough R at Morris Br",2303330,"Salinity",NA,0.19
2013-02-18,"Hillsborough R at Morris Br",2303330,"TOC",NA,3.6
2013-02-18,"Hillsborough R at Morris Br",2303330,"Temperature",NA,13.28
2013-02-18,"Hillsborough R at Morris Br",2303330,"Turbidity",NA,1.7
