ANALYTE_GROUP,Name,USGS,USGS_start,USGS_end,USGS_SFN_start,USGS_SFN_end,USGS_GFN_start,USGS_GFN_end,WQ_start,WQ_end,WQ_SFN_start,WQ_SFN_end,WQ_GFN_start,WQ_GFN_end,blankTime_start,blankTime_end,years
Alkalinity,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,09/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Chloride,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,09/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Dissolved oxygen,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Fluoride,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Nitrate-nitrite as N,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Organic nitrogen,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Orthophosphate as P,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
pH,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Specific conductance,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Sulfate,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,2/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Temperature,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Total dissolved solids,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Total organic carbon,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Total phosphorus as P,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
True color,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/2005,12/31/2022,1/1/1995,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2022,1/1/2005,12/31/2019,,,15
Turbidity,Alafia R at Lithia,2301500,1/1/1933,12/31/2022,1/1/1999,12/31/2022,1/1/1989,12/31/2022,10/1/1998,12/31/2022,1/1/1999,12/31/2022,1/1/1999,12/31/2019,,,21
Dissolved oxygen,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Fluoride,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Nitrate-nitrite as N,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Organic nitrogen,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1977,12/31/2022,1/1/1967,12/31/2022,2/1/1977,12/31/2022,1/1/1977,12/31/2022,1/1/1977,12/31/2019,,,43
Orthophosphate as P,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
pH,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Specific conductance,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Sulfate,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1974,12/31/2022,1/1/1964,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2022,1/1/1974,12/31/2019,,,46
Temperature,Alafia R North Pr,2301000,1/1/1951,12/31/2022,1/1/1976,12/31/2022,1/1/1966,12/31/2022,1/1/1976,12/31/2022,1/1/1976,12/31/2022,1/1/1976,12/31/2019,,,44
