"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30"
1973-01-01,4.89881442178118,44925,1,1,1973.00079908676,1477,1973,1,1.58899322110228,NA,NA
1973-01-02,4.72891334356912,44926,1,2,1973.00353881279,1477,1973,2,1.55369543902125,NA,NA
1973-01-03,4.5023785726197,44927,1,3,1973.00627853881,1477,1973,3,1.50460582882473,NA,NA
1973-01-04,4.27584380167028,44928,1,4,1973.00901826484,1477,1973,4,1.45298146341942,NA,NA
1973-01-05,4.13425956982689,44929,1,5,1973.01175799087,1477,1973,5,1.41930824831283,NA,NA
1973-01-06,4.04930903072086,44930,1,6,1973.01449771689,1477,1973,6,1.3985462568644,NA,NA
1973-01-07,3.93604164524615,44931,1,7,1973.01723744292,1477,1973,7,1.37017555973519,4.36079434077631,NA
1973-01-08,3.85109110614012,44932,1,8,1973.01997716895,1477,1973,8,1.34835651234055,4.21111958139902,NA
1973-01-09,3.70950687429673,44933,1,9,1973.02271689498,1477,1973,9,1.31089894980565,4.06549008578868,NA
1973-01-10,3.59623948882202,44934,1,10,1973.025456621,1477,1973,10,1.27988871306309,3.93604164524615,NA
1973-01-11,4.47406172625102,44935,1,11,1973.02819634703,1477,1973,11,1.49829665963146,3.96435849161483,NA
1973-01-12,4.95544811451854,44936,1,12,1973.03093607306,1477,1973,12,1.60048760052801,4.08167114085649,NA
1973-01-13,5.15366603909928,44937,1,13,1973.03367579909,1477,1973,13,1.63970831368129,4.23943642776769,NA
1973-01-14,5.52178504189208,44938,1,14,1973.03641552511,1477,1973,14,1.70870118516824,4.46597119871711,NA
1973-01-15,5.94653773742224,44939,1,15,1973.03915525114,1477,1973,15,1.78280915732197,4.7653207174717,NA
1973-01-16,6.08812196926563,44940,1,16,1973.04189497717,1477,1973,16,1.80633965473216,5.10512287389583,NA
1973-01-17,5.91822089105357,44941,1,17,1973.0446347032,1477,1973,17,1.77803587856931,5.43683450278605,NA
1973-01-18,5.60673558099812,44942,1,18,1973.04737442922,1477,1973,18,1.72396865729903,5.59864505346421,NA
1973-01-19,5.32356711731134,44943,1,19,1973.05011415525,1477,1973,19,1.67214358943445,5.65123348243461,NA
1973-01-20,5.1253491927306,44944,1,20,1973.05285388128,1477,1973,20,1.63419865787032,5.64718821866765,NA
1973-01-21,4.95544811451854,44945,1,21,1973.05559360731,1477,1973,21,1.60048760052801,5.56628294332858,NA
1973-01-22,5.32356711731134,44946,1,22,1973.05833333333,1477,1973,22,1.67214358943445,5.47728714045559,NA
1973-01-23,6.17307250837166,44947,1,23,1973.06107305936,1477,1973,23,1.82019668939359,5.48942293175645,NA
1973-01-24,7.5039642876995,44948,1,24,1973.06381278539,1477,1973,24,2.01543145259072,5.71595770270587,NA
1973-01-25,13.9885221061266,44949,1,25,1973.06655251142,1477,1973,25,2.63823714379242,6.91335577772423,NA
1973-01-26,19.1138712988572,44950,1,26,1973.06929223744,1477,1973,26,2.95041431747703,8.88339923223078,NA
1973-01-27,19.0572376061199,44951,1,27,1973.07203196347,1477,1973,27,2.94744695624923,10.8736690055721,NA
1973-01-28,18.2643659077969,44952,1,28,1973.0747716895,1477,1973,28,2.90495194340027,12.7749429760404,NA
1973-01-29,17.7829795195294,44953,1,29,1973.07751141553,1477,1973,29,2.8782417930727,14.5548590335002,NA
1973-01-30,18.6891186033271,44954,1,30,1973.08025114155,1477,1973,30,2.92794146162497,16.3428656184938,7.55493461116312
1973-01-31,19.2554555307006,44955,1,31,1973.08299086758,1477,1973,31,2.95779442477465,18.0216500817797,8.03348931479377
1973-02-01,17.9245637513728,44956,2,32,1973.08573059361,1478,1973,32,2.88617204874868,18.5839417453863,8.47334432838722
1973-02-02,16.3105035083582,44957,2,33,1973.08847031963,1478,1973,33,2.79180928730039,18.1834606324578,8.86694849291184
1973-02-03,15.2627801927171,44958,2,34,1973.09121004566,1478,1973,34,2.7254171975135,17.641395287686,9.23317970594673
1973-02-04,14.215056877076,44959,2,35,1973.09394977169,1478,1973,35,2.65430174629622,17.0629225690116,9.56920628285504
1973-02-05,13.7903041815459,44960,2,36,1973.09668949772,1478,1973,36,2.62396574968709,16.4925403778711,9.89390612121587
1973-02-06,13.167333561435,44961,2,37,1973.09942922374,1478,1973,37,2.57773903219186,15.7037139433151,10.2016158517555
1973-02-07,12.1196102457939,44962,2,38,1973.10216894977,1478,1973,38,2.49482482218629,14.6843074740427,10.4772331564106
1973-02-08,11.1285206228902,44963,2,39,1973.1049086758,1478,1973,39,2.40951123847376,13.7134441699738,10.7245336146971
