"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30"
1951-01-01,1.16326160280567,36889,1,1,1951.00079908676,1213,1951,1,0.151227786165835,NA,NA
1951-01-02,1.16326160280567,36890,1,2,1951.00353881279,1213,1951,2,0.151227786165835,NA,NA
1951-01-03,1.16326160280567,36891,1,3,1951.00627853881,1213,1951,3,0.151227786165835,NA,NA
1951-01-04,1.16326160280567,36892,1,4,1951.00901826484,1213,1951,4,0.151227786165835,NA,NA
1951-01-05,1.16326160280567,36893,1,5,1951.01175799087,1213,1951,5,0.151227786165835,NA,NA
1951-01-06,1.04999421733096,36894,1,6,1951.01449771689,1213,1951,6,0.0487846568504191,NA,NA
1951-01-07,1.04999421733096,36895,1,7,1951.01723744292,1213,1951,7,0.0487846568504191,1.13089949267004,NA
1951-01-08,1.04999421733096,36896,1,8,1951.01997716895,1213,1951,8,0.0487846568504191,1.11471843760222,NA
1951-01-09,1.04999421733096,36897,1,9,1951.02271689498,1213,1951,9,0.0487846568504191,1.09853738253441,NA
1951-01-10,0.993360524593608,36898,1,10,1951.025456621,1213,1951,10,-0.00666161477349654,1.07426579993268,NA
1951-01-11,0.965043678224931,36899,1,11,1951.02819634703,1213,1951,11,-0.0355819162582082,1.04594895356401,NA
1951-01-12,0.936726831856254,36900,1,12,1951.03093607306,1213,1951,12,-0.0653635740868334,1.01358684342838,NA
1951-01-13,0.880093139118899,36901,1,13,1951.03367579909,1213,1951,13,-0.127727537202693,0.989315260826653,NA
1951-01-14,0.880093139118899,36902,1,14,1951.03641552511,1213,1951,14,-0.127727537202693,0.96504367822493,NA
1951-01-15,0.880093139118899,36903,1,15,1951.03915525114,1213,1951,15,-0.127727537202693,0.940772095623207,NA
1951-01-16,0.880093139118899,36904,1,16,1951.04189497717,1213,1951,16,-0.127727537202693,0.916500513021484,NA
1951-01-17,0.851776292750222,36905,1,17,1951.0446347032,1213,1951,17,-0.160431353824197,0.896274194186715,NA
1951-01-18,0.851776292750222,36906,1,18,1951.04737442922,1213,1951,18,-0.160431353824197,0.880093139118899,NA
1951-01-19,0.823459446381544,36907,1,19,1951.05011415525,1213,1951,19,-0.194240976015358,0.863912084051083,NA
1951-01-20,0.823459446381544,36908,1,20,1951.05285388128,1213,1951,20,-0.194240976015358,0.855821556517175,NA
