"Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","i","LogQ","Q7","Q30"
1951-01-01,2.43949349037706,36889,1,1,1951.00079908676,1213,1951,1,0.891790431845133,NA,NA
1951-01-02,2.12800818032161,36890,1,2,1951.00353881279,1213,1951,2,0.755186415608105,NA,NA
1951-01-03,1.90147340937219,36891,1,3,1951.00627853881,1213,1951,3,0.642629064261154,NA,NA
1951-01-04,1.87315656300352,36892,1,4,1951.00901826484,1213,1951,4,0.627625009399154,NA,NA
1951-01-05,1.78820602389748,36893,1,5,1951.01175799087,1213,1951,5,0.581212896006775,NA,NA
1951-01-06,1.70325548479145,36894,1,6,1951.01449771689,1213,1951,6,0.532541410858119,NA,NA
1951-01-07,1.67493863842277,36895,1,7,1951.01723744292,1213,1951,7,0.515776530828546,1.92979025574087,NA
1951-01-08,1.6466217920541,36896,1,8,1951.01997716895,1213,1951,8,0.498725790371377,1.81652287026616,NA
1951-01-09,1.50503756021071,36897,1,9,1951.02271689498,1213,1951,9,0.408817854840058,1.72752706739318,NA
1951-01-10,1.42008702110468,36898,1,10,1951.025456621,1213,1951,10,0.350718152203561,1.65875758335496,NA
1951-01-11,1.391770174736,36899,1,11,1951.02819634703,1213,1951,11,0.330576443924682,1.58998809931674,NA
1951-01-12,1.36345332836732,36900,1,12,1951.03093607306,1213,1951,12,0.310020693430777,1.52930914281243,NA
1951-01-13,1.33513648199865,36901,1,13,1951.03367579909,1213,1951,13,0.289033520333558,1.47672071384203,NA
1951-01-14,1.30681963562997,36902,1,14,1951.03641552511,1213,1951,14,0.26759642636649,1.42413228487163,NA
1951-01-15,1.36345332836732,36903,1,15,1951.03915525114,1213,1951,15,0.310020693430777,1.38367964720209,NA
1951-01-16,1.391770174736,36904,1,16,1951.04189497717,1213,1951,16,0.330576443924682,1.36749859213428,NA
1951-01-17,1.27850278926129,36905,1,17,1951.0446347032,1213,1951,17,0.245689697413749,1.34727227329951,NA
1951-01-18,1.25018594289261,36906,1,18,1951.04737442922,1213,1951,18,0.223292294565473,1.32704595446474,NA
1951-01-19,1.25018594289261,36907,1,19,1951.05011415525,1213,1951,19,0.223292294565473,1.31086489939692,NA
1951-01-20,1.25018594289261,36908,1,20,1951.05285388128,1213,1951,20,0.223292294565473,1.29872910809606,NA
1951-01-21,1.27850278926129,36909,1,21,1951.05559360731,1213,1951,21,0.245689697413749,1.29468384432911,NA
1951-01-22,1.25018594289261,36910,1,22,1951.05833333333,1213,1951,22,0.223292294565473,1.27850278926129,NA
1951-01-23,1.22186909652394,36911,1,23,1951.06107305936,1213,1951,23,0.200381732690564,1.25423120665957,NA
1951-01-24,1.22186909652394,36912,1,24,1951.06381278539,1213,1951,24,0.200381732690564,1.24614067912566,NA
1951-01-25,1.22186909652394,36913,1,25,1951.06655251142,1213,1951,25,0.200381732690564,1.24209541535871,NA
1951-01-26,1.22186909652394,36914,1,26,1951.06929223744,1213,1951,26,0.200381732690564,1.23805015159175,NA
1951-01-27,1.16523540378658,36915,1,27,1951.07203196347,1213,1951,27,0.152923129941739,1.22591436029089,NA
1951-01-28,1.1369185574179,36916,1,28,1951.0747716895,1213,1951,28,0.128321582843088,1.20568804145612,NA
1951-01-29,1.10860171104923,36917,1,29,1951.07751141553,1213,1951,29,0.103099501434841,1.18546172262135,NA
1951-01-30,1.10860171104923,36918,1,30,1951.08025114155,1213,1951,30,0.103099501434841,1.16928066755354,1.43990881356275
1951-01-31,1.1369185574179,36919,1,31,1951.08299086758,1213,1951,31,0.128321582843088,1.15714487625268,1.39648964913078
1951-02-01,1.1369185574179,36920,2,32,1951.08573059361,1214,1951,32,0.128321582843088,1.14500908495181,1.36345332836732
1951-02-02,1.53335440657939,36921,2,33,1951.08847031963,1214,1951,33,0.427457758153842,1.18950698638831,1.3511826949409
1951-02-03,3.85533580881093,36922,2,34,1951.09121004566,1214,1951,34,1.34945811315943,1.57380704424893,1.41725533646781
1951-02-04,4.28008850434109,36923,2,35,1951.09394977169,1214,1951,35,1.45397368796427,2.02283132238081,1.50031808581593
1951-02-05,3.40226626691209,36924,2,36,1951.09668949772,1214,1951,36,1.22444175866873,2.35049768750408,1.55695177855329
1951-02-06,2.58107772222045,36925,2,37,1951.09942922374,1214,1951,37,0.94820703350294,2.56085140338568,1.58715641467987
1951-02-07,3.23236518870003,36926,2,38,1951.10216894977,1214,1951,38,1.17321412582901,2.86020092214027,1.64001452790141
1951-02-08,4.19513796523506,36927,2,39,1951.1049086758,1214,1951,39,1.43392622739626,3.29708940897129,1.72968454140222
1951-02-09,3.7703852697049,36928,2,40,1951.10764840183,1214,1951,40,1.32717718979419,3.61666524656065,1.80802781635556
1951-02-10,2.69434510769516,36929,2,41,1951.11038812785,1214,1951,41,0.991155172120503,3.45080943211554,1.85144698078753
1951-02-11,2.29790925853368,36930,2,42,1951.11312785388,1214,1951,42,0.831999691498833,3.16764096842877,1.88259551179308
1951-02-12,2.04305764121558,36931,2,43,1951.11586757991,1214,1951,43,0.714447529444125,2.97346830761498,1.90619288376697
1951-02-13,1.87315656300352,36932,2,44,1951.11860730594,1214,1951,44,0.627625009399154,2.87233671344113,1.92507078134609
1951-02-14,1.75988917752881,36933,2,45,1951.12134703196,1214,1951,45,0.56525083975436,2.66198299755953,1.93828530965147
1951-02-15,1.70325548479145,36934,2,46,1951.12408675799,1214,1951,46,0.532541410858119,2.30599978606759,1.94866815331999
1951-02-16,1.61830494568542,36935,2,47,1951.12682648402,1214,1951,47,0.481379271635286,1.99855973977909,1.95999489186746
1951-02-17,1.53335440657939,36936,2,48,1951.12956621005,1214,1951,48,0.427457758153842,1.83270392533398,1.96943384065702
1951-02-18,1.47672071384203,36937,2,49,1951.13230593607,1214,1951,49,0.3898238955151,1.71539127609232,1.97698499968867
1951-02-19,1.42008702110468,36938,2,50,1951.1350456621,1214,1951,50,0.350718152203561,1.62639547321933,1.9826483689624
