"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
1999-01-19,15,15,1,15,54439,1,19,1999.05011415525,1789,1999,0.309699068289347,0.950834626578518
1999-02-16,17,17,1,17,54467,2,47,1999.12682648402,1790,1999,0.715174894662146,0.698945541544538
1999-03-16,30,30,1,30,54495,3,76,1999.20353881279,1791,1999,0.957691858548284,0.287795594251084
1999-04-20,14,14,1,14,54530,4,111,1999.29942922374,1792,1999,0.952158623399617,-0.305604247165753
1999-05-18,12,12,1,12,54558,5,139,1999.37614155251,1793,1999,0.702016851671859,-0.712160333049188
1999-06-15,16,16,1,16,54586,6,167,1999.45285388128,1794,1999,0.291914392776864,-0.956444450707784
1999-07-20,19,19,1,19,54621,7,202,1999.54874429224,1795,1999,-0.30150376609026,-0.953464985740635
1999-08-17,16,16,1,16,54649,8,230,1999.625456621,1796,1999,-0.709132581851114,-0.705075160076692
1999-09-22,21,21,1,21,54685,9,266,1999.72408675799,1797,1999,-0.986774453813164,-0.162099282236944
1999-10-12,16,16,1,16,54705,10,286,1999.77888127854,1798,2000,-0.983580101616083,0.180472113371836
1999-11-16,19,19,1,19,54740,11,321,1999.8747716895,1799,2000,-0.70812041011755,0.706091697143475
1999-12-14,14,14,1,14,54768,12,349,1999.95148401826,1800,2000,-0.300135694422247,0.953896516889372
2000-01-18,17,17,1,17,54803,1,18,2000.04724499089,1801,2000,0.292508510473111,0.956262919547131
2000-02-15,16,16,1,16,54831,2,46,2000.12374772313,1802,2000,0.701521230707595,0.712648554945916
2000-03-14,12,12,1,12,54859,3,74,2000.20025045537,1803,2000,0.951541625415076,0.307519975127529
2000-04-18,21,21,1,21,54894,4,109,2000.29587887067,1804,2000,0.958738433280386,-0.284289670144855
2000-05-16,10,10,1,10,54922,5,137,2000.37238160291,1805,2000,0.718643796073716,-0.695378382152306
2000-06-20,10,10,1,10,54957,6,172,2000.46801001821,1806,2000,0.199648301867768,-0.979867621447569
2000-07-18,21,21,1,21,54985,7,200,2000.54451275046,1807,2000,-0.276049884063123,-0.961143309558328
2000-08-15,17,17,1,17,55013,8,228,2000.6210154827,1808,2000,-0.689184299851782,-0.724586089321213
2000-09-19,16,16,1,16,55048,9,263,2000.716643898,1809,2000,-0.978117846924776,-0.208051622265342
2000-10-10,16,16,1,16,55069,10,284,2000.77402094718,1810,2001,-0.988631964235179,0.150355709211497
2000-11-14,11,11,1,11,55104,11,319,2000.86964936248,1811,2001,-0.730474996873791,0.682939440171846
2000-12-12,14,14,1,14,55132,12,347,2000.94615209472,1812,2001,-0.331918233875148,0.943308160688331
2001-01-16,15,15,1,15,55167,1,16,2001.04189497717,1813,2001,0.260204415527882,0.965553552186409
2001-02-20,12,12,1,12,55202,2,51,2001.13778538813,1814,2001,0.761569297970198,0.648083485663059
2001-03-20,11,11,1,11,55230,3,80,2001.2144977169,1815,2001,0.975223456540601,0.221222082561849
2001-04-17,16,16,1,16,55258,4,108,2001.29121004566,1816,2001,0.966664410572774,-0.256046709277803
2001-05-15,13,13,1,13,55286,5,136,2001.36792237443,1817,2001,0.737842413641468,-0.674973016224895
2001-06-19,24,24,1,24,55321,6,171,2001.46381278539,1818,2001,0.225416945479258,-0.974262388009925
2001-07-24,24,24,1,24,55356,7,206,2001.55970319635,1819,2001,-0.366389999105519,-0.930461374026594
2001-08-21,19,19,1,19,55384,8,234,2001.63641552511,1820,2001,-0.755963036226153,-0.654614304655601
2001-09-18,11,11,1,11,55412,9,262,2001.71312785388,1821,2001,-0.973283275625785,-0.229607633555903
