"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
1974-01-22,11.98,11.98,1,11.98,45311,1,22,1974.05833333333,1489,1974,0.358367949545282,0.933580426497209
1974-02-19,12.6,12.6,1,12.6,45339,2,50,1974.1350456621,1490,1974,0.750300771404051,0.661096628663681
1974-03-26,10.64,10.64,1,10.64,45374,3,86,1974.23093607306,1491,1974,0.992834687339266,0.119495956483645
1974-04-23,12.6,12.6,1,12.6,45402,4,114,1974.30764840183,1492,1974,0.935114031491054,-0.354346931845823
1974-05-21,10.8,10.8,1,10.8,45430,5,142,1974.38436073059,1493,1974,0.664319454837655,-0.747448768762248
1974-06-18,7.8,7.8,1,7.8,45458,6,170,1974.46107305936,1494,1974,0.242153872999231,-0.970237858358182
1974-07-16,9,9,1,9,45486,7,198,1974.53778538813,1495,1974,-0.23518858932529,-0.971949755620722
1974-08-14,2,2,1,2,45515,8,227,1974.61723744292,1496,1974,-0.671791432713541,-0.740740353249833
1974-09-10,6.3,6.3,1,6.3,45542,9,254,1974.69121004566,1497,1974,-0.932548415622419,-0.361044945290911
1974-10-08,8,8,1,8,45570,10,282,1974.76792237443,1498,1975,-0.99366623643891,0.112371751616374
1974-11-12,8.8,8.8,1,8.8,45605,11,317,1974.86381278539,1499,1975,-0.755023203248124,0.655698072711017
1974-12-17,7,7,1,7,45640,12,352,1974.95970319635,1500,1975,-0.250495737634989,0.96811770225872
1975-01-21,7,7,1,7,45675,1,21,1975.05559360731,1501,1975,0.342244801084734,0.939610821633335
1975-02-20,8,8,1,8,45705,2,51,1975.13778538813,1502,1975,0.761569297970856,0.648083485662286
1975-03-18,7.4,7.4,1,7.4,45731,3,78,1975.20901826484,1503,1975,0.967030719233071,0.254659749586715
1975-04-15,9,9,1,9,45759,4,106,1975.28573059361,1504,1975,0.974905106342369,-0.222620829276089
1975-05-13,10,10,1,10,45787,5,134,1975.36244292237,1505,1975,0.760638827793874,-0.649175302712881
1975-07-10,8.8,8.8,1,8.8,45845,7,192,1975.52134703196,1507,1975,-0.133725557340118,-0.991018403115742
1975-08-07,5.6,5.6,1,5.6,45873,8,220,1975.59805936073,1508,1975,-0.577877136941578,-0.81612377406874
1975-09-02,7,7,1,7,45899,9,246,1975.66929223744,1509,1975,-0.874155662091289,-0.485645836421707
1975-10-02,4.4,4.4,1,4.4,45929,10,276,1975.75148401826,1510,1976,-0.999956528453874,0.00932422664231255
1975-10-28,6,6,1,6,45955,10,302,1975.82271689498,1510,1976,-0.897427196749591,0.441162585147665
1975-12-02,5.8,5.8,1,5.8,45990,12,337,1975.91860730594,1512,1976,-0.489403301581506,0.872057571723978
