"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
1977-02-02,0.31,0.31,1,0.31,46418,2,33,1977.08847031963,1526,1977,0.527687111624513,0.849438821943863
1977-03-02,0.2,0.2,1,0.2,46446,3,62,1977.1651826484,1527,1977,0.861325643000292,0.508053281369319
1977-06-30,0.22,0.22,1,0.22,46566,6,182,1977.49394977169,1530,1977,0.0380055503321775,-0.999277528089143
1977-07-27,0.12,0.12,1,0.12,46593,7,209,1977.56792237443,1531,1977,-0.413931640417836,-0.910307968250855
1977-08-24,0.26,0.26,1,0.26,46621,8,237,1977.6446347032,1532,1977,-0.788746171185542,-0.614719023164363
1977-10-19,0.19,0.19,1,0.19,46677,10,293,1977.79805936073,1534,1978,-0.954753689407048,0.29739770100596
1977-11-16,0.95,0.95,1,0.95,46705,11,321,1977.8747716895,1535,1978,-0.708120410117537,0.706091697143488
1978-01-25,0.02,0.02,1,0.02,46775,1,25,1978.06655251142,1537,1978,0.406081290172607,0.913836957980881
1978-02-28,0.16,0.16,1,0.16,46809,2,59,1978.15970319635,1538,1978,0.843327209325719,0.537400426135759
1978-03-21,0.05,0.05,1,0.05,46830,3,81,1978.21723744292,1539,1978,0.978886941158735,0.204402437433843
1978-05-17,0.11,0.11,1,0.11,46887,5,138,1978.37340182648,1541,1978,0.714171509752948,-0.699970752715565
1978-06-14,0.02,0.02,1,0.02,46915,6,166,1978.45011415525,1542,1978,0.308334761483153,-0.951277916731555
1978-08-09,0.15,0.15,1,0.15,46971,8,222,1978.60353881279,1544,1978,-0.605626982965016,-0.795748677350262
1978-09-06,0.02,0.02,1,0.02,46999,9,250,1978.68025114155,1545,1978,-0.905497792170064,-0.424350973104975
1978-10-04,0.04,0.04,1,0.04,47027,10,278,1978.75696347032,1546,1979,-0.999043000046686,0.0437388163730631
1978-11-15,1.9,1.9,1,1.9,47069,11,320,1978.87203196347,1547,1979,-0.720169702299365,0.693797953218402
1978-12-18,0.15,0.15,1,0.15,47102,12,353,1978.96244292237,1548,1979,-0.233794069178652,0.972286137521711
1979-01-24,0.01,0.01,1,0.01,47139,1,24,1979.06381278539,1549,1979,0.39029092382278,0.920691585049826
1979-02-21,0.03,0.03,1,0.03,47167,2,52,1979.14052511416,1550,1979,0.772612155118767,0.634878301537179
1979-03-20,0.01,0.01,1,0.01,47194,3,80,1979.2144977169,1551,1979,0.975223456540606,0.22122208256183
1979-04-24,0.01,0.01,1,0.01,47229,4,115,1979.31038812785,1552,1979,0.928875984316426,-0.37039088239344
1979-05-17,0.01,0.01,1,0.01,47252,5,138,1979.37340182648,1553,1979,0.714171509752485,-0.699970752716037
1979-06-13,0.36,0.36,1,0.36,47279,6,165,1979.44737442922,1554,1979,0.324663763945221,-0.945829498578323
1979-07-11,0.01,0.01,1,0.01,47307,7,193,1979.52408675799,1555,1979,-0.150764497185587,-0.988569707399725
1979-08-09,0.01,0.01,1,0.01,47336,8,222,1979.60353881279,1556,1979,-0.605626982965542,-0.795748677349862
1979-09-05,0.01,0.01,1,0.01,47363,9,249,1979.67751141553,1557,1979,-0.89805912846496,-0.439874756926056
1979-10-03,0.01,0.01,1,0.01,47391,10,277,1979.75422374429,1558,1980,-0.999647872869745,0.0265354530203169
1979-10-31,0.01,0.01,1,0.01,47419,10,305,1979.83093607306,1558,1980,-0.873458095592752,0.486899327626854
1979-12-05,1.16,1.16,1,1.16,47454,12,340,1979.92682648402,1560,1980,-0.443735515421069,0.896157794338697
1980-01-31,0.02,0.02,1,0.02,47511,1,31,1980.08276411658,1561,1980,0.496899473798406,0.86780810836202
1980-02-27,0.01,0.01,1,0.01,47538,2,58,1980.15653460838,1562,1980,0.832461779229783,0.554082472310381
1980-04-23,0.55,0.55,1,0.55,47594,4,114,1980.30954007286,1564,1980,0.93083641120959,-0.365436144307663
1980-05-21,0.2,0.2,1,0.2,47622,5,142,1980.3860428051,1565,1980,0.656382874306414,-0.754427943754239
1980-06-18,0.1,0.1,1,0.1,47650,6,170,1980.46254553734,1566,1980,0.233167140261019,-0.97243667387779
1980-07-16,0.86,0.86,1,0.86,47678,7,198,1980.53904826958,1567,1980,-0.242893446149794,-0.970052974748017
1980-08-13,0.73,0.73,1,0.73,47706,8,226,1980.61555100182,1568,1980,-0.663904816414934,-0.747817086419569
1980-09-10,0.69,0.69,1,0.69,47734,9,254,1980.69205373406,1569,1980,-0.934449221362666,-0.356096409269606
1980-10-15,0.5,0.5,1,0.5,47769,10,289,1980.78768214936,1570,1981,-0.972102110506826,0.234558066900661
1980-11-13,0.76,0.76,1,0.76,47798,11,318,1980.86691712204,1571,1981,-0.742090923338755,0.67029923280445
1980-12-17,0.75,0.75,1,0.75,47832,12,352,1980.9598132969,1572,1981,-0.249825951157675,0.968290759084358
1981-01-28,0.5,0.5,1,0.5,47874,1,28,1981.0747716895,1573,1981,0.452711868879432,0.891656864368627
1981-02-25,0.8,0.8,1,0.8,47902,2,56,1981.15148401826,1574,1981,0.814462468064491,0.580216242546085
1981-03-25,0.5,0.5,1,0.5,47930,3,85,1981.22819634703,1575,1981,0.990630661708639,0.13656826894526
1981-05-06,0.45,0.45,1,0.45,47972,5,127,1981.34326484018,1577,1981,0.833159318479786,-0.55303304605629
1981-06-03,0.72,0.72,1,0.72,48000,6,155,1981.41997716895,1578,1981,0.481879376844498,-0.876237562634677
1981-07-29,0.38,0.38,1,0.38,48056,7,211,1981.57340182648,1579,1981,-0.445020612175003,-0.895520326256967
1981-08-26,1.07,1.07,1,1.07,48084,8,239,1981.65011415525,1580,1981,-0.809438380260984,-0.587204826751683
1981-09-23,1.95,1.95,1,1.95,48112,9,267,1981.72682648402,1581,1981,-0.989418525207678,-0.145089565358314
1981-10-15,0.65,0.65,1,0.65,48134,10,289,1981.78710045662,1582,1982,-0.972952898210682,0.231003588421122
1981-11-04,0.42,0.42,1,0.42,48154,11,309,1981.84189497717,1583,1982,-0.837888411228678,0.545841561562219
1981-12-09,0.97,0.97,1,0.97,48189,12,344,1981.93778538813,1584,1982,-0.381026166675084,0.924564254288955
1982-01-27,1.04,1.04,1,1.04,48238,1,27,1982.07203196347,1585,1982,0.437296387555434,0.899317446417542
1982-03-24,0.48,0.48,1,0.48,48294,3,84,1982.225456621,1587,1982,0.988133090833336,0.153600113281724
1982-04-21,0.54,0.54,1,0.54,48322,4,112,1982.30216894977,1588,1982,0.946757076076098,-0.321948814099133
1982-05-19,0.05,0.05,1,0.05,48350,5,140,1982.37888127854,1589,1982,0.689654170847902,-0.724138884905439
1982-06-16,0.31,0.31,1,0.31,48378,6,168,1982.45559360731,1590,1982,0.275407523537361,-0.961327569551096
1982-07-14,0.95,0.95,1,0.95,48406,7,196,1982.53230593607,1591,1982,-0.201593139736112,-0.979469349194418
1982-08-11,0.8,0.8,1,0.8,48434,8,224,1982.60901826484,1592,1982,-0.632659040783304,-0.774430460477343
1982-09-15,1.28,1.28,1,1.28,48469,9,259,1982.7049086758,1593,1982,-0.960133440579682,-0.279542083201477
1982-10-13,0.89,0.89,1,0.89,48497,10,287,1982.78162100457,1594,1983,-0.980327842846891,0.197376089076567
1982-11-17,0.61,0.61,1,0.61,48532,11,322,1982.87751141553,1595,1983,-0.695861286576765,0.718176210858957
1983-01-26,0.62,0.62,1,0.62,48602,1,26,1983.06929223744,1597,1983,0.421751325874169,0.906711541298213
1983-03-30,1.35,1.35,1,1.35,48665,3,90,1983.24189497717,1599,1983,0.998703584048327,0.0509033516482503
1983-04-27,0.4,0.4,1,0.4,48693,4,118,1983.31860730594,1600,1983,0.908518167892376,-0.417845352504346
1983-05-25,0.6,0.6,1,0.6,48721,5,146,1983.3953196347,1601,1983,0.611318931350365,-0.791384334045505
1983-06-22,0.68,0.68,1,0.68,48749,6,174,1983.47203196347,1602,1983,0.174825323021886,-0.984599464975628
1983-07-20,0.9,0.9,1,0.9,48777,7,202,1983.54874429224,1603,1983,-0.301503766090589,-0.953464985740531
1983-08-17,0.41,0.41,1,0.41,48805,8,230,1983.625456621,1604,1983,-0.709132581851358,-0.705075160076447
1983-09-14,1.1,1.1,1,1.1,48833,9,258,1983.70216894977,1605,1983,-0.955179329010985,-0.296027784895478
1983-10-12,0.4,0.4,1,0.4,48861,10,286,1983.77888127854,1606,1984,-0.983580101616349,0.180472113370386
