"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
2005-01-19,0.98,0.98,1,0.98,56631,1,19,2005.05011415525,1861,2005,0.309699068289656,0.950834626578418
2005-02-16,0.59,0.59,1,0.59,56659,2,47,2005.12682648402,1862,2005,0.715174894662374,0.698945541544306
2005-03-16,0.71,0.71,1,0.71,56687,3,76,2005.20353881279,1863,2005,0.957691858548377,0.287795594250772
2005-04-20,0.87,0.87,1,0.87,56722,4,111,2005.29942922374,1864,2005,0.952158623399517,-0.305604247166063
2005-05-18,1.26,1.26,1,1.26,56750,5,139,2005.37614155251,1865,2005,0.702016851671628,-0.712160333049417
2005-06-15,1.33,1.33,1,1.33,56778,6,167,2005.45285388128,1866,2005,0.291914392776552,-0.956444450707879
2005-07-20,0.76,0.76,1,0.76,56813,7,202,2005.54874429224,1867,2005,-0.30150376609057,-0.953464985740537
2005-08-17,0.78,0.78,1,0.78,56841,8,230,2005.625456621,1868,2005,-0.709132581851344,-0.705075160076461
2005-09-21,0.62,0.62,1,0.62,56876,9,265,2005.72134703196,1869,2005,-0.983837979851795,-0.179060965598699
2005-10-19,0.65,0.65,1,0.65,56904,10,293,2005.79805936073,1870,2006,-0.954753689407498,0.297397701004515
2005-11-16,0.62,0.62,1,0.62,56932,11,321,2005.8747716895,1871,2006,-0.708120410118605,0.706091697142417
2005-12-21,0.58,0.58,1,0.58,56967,12,356,2005.97066210046,1872,2006,-0.183293291870143,0.983058273529808
2006-01-18,0.77,0.77,1,0.77,56995,1,18,2006.04737442922,1873,2006,0.293286127957859,0.956024710531839
2006-02-15,0.63,0.63,1,0.63,57023,2,46,2006.12408675799,1874,2006,0.703037735243996,0.711152545395848
2006-03-15,0.445,0.445,1,0.445,57051,3,75,2006.20079908676,1875,2006,0.952596038101175,0.304238045276959
2006-04-19,0.42,0.42,1,0.42,57086,4,110,2006.29668949772,1876,2006,0.957278025574126,-0.289169123097371
2006-05-17,0.695,0.695,1,0.695,57114,5,138,2006.37340182648,1877,2006,0.714171509752734,-0.699970752715784
