"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
1999-01-07,1.7,1.7,1,1.7,54427,1,7,1999.01723744292,1789,1999,0.108094430321967,0.994140630963934
1999-02-09,2.1,2.1,1,2.1,54460,2,40,1999.10764840183,1790,1999,0.625970085969811,0.779847069284066
1999-03-02,1.6,1.6,1,1.6,54481,3,62,1999.1651826484,1791,1999,0.861325643000282,0.508053281369336
1999-04-05,2.1,2.1,1,2.1,54515,4,96,1999.25833333333,1792,1999,0.998629534754522,-0.0523359562439257
1999-05-05,1,1,1,1,54545,5,126,1999.34052511416,1793,1999,0.842555431723945,-0.53860964015925
1999-06-08,1.7,1.7,1,1.7,54579,6,160,1999.43367579909,1794,1999,0.404769957970319,-0.914418548108418
1999-07-14,1.6,1.6,1,1.6,54615,7,196,1999.53230593607,1795,1999,-0.201593139736422,-0.979469349194354
1999-08-16,2.3,2.3,1,2.3,54648,8,229,1999.62271689498,1796,1999,-0.696890806359208,-0.717177247277138
1999-09-15,1.6,1.6,1,1.6,54678,9,259,1999.7049086758,1797,1999,-0.960133440579771,-0.279542083201174
1999-11-02,1.3,1.3,1,1.3,54726,11,307,1999.83641552511,1799,2000,-0.856180625416134,0.516676626781237
1999-12-07,1.9,1.9,1,1.9,54761,12,342,1999.93230593607,1800,2000,-0.41262536253287,0.910900823467965
2000-01-03,1.8,1.8,1,1.8,54788,1,3,2000.00626138434,1801,2000,0.0393312903982802,0.999226225434264
2000-02-08,1.8,1.8,1,1.8,54824,2,39,2000.10462204007,1802,2000,0.611028873122123,0.791608309842126
2000-03-08,1.9,1.9,1,1.9,54853,3,68,2000.18385701275,1803,2000,0.914878825960291,0.403728539751056
2000-04-04,2.4,2.4,1,2.4,54880,4,95,2000.25762750455,1804,2000,0.998851815799767,-0.047906680885959
2000-05-15,2.2,2.2,1,2.2,54921,5,136,2000.36964936248,1805,2000,0.730474996874017,-0.682939440171605
2000-05-25,2.6,2.6,1,2.6,54931,5,146,2000.39697176685,1805,2000,0.60307105624539,-0.797687470829942
2000-06-06,2.5,2.5,1,2.5,54943,6,158,2000.42975865209,1806,2000,0.427150911641372,-0.904180346326962
2000-07-06,0.55,0.55,1,0.55,54973,7,188,2000.51172586521,1807,2000,-0.0736091485719666,-0.997287166891518
2000-08-10,1.6,1.6,1,1.6,55008,8,223,2000.60735428051,1808,2000,-0.624527845898212,-0.781002541415672
2000-09-06,1.7,1.7,1,1.7,55035,9,250,2000.68112477231,1809,2000,-0.907813479220681,-0.419374161036707
2000-10-05,2,2,1,2,55064,10,279,2000.76035974499,1810,2001,-0.997882250810868,0.065046241372082
2000-11-06,1.6,1.6,1,1.6,55096,11,311,2000.84779143898,1811,2001,-0.817095416758502,0.576502454385278
2000-12-05,1.2,1.2,1,1.2,55125,12,340,2000.92702641166,1812,2001,-0.442609427955874,0.896714499874165
2001-01-09,0.93,0.93,1,0.93,55160,1,9,2001.02271689498,1813,2001,0.142250296339602,0.989830719462321
2001-02-05,1.2,1.2,1,1.2,55187,2,36,2001.09668949772,1814,2001,0.57083135707678,0.821067330843142
2001-03-07,1.5,1.5,1,1.5,55217,3,67,2001.17888127854,1815,2001,0.901811864225925,0.432128871450823
2001-04-04,1.2,1.2,1,1.2,55245,4,95,2001.25559360731,1816,2001,0.999382454467488,-0.0351384362563114
2001-05-08,2.1,2.1,1,2.1,55279,5,129,2001.34874429224,1817,2001,0.813629300158747,-0.58138400556189
2001-06-04,3.4,3.4,1,3.4,55306,6,156,2001.42271689498,1818,2001,0.466724991972478,-0.884402499922004
2001-07-09,1.2,1.2,1,1.2,55341,7,191,2001.51860730594,1819,2001,-0.116646991725785,-0.99317343869101
2001-08-06,1.7,1.7,1,1.7,55369,8,219,2001.5953196347,1820,2001,-0.563743289017498,-0.825950061497506
2001-09-05,2.3,2.3,1,2.3,55399,9,249,2001.67751141553,1821,2001,-0.898059128464951,-0.439874756926074
2001-10-04,1.9,1.9,1,1.9,55428,10,278,2001.75696347032,1822,2002,-0.999043000046658,0.0437388163737035
2001-11-07,2.2,2.2,1,2.2,55462,11,312,2001.85011415525,1823,2002,-0.808595192283484,0.588365375439477
2001-12-04,1.8,1.8,1,1.8,55489,12,339,2001.92408675799,1824,2002,-0.459095654501215,0.88838684142557
2002-02-05,1.9,1.9,1,1.9,55552,2,36,2002.09668949772,1826,2002,0.570831357077322,0.821067330842765
2002-03-06,1.4,1.4,1,1.4,55581,3,66,2002.17614155251,1827,2002,0.894239862897247,0.447588055700232
2002-04-03,2.1,2.1,1,2.1,55609,4,94,2002.25285388128,1828,2002,0.999839235590684,-0.0179305039928411
