"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
1988-01-26,199,199,1,199,50428,1,26,1988.06910291439,1657,1988,0.420672447362965,0.907212594726095
1988-02-23,100,100,1,100,50456,2,54,1988.14560564663,1658,1988,0.792481636016707,0.609895775174975
1988-03-15,216,216,1,216,50477,3,75,1988.20298269581,1659,1988,0.956680402872073,0.291140184036022
1988-04-26,300,300,1,300,50519,4,117,1988.31773679417,1660,1988,0.910790008139851,-0.41286990817037
1988-05-24,497,497,1,497,50547,5,145,1988.39423952641,1661,1988,0.616675558506456,-0.787217413133596
1988-06-21,218,218,1,218,50575,6,173,1988.47074225865,1662,1988,0.182798152526348,-0.98315046428965
1988-07-27,203,203,1,203,50611,7,209,1988.56910291439,1663,1988,-0.420672447363264,-0.907212594725956
1988-08-23,167,167,1,167,50638,8,236,1988.64287340619,1664,1988,-0.781895190035919,-0.623409906721648
1988-09-27,225,225,1,225,50673,9,271,1988.73850182149,1665,1988,-0.997391451408902,-0.0721823569609876
1988-10-25,365,365,1,365,50701,10,299,1988.81500455373,1666,1989,-0.917743262130856,0.397174149226022
1988-11-29,178,178,1,178,50736,11,334,1988.91063296903,1667,1989,-0.532464621958527,0.846452258761569
1988-12-27,293,293,1,293,50764,12,362,1988.98713570128,1668,1989,-0.0807407885060826,0.996735132856977
1989-01-24,213,213,1,213,50792,1,24,1989.06381278539,1669,1989,0.390290923822163,0.920691585050088
1989-02-21,483,483,1,483,50820,2,52,1989.14052511416,1670,1989,0.772612155118342,0.634878301537697
1989-03-21,375,375,1,375,50848,3,81,1989.21723744292,1671,1989,0.978886941158733,0.204402437433853
1989-04-25,415,415,1,415,50883,4,116,1989.31312785388,1672,1989,0.922362691140323,-0.386325078130298
1989-05-30,560,560,1,560,50918,5,151,1989.40901826484,1673,1989,0.541024740607333,-0.841006676579186
1989-06-27,338,338,1,338,50946,6,179,1989.48573059361,1674,1989,0.0895372554156433,-0.995983473704576
