"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
1974-01-22,144,144,1,144,45311,1,22,1974.05833333333,1489,1974,0.358367949545282,0.933580426497209
1974-02-19,141,141,1,141,45339,2,50,1974.1350456621,1490,1974,0.750300771404051,0.661096628663681
1974-03-26,46,46,1,46,45374,3,86,1974.23093607306,1491,1974,0.992834687339266,0.119495956483645
1974-04-23,160,160,1,160,45402,4,114,1974.30764840183,1492,1974,0.935114031491054,-0.354346931845823
1974-05-21,217,217,1,217,45430,5,142,1974.38436073059,1493,1974,0.664319454837655,-0.747448768762248
1974-06-18,168,168,1,168,45458,6,170,1974.46107305936,1494,1974,0.242153872999231,-0.970237858358182
1974-07-16,186,186,1,186,45486,7,198,1974.53778538813,1495,1974,-0.23518858932529,-0.971949755620722
1974-08-14,55,55,1,55,45515,8,227,1974.61723744292,1496,1974,-0.671791432713541,-0.740740353249833
1974-09-10,170,170,1,170,45542,9,254,1974.69121004566,1497,1974,-0.932548415622419,-0.361044945290911
1974-10-08,178,178,1,178,45570,10,282,1974.76792237443,1498,1975,-0.99366623643891,0.112371751616374
1974-11-12,155,155,1,155,45605,11,317,1974.86381278539,1499,1975,-0.755023203248124,0.655698072711017
1974-12-17,218,218,1,218,45640,12,352,1974.95970319635,1500,1975,-0.250495737634989,0.96811770225872
1975-01-21,174,174,1,174,45675,1,21,1975.05559360731,1501,1975,0.342244801084734,0.939610821633335
1975-02-20,225,225,1,225,45705,2,51,1975.13778538813,1502,1975,0.761569297970856,0.648083485662286
1975-03-18,240,240,1,240,45731,3,78,1975.20901826484,1503,1975,0.967030719233071,0.254659749586715
1975-04-15,210,210,1,210,45759,4,106,1975.28573059361,1504,1975,0.974905106342369,-0.222620829276089
1975-05-13,210,210,1,210,45787,5,134,1975.36244292237,1505,1975,0.760638827793874,-0.649175302712881
1975-06-10,170,170,1,170,45815,6,162,1975.43915525114,1506,1975,0.373054331470083,-0.927809498642587
1975-07-10,218,218,1,218,45845,7,192,1975.52134703196,1507,1975,-0.133725557340118,-0.991018403115742
1975-08-07,140,140,1,140,45873,8,220,1975.59805936073,1508,1975,-0.577877136941578,-0.81612377406874
1975-09-02,128,128,1,128,45899,9,246,1975.66929223744,1509,1975,-0.874155662091289,-0.485645836421707
1975-10-02,155,155,1,155,45929,10,276,1975.75148401826,1510,1976,-0.999956528453874,0.00932422664231255
1975-10-28,150,150,1,150,45955,10,302,1975.82271689498,1510,1976,-0.897427196749591,0.441162585147665
1975-12-02,155,155,1,155,45990,12,337,1975.91860730594,1512,1976,-0.489403301581506,0.872057571723978
1976-01-22,180,180,1,180,46041,1,22,1976.05817395264,1513,1976,0.357432865370296,0.93393883458885
1976-02-17,200,200,1,200,46067,2,48,1976.12921220401,1514,1976,0.725571293018999,0.688147003733024
1976-03-18,234,234,1,234,46097,3,78,1976.21117941712,1515,1976,0.970399464786743,0.241505442467874
1976-04-15,231,231,1,231,46125,4,106,1976.28768214936,1516,1976,0.97210211050667,-0.234558066901308
1976-05-12,193,193,1,193,46152,5,133,1976.36145264117,1517,1976,0.764663324650564,-0.644429980629662
1976-06-09,220,220,1,220,46180,6,161,1976.43795537341,1518,1976,0.380038469610644,-0.924970681489959
1976-07-14,110,110,1,110,46215,7,196,1976.53358378871,1519,1976,-0.209450702076068,-0.977819207931529
1976-09-14,102,102,1,102,46277,9,258,1976.70298269581,1521,1976,-0.956680402871979,-0.291140184036329
1976-10-13,208,208,1,208,46306,10,287,1976.78221766849,1522,1977,-0.979581002430898,0.201049893500288
