"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
2005-02-16,95,95,1,95,56659,2,47,2005.12682648402,1862,2005,0.715174894662374,0.698945541544306
2005-04-20,105,105,1,105,56722,4,111,2005.29942922374,1864,2005,0.952158623399517,-0.305604247166063
2005-05-18,81,81,1,81,56750,5,139,2005.37614155251,1865,2005,0.702016851671628,-0.712160333049417
2005-06-15,62,62,1,62,56778,6,167,2005.45285388128,1866,2005,0.291914392776552,-0.956444450707879
2005-07-20,72,72,1,72,56813,7,202,2005.54874429224,1867,2005,-0.30150376609057,-0.953464985740537
2005-08-17,86,86,1,86,56841,8,230,2005.625456621,1868,2005,-0.709132581851344,-0.705075160076461
2005-09-21,98,98,1,98,56876,9,265,2005.72134703196,1869,2005,-0.983837979851795,-0.179060965598699
2005-10-19,78,78,1,78,56904,10,293,2005.79805936073,1870,2006,-0.954753689407498,0.297397701004515
2005-11-16,88,88,1,88,56932,11,321,2005.8747716895,1871,2006,-0.708120410118605,0.706091697142417
2005-12-21,83,83,1,83,56967,12,356,2005.97066210046,1872,2006,-0.183293291870143,0.983058273529808
2006-01-18,110,110,1,110,56995,1,18,2006.04737442922,1873,2006,0.293286127957859,0.956024710531839
2006-02-15,106,106,1,106,57023,2,46,2006.12408675799,1874,2006,0.703037735243996,0.711152545395848
2006-03-15,83,83,1,83,57051,3,75,2006.20079908676,1875,2006,0.952596038101175,0.304238045276959
2006-04-19,85,85,1,85,57086,4,110,2006.29668949772,1876,2006,0.957278025574126,-0.289169123097371
2006-05-17,76,76,1,76,57114,5,138,2006.37340182648,1877,2006,0.714171509752734,-0.699970752715784
2006-06-21,165,165,1,165,57149,6,173,2006.46929223744,1878,2006,0.191747682025566,-0.981444255389893
2006-07-19,140,140,1,140,57177,7,201,2006.54600456621,1879,2006,-0.285046762672153,-0.958513611322304
2006-08-16,51,51,1,51,57205,8,229,2006.62271689498,1880,2006,-0.696890806359915,-0.717177247276451
2006-09-20,59,59,1,59,57240,9,264,2006.71860730594,1881,2006,-0.980609973464434,-0.195969589329778
2006-10-18,71,71,1,71,57268,10,292,2006.7953196347,1882,2007,-0.959731444892673,0.280919123030494
2006-11-15,75,75,1,75,57296,11,320,2006.87203196347,1883,2007,-0.720169702299153,0.693797953218622
2006-12-20,95,95,1,95,57331,12,355,2006.96792237443,1884,2007,-0.200187867173799,0.97975753012488
2007-01-17,82,82,1,82,57359,1,17,2007.0446347032,1885,2007,0.27678628061846,0.960931503730312
2007-02-21,94,94,1,94,57394,2,52,2007.14052511416,1886,2007,0.772612155118962,0.634878301536943
2007-03-21,100,100,1,100,57422,3,81,2007.21723744292,1887,2007,0.97888694115856,0.204402437434678
