"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
1999-01-19,57,57,1,57,54439,1,19,1999.05011415525,1789,1999,0.309699068289347,0.950834626578518
1999-02-16,62,62,1,62,54467,2,47,1999.12682648402,1790,1999,0.715174894662146,0.698945541544538
1999-03-16,49,49,1,49,54495,3,76,1999.20353881279,1791,1999,0.957691858548284,0.287795594251084
1999-04-20,88,88,1,88,54530,4,111,1999.29942922374,1792,1999,0.952158623399617,-0.305604247165753
1999-05-18,55,55,1,55,54558,5,139,1999.37614155251,1793,1999,0.702016851671859,-0.712160333049188
1999-06-15,29,29,1,29,54586,6,167,1999.45285388128,1794,1999,0.291914392776864,-0.956444450707784
1999-07-20,40,40,1,40,54621,7,202,1999.54874429224,1795,1999,-0.30150376609026,-0.953464985740635
1999-08-17,29,29,1,29,54649,8,230,1999.625456621,1796,1999,-0.709132581851114,-0.705075160076692
1999-09-22,23,23,1,23,54685,9,266,1999.72408675799,1797,1999,-0.986774453813164,-0.162099282236944
1999-10-12,26,26,1,26,54705,10,286,1999.77888127854,1798,2000,-0.983580101616083,0.180472113371836
1999-11-16,77,77,1,77,54740,11,321,1999.8747716895,1799,2000,-0.70812041011755,0.706091697143475
1999-12-14,122,122,1,122,54768,12,349,1999.95148401826,1800,2000,-0.300135694422247,0.953896516889372
2000-01-18,81,81,1,81,54803,1,18,2000.04724499089,1801,2000,0.292508510473111,0.956262919547131
2000-02-15,92,92,1,92,54831,2,46,2000.12374772313,1802,2000,0.701521230707595,0.712648554945916
2000-03-14,175,175,1,175,54859,3,74,2000.20025045537,1803,2000,0.951541625415076,0.307519975127529
2000-04-18,84,84,1,84,54894,4,109,2000.29587887067,1804,2000,0.958738433280386,-0.284289670144855
2000-07-18,75,75,1,75,54985,7,200,2000.54451275046,1807,2000,-0.276049884063123,-0.961143309558328
2000-08-15,38,38,1,38,55013,8,228,2000.6210154827,1808,2000,-0.689184299851782,-0.724586089321213
2000-09-19,34,34,1,34,55048,9,263,2000.716643898,1809,2000,-0.978117846924776,-0.208051622265342
2000-10-10,60,60,1,60,55069,10,284,2000.77402094718,1810,2001,-0.988631964235179,0.150355709211497
2000-11-14,95,95,1,95,55104,11,319,2000.86964936248,1811,2001,-0.730474996873791,0.682939440171846
2000-12-12,120,120,1,120,55132,12,347,2000.94615209472,1812,2001,-0.331918233875148,0.943308160688331
2001-01-16,50,50,1,50,55167,1,16,2001.04189497717,1813,2001,0.260204415527882,0.965553552186409
2001-02-20,60,60,1,60,55202,2,51,2001.13778538813,1814,2001,0.761569297970198,0.648083485663059
2001-03-20,89,89,1,89,55230,3,80,2001.2144977169,1815,2001,0.975223456540601,0.221222082561849
2001-04-17,46,46,1,46,55258,4,108,2001.29121004566,1816,2001,0.966664410572774,-0.256046709277803
2001-06-19,145,145,1,145,55321,6,171,2001.46381278539,1818,2001,0.225416945479258,-0.974262388009925
2001-07-24,25,25,1,25,55356,7,206,2001.55970319635,1819,2001,-0.366389999105519,-0.930461374026594
2001-08-21,51,51,1,51,55384,8,234,2001.63641552511,1820,2001,-0.755963036226153,-0.654614304655601
2001-09-18,1,1,1,1,55412,9,262,2001.71312785388,1821,2001,-0.973283275625785,-0.229607633555903
2001-10-16,48,48,1,48,55440,10,290,2001.78984018265,1822,2002,-0.968832397698659,0.247717147507933
2001-11-13,67,67,1,67,55468,11,318,2001.86655251142,1823,2002,-0.743624573957722,0.668597407268527
2001-12-11,110,110,1,110,55496,12,346,2001.94326484018,1824,2002,-0.348975379170269,0.937131892922745
2002-01-15,50,50,1,50,55531,1,15,2002.03915525114,1825,2002,0.243545446256021,0.969889486285915
2002-02-19,73,73,1,73,55566,2,50,2002.1350456621,1826,2002,0.750300771404254,0.661096628663452
2002-03-19,37,37,1,37,55594,3,79,2002.21175799087,1827,2002,0.971270992165675,0.237976174810641
2002-04-16,39,39,1,39,55622,4,107,2002.28847031963,1828,2002,0.97092861200859,-0.23936923441218
2002-05-14,70,70,1,70,55650,5,135,2002.3651826484,1829,2002,0.749351645249986,-0.662172267435853
2002-06-18,26,26,1,26,55685,6,170,2002.46107305936,1830,2002,0.242153873000699,-0.970237858357816
2002-07-23,26,26,1,26,55720,7,205,2002.55696347032,1831,2002,-0.35031935145281,-0.936630317680184
2002-08-20,20,20,1,20,55748,8,233,2002.63367579909,1832,2002,-0.74458292297387,-0.667529977465947
2002-09-17,NA,1,0,0.5,55776,9,261,2002.71038812785,1833,2002,-0.969186755233339,-0.246327086371499
2002-10-15,24,24,1,24,55804,10,289,2002.78710045662,1834,2003,-0.972952898210839,0.23100358842046
