"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
1976-01-22,13,13,1,13,46041,1,22,1976.05817395264,1513,1976,0.357432865370296,0.93393883458885
1976-02-17,19,19,1,19,46067,2,48,1976.12921220401,1514,1976,0.725571293018999,0.688147003733024
1976-03-18,18,18,1,18,46097,3,78,1976.21117941712,1515,1976,0.970399464786743,0.241505442467874
1976-04-15,20,20,1,20,46125,4,106,1976.28768214936,1516,1976,0.97210211050667,-0.234558066901308
1976-06-09,25,25,1,25,46180,6,161,1976.43795537341,1518,1976,0.380038469610644,-0.924970681489959
1976-07-14,23,23,1,23,46215,7,196,1976.53358378871,1519,1976,-0.209450702076068,-0.977819207931529
1976-08-10,26,26,1,26,46242,8,223,1976.60735428051,1520,1976,-0.624527845898616,-0.781002541415349
1976-09-14,24,24,1,24,46277,9,258,1976.70298269581,1521,1976,-0.956680402871979,-0.291140184036329
1976-10-13,20.5,20.5,1,20.5,46306,10,287,1976.78221766849,1522,1977,-0.979581002430898,0.201049893500288
1976-11-10,14,14,1,14,46334,11,315,1976.85872040073,1523,1977,-0.775613147306448,0.631208559610361
1976-12-14,21,21,1,21,46368,12,349,1976.95161657559,1524,1977,-0.299341106935123,0.954146163697604
1977-02-02,12,12,1,12,46418,2,33,1977.08847031963,1526,1977,0.527687111624513,0.849438821943863
1977-03-02,14,14,1,14,46446,3,62,1977.1651826484,1527,1977,0.861325643000292,0.508053281369319
1977-03-30,23,23,1,23,46474,3,90,1977.24189497717,1527,1977,0.998703584048311,0.0509033516485752
1977-05-03,23,23,1,23,46508,5,124,1977.3350456621,1529,1977,0.860595945848242,-0.509288344643356
1977-06-02,26,26,1,26,46538,6,154,1977.41723744292,1530,1977,0.496890970457654,-0.867812977246625
1977-07-27,27,27,1,27,46593,7,209,1977.56792237443,1531,1977,-0.413931640417836,-0.910307968250855
1977-08-24,26,26,1,26,46621,8,237,1977.6446347032,1532,1977,-0.788746171185542,-0.614719023164363
1977-09-21,27,27,1,27,46649,9,265,1977.72134703196,1533,1977,-0.983837979852066,-0.17906096559721
1977-10-19,17,17,1,17,46677,10,293,1977.79805936073,1534,1978,-0.954753689407048,0.29739770100596
1977-11-16,17,17,1,17,46705,11,321,1977.8747716895,1535,1978,-0.708120410117537,0.706091697143488
1977-12-20,15,15,1,15,46739,12,355,1977.96792237443,1536,1978,-0.200187867174746,0.979757530124687
1978-01-25,18,18,1,18,46775,1,25,1978.06655251142,1537,1978,0.406081290172607,0.913836957980881
1978-02-28,16,16,1,16,46809,2,59,1978.15970319635,1538,1978,0.843327209325719,0.537400426135759
1978-03-21,20,20,1,20,46830,3,81,1978.21723744292,1539,1978,0.978886941158735,0.204402437433843
1978-04-19,24,24,1,24,46859,4,110,1978.29668949772,1540,1978,0.957278025574215,-0.289169123097078
1978-06-14,27,27,1,27,46915,6,166,1978.45011415525,1542,1978,0.308334761483153,-0.951277916731555
1978-07-12,26.5,26.5,1,26.5,46943,7,194,1978.52682648402,1543,1978,-0.167758762257106,-0.985828077144267
1978-08-09,27,27,1,27,46971,8,222,1978.60353881279,1544,1978,-0.605626982965016,-0.795748677350262
1978-09-06,25.5,25.5,1,25.5,46999,9,250,1978.68025114155,1545,1978,-0.905497792170064,-0.424350973104975
1978-10-04,26,26,1,26,47027,10,278,1978.75696347032,1546,1979,-0.999043000046686,0.0437388163730631
1978-11-15,22,22,1,22,47069,11,320,1978.87203196347,1547,1979,-0.720169702299365,0.693797953218402
1978-12-18,18,18,1,18,47102,12,353,1978.96244292237,1548,1979,-0.233794069178652,0.972286137521711
1979-01-24,17,17,1,17,47139,1,24,1979.06381278539,1549,1979,0.39029092382278,0.920691585049826
1979-02-21,19.5,19.5,1,19.5,47167,2,52,1979.14052511416,1550,1979,0.772612155118767,0.634878301537179
1979-03-20,21,21,1,21,47194,3,80,1979.2144977169,1551,1979,0.975223456540606,0.22122208256183
1979-04-24,23,23,1,23,47229,4,115,1979.31038812785,1552,1979,0.928875984316426,-0.37039088239344
1979-05-17,25,25,1,25,47252,5,138,1979.37340182648,1553,1979,0.714171509752485,-0.699970752716037
1979-06-13,26,26,1,26,47279,6,165,1979.44737442922,1554,1979,0.324663763945221,-0.945829498578323
1979-07-11,27.5,27.5,1,27.5,47307,7,193,1979.52408675799,1555,1979,-0.150764497185587,-0.988569707399725
1979-08-09,26,26,1,26,47336,8,222,1979.60353881279,1556,1979,-0.605626982965542,-0.795748677349862
1979-09-05,25.5,25.5,1,25.5,47363,9,249,1979.67751141553,1557,1979,-0.89805912846496,-0.439874756926056
1979-10-03,24.5,24.5,1,24.5,47391,10,277,1979.75422374429,1558,1980,-0.999647872869745,0.0265354530203169
1979-10-31,23,23,1,23,47419,10,305,1979.83093607306,1558,1980,-0.873458095592752,0.486899327626854
1979-12-05,17,17,1,17,47454,12,340,1979.92682648402,1560,1980,-0.443735515421069,0.896157794338697
1980-01-31,16,16,1,16,47511,1,31,1980.08276411658,1561,1980,0.496899473798406,0.86780810836202
1980-02-27,15,15,1,15,47538,2,58,1980.15653460838,1562,1980,0.832461779229783,0.554082472310381
1980-03-27,24,24,1,24,47567,3,87,1980.23576958106,1563,1980,0.996005377347556,0.0892932712736627
1980-04-23,23.5,23.5,1,23.5,47594,4,114,1980.30954007286,1564,1980,0.93083641120959,-0.365436144307663
