"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
1999-01-07,10.31,10.31,1,10.31,54427,1,7,1999.01723744292,1789,1999,0.108094430321967,0.994140630963934
1999-02-09,20.27,20.27,1,20.27,54460,2,40,1999.10764840183,1790,1999,0.625970085969811,0.779847069284066
1999-03-02,16.66,16.66,1,16.66,54481,3,62,1999.1651826484,1791,1999,0.861325643000282,0.508053281369336
1999-04-05,24.25,24.25,1,24.25,54515,4,96,1999.25833333333,1792,1999,0.998629534754522,-0.0523359562439257
1999-05-05,21.2295,21.2295,1,21.2295,54545,5,126,1999.34052511416,1793,1999,0.842555431723945,-0.53860964015925
1999-06-08,24.91,24.91,1,24.91,54579,6,160,1999.43367579909,1794,1999,0.404769957970319,-0.914418548108418
1999-07-14,26.65,26.65,1,26.65,54615,7,196,1999.53230593607,1795,1999,-0.201593139736422,-0.979469349194354
1999-08-16,28.31,28.31,1,28.31,54648,8,229,1999.62271689498,1796,1999,-0.696890806359208,-0.717177247277138
1999-09-15,26.03,26.03,1,26.03,54678,9,259,1999.7049086758,1797,1999,-0.960133440579771,-0.279542083201174
1999-11-02,22.85,22.85,1,22.85,54726,11,307,1999.83641552511,1799,2000,-0.856180625416134,0.516676626781237
1999-12-07,16.12,16.12,1,16.12,54761,12,342,1999.93230593607,1800,2000,-0.41262536253287,0.910900823467965
2000-01-03,16.83,16.83,1,16.83,54788,1,3,2000.00626138434,1801,2000,0.0393312903982802,0.999226225434264
2000-02-08,11.96,11.96,1,11.96,54824,2,39,2000.10462204007,1802,2000,0.611028873122123,0.791608309842126
2000-03-08,17.96,17.96,1,17.96,54853,3,68,2000.18385701275,1803,2000,0.914878825960291,0.403728539751056
2000-04-04,22.36,22.36,1,22.36,54880,4,95,2000.25762750455,1804,2000,0.998851815799767,-0.047906680885959
2000-05-15,24.71,24.71,1,24.71,54921,5,136,2000.36964936248,1805,2000,0.730474996874017,-0.682939440171605
2000-05-25,26.86,26.86,1,26.86,54931,5,146,2000.39697176685,1805,2000,0.60307105624539,-0.797687470829942
2000-06-06,26.97,26.97,1,26.97,54943,6,158,2000.42975865209,1806,2000,0.427150911641372,-0.904180346326962
2000-07-06,27.8,27.8,1,27.8,54973,7,188,2000.51172586521,1807,2000,-0.0736091485719666,-0.997287166891518
2000-08-10,24.97,24.97,1,24.97,55008,8,223,2000.60735428051,1808,2000,-0.624527845898212,-0.781002541415672
2000-09-06,26.19,26.19,1,26.19,55035,9,250,2000.68112477231,1809,2000,-0.907813479220681,-0.419374161036707
2000-10-05,25.04,25.04,1,25.04,55064,10,279,2000.76035974499,1810,2001,-0.997882250810868,0.065046241372082
2000-11-06,18.45,18.45,1,18.45,55096,11,311,2000.84779143898,1811,2001,-0.817095416758502,0.576502454385278
2000-12-05,13.84,13.84,1,13.84,55125,12,340,2000.92702641166,1812,2001,-0.442609427955874,0.896714499874165
2001-01-09,11.79,11.79,1,11.79,55160,1,9,2001.02271689498,1813,2001,0.142250296339602,0.989830719462321
2001-02-05,15.29,15.29,1,15.29,55187,2,36,2001.09668949772,1814,2001,0.57083135707678,0.821067330843142
2001-03-07,17.01,17.01,1,17.01,55217,3,67,2001.17888127854,1815,2001,0.901811864225925,0.432128871450823
2001-04-04,19.61,19.61,1,19.61,55245,4,95,2001.25559360731,1816,2001,0.999382454467488,-0.0351384362563114
2001-05-08,23.06,23.06,1,23.06,55279,5,129,2001.34874429224,1817,2001,0.813629300158747,-0.58138400556189
2001-06-04,26.59,26.59,1,26.59,55306,6,156,2001.42271689498,1818,2001,0.466724991972478,-0.884402499922004
2001-07-09,24.93,24.93,1,24.93,55341,7,191,2001.51860730594,1819,2001,-0.116646991725785,-0.99317343869101
2001-08-06,25.47,25.47,1,25.47,55369,8,219,2001.5953196347,1820,2001,-0.563743289017498,-0.825950061497506
2001-09-05,27.3,27.3,1,27.3,55399,9,249,2001.67751141553,1821,2001,-0.898059128464951,-0.439874756926074
2001-10-04,21.98,21.98,1,21.98,55428,10,278,2001.75696347032,1822,2002,-0.999043000046658,0.0437388163737035
2001-11-07,18.96,18.96,1,18.96,55462,11,312,2001.85011415525,1823,2002,-0.808595192283484,0.588365375439477
2001-12-04,19.33,19.33,1,19.33,55489,12,339,2001.92408675799,1824,2002,-0.459095654501215,0.88838684142557
2002-01-09,9.73,9.73,1,9.73,55525,1,9,2002.02271689498,1825,2002,0.142250296338455,0.989830719462486
2002-02-05,16.44,16.44,1,16.44,55552,2,36,2002.09668949772,1826,2002,0.570831357077322,0.821067330842765
2002-03-06,15.4,15.4,1,15.4,55581,3,66,2002.17614155251,1827,2002,0.894239862897247,0.447588055700232
2002-04-03,22.43,22.43,1,22.43,55609,4,94,2002.25285388128,1828,2002,0.999839235590684,-0.0179305039928411
2002-05-09,25.35,25.35,1,25.35,55645,5,130,2002.35148401826,1829,2002,0.80350118224721,-0.595303158170134
2002-06-04,25.98,25.98,1,25.98,55671,6,156,2002.42271689498,1830,2002,0.466724991971894,-0.884402499922312
2002-07-01,25.31,25.31,1,25.31,55698,7,183,2002.49668949772,1831,2002,0.020798999410954,-0.999783677414021
2002-08-06,25.98,25.98,1,25.98,55734,8,219,2002.5953196347,1832,2002,-0.563743289018043,-0.825950061497134
