"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
2005-01-18,10.92,10.92,1,10.92,56630,1,18,2005.04737442922,1861,2005,0.293286127958967,0.956024710531499
2005-02-15,17.35,17.35,1,17.35,56658,2,46,2005.12408675799,1862,2005,0.70303773524482,0.711152545395033
2005-03-15,19.26,19.26,1,19.26,56686,3,75,2005.20079908676,1863,2005,0.952596038100974,0.304238045277588
2005-04-19,19.6,19.6,1,19.6,56721,4,110,2005.29668949772,1864,2005,0.957278025574317,-0.289169123096739
2005-05-17,24.21,24.21,1,24.21,56749,5,138,2005.37340182648,1865,2005,0.714171509753196,-0.699970752715312
2005-06-14,26,26,1,26,56777,6,166,2005.45011415525,1866,2005,0.30833476148349,-0.951277916731446
2005-07-19,27.14,27.14,1,27.14,56812,7,201,2005.54600456621,1867,2005,-0.28504676267152,-0.958513611322493
2005-08-16,26.67,26.67,1,26.67,56840,8,229,2005.62271689498,1868,2005,-0.696890806359442,-0.717177247276911
2005-09-20,25.74,25.74,1,25.74,56875,9,264,2005.71860730594,1869,2005,-0.980609973464305,-0.195969589330426
2005-10-18,22.69,22.69,1,22.69,56903,10,292,2005.7953196347,1870,2006,-0.959731444892859,0.28091912302986
2005-11-15,20.96,20.96,1,20.96,56931,11,320,2005.87203196347,1871,2006,-0.720169702299612,0.693797953218146
2005-12-20,14.87,14.87,1,14.87,56966,12,355,2005.96792237443,1872,2006,-0.200187867174446,0.979757530124748
2006-01-17,14.9,14.9,1,14.9,56994,1,17,2006.0446347032,1873,2006,0.276786280617825,0.960931503730495
2006-02-14,8.89,8.89,1,8.89,57022,2,45,2006.12134703196,1874,2006,0.690692250572698,0.723148819399452
2006-03-14,21.36,21.36,1,21.36,57050,3,74,2006.19805936073,1875,2006,0.947217942889538,0.320590344003235
2006-04-18,22.49,22.49,1,22.49,57085,4,109,2006.29394977169,1876,2006,0.962113765609679,-0.272648311977836
2006-05-16,24.06,24.06,1,24.06,57113,5,137,2006.37066210046,1877,2006,0.726114543401612,-0.687573755942348
2006-06-14,25.47,25.47,1,25.47,57142,6,166,2006.45011415525,1878,2006,0.308334761482862,-0.951277916731649
2006-07-18,26.95,26.95,1,26.95,57176,7,200,2006.54326484018,1879,2006,-0.268505293747255,-0.963278208634297
2006-08-15,27.32,27.32,1,27.32,57204,8,228,2006.61997716895,1880,2006,-0.684442527083264,-0.729066819379318
2006-09-19,25.76,25.76,1,25.76,57239,9,263,2006.71586757991,1881,2006,-0.977091391178162,-0.212820143044602
2006-10-17,22.18,22.18,1,22.18,57267,10,291,2006.79257990868,1882,2007,-0.96442481123873,0.264357302655212
2006-11-14,17.93,17.93,1,17.93,57295,11,319,2006.86929223744,1883,2007,-0.732005592656101,0.681298621986123
2006-12-19,19.82,19.82,1,19.82,57330,12,354,2006.9651826484,1884,2007,-0.217023122494434,0.97616646341839
2007-01-16,18.66,18.66,1,18.66,57358,1,16,2007.04189497717,1885,2007,0.260204415528196,0.965553552186325
2007-02-20,12.07,12.07,1,12.07,57393,2,51,2007.13778538813,1886,2007,0.761569297970409,0.648083485662811
2007-03-20,17.97,17.97,1,17.97,57421,3,80,2007.2144977169,1887,2007,0.975223456540673,0.221222082561532
2007-04-17,18.39,18.39,1,18.39,57449,4,108,2007.29121004566,1888,2007,0.966664410572691,-0.256046709278117
2007-05-15,24.26,24.26,1,24.26,57477,5,136,2007.36792237443,1889,2007,0.737842413641248,-0.674973016225136
2007-06-19,25.85,25.85,1,25.85,57512,6,171,2007.46381278539,1890,2007,0.225416945478941,-0.974262388009998
2007-07-24,25.13,25.13,1,25.13,57547,7,206,2007.55970319635,1891,2007,-0.366389999105822,-0.930461374026475
2007-08-14,26.86,26.86,1,26.86,57568,8,227,2007.61723744292,1892,2007,-0.671791432713519,-0.740740353249853
2007-09-18,25.32,25.32,1,25.32,57603,9,262,2007.71312785388,1893,2007,-0.97328327562586,-0.229607633555586
2007-10-16,23.05,23.05,1,23.05,57631,10,290,2007.78984018265,1894,2008,-0.968832397698579,0.247717147508248
2007-11-27,20.92,20.92,1,20.92,57673,11,332,2007.9049086758,1895,2008,-0.562557869813468,0.826757910824525
2007-12-11,19.67,19.67,1,19.67,57687,12,346,2007.94326484018,1896,2008,-0.348975379169964,0.937131892922858
2008-01-22,15.68,15.68,1,15.68,57729,1,22,2008.05817395264,1897,2008,0.357432865369652,0.933938834589097
2008-02-18,19.43,19.43,1,19.43,57756,2,49,2008.13194444444,1898,2008,0.737277336809727,0.675590207616094
2008-03-18,19.61,19.61,1,19.61,57785,3,78,2008.21117941712,1899,2008,0.970399464786576,0.241505442468543
2008-04-15,16.7,16.7,1,16.7,57813,4,106,2008.28768214936,1900,2008,0.972102110506832,-0.234558066900637
2008-05-20,25.11,25.11,1,25.11,57848,5,141,2008.38331056466,1901,2008,0.669236913642579,-0.743049092199267
2008-06-17,25,25,1,25,57876,6,169,2008.4598132969,1902,2008,0.249825951157699,-0.968290759084352
2008-07-15,25.93,25.93,1,25.93,57904,7,197,2008.53631602914,1903,2008,-0.226205405996682,-0.974079624208348
2008-08-26,25.76,25.76,1,25.76,57946,8,239,2008.6510701275,1904,2008,-0.812950833003668,-0.582332330476887
2008-09-16,26.64,26.64,1,26.64,57967,9,260,2008.70844717668,1905,2008,-0.966110712135287,-0.258128053294192
2008-10-21,20.96,20.96,1,20.96,58002,10,295,2008.80407559199,1906,2009,-0.942832354081052,0.333267388290517
2008-11-18,15.17,15.17,1,15.17,58030,11,323,2008.88057832423,1907,2009,-0.681893725788502,0.73145126066627
2008-12-16,18.39,18.39,1,18.39,58058,12,351,2008.95708105647,1908,2009,-0.266411137199856,0.963859484559798
2009-01-20,14.49,14.49,1,14.49,58093,1,20,2009.05285388128,1909,2009,0.326020238103345,0.945362789804548
2009-02-17,16.83,16.83,1,16.83,58121,2,48,2009.12956621005,1910,2009,0.727100132324487,0.686531425044559
2009-03-18,20.98,20.98,1,20.98,58150,3,78,2009.20901826484,1911,2009,0.967030719233232,0.254659749586105
2009-04-22,20.76,20.76,1,20.76,58185,4,113,2009.3049086758,1912,2009,0.941074984197067,-0.33819798065407
2009-05-19,22.42,22.42,1,22.42,58212,5,140,2009.37888127854,1913,2009,0.689654170846842,-0.724138884906449
2009-06-16,26.65,26.65,1,26.65,58240,6,168,2009.45559360731,1914,2009,0.275407523535953,-0.9613275695515
2009-07-21,25.13,25.13,1,25.13,58275,7,203,2009.55148401826,1915,2009,-0.317871427434066,-0.948133827906709
2009-08-18,25.81,25.81,1,25.81,58303,8,231,2009.62819634703,1916,2009,-0.721164226052935,-0.692764143891318
2009-09-15,25.96,25.96,1,25.96,58331,9,259,2009.7049086758,1917,2009,-0.960133440579583,-0.279542083201818
