"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
2007-01-16,367,367,1,367,57358,1,16,2007.04189497717,1885,2007,0.260204415528196,0.965553552186325
2007-02-20,341,341,1,341,57393,2,51,2007.13778538813,1886,2007,0.761569297970409,0.648083485662811
2007-03-20,453,453,1,453,57421,3,80,2007.2144977169,1887,2007,0.975223456540673,0.221222082561532
2007-04-17,302,302,1,302,57449,4,108,2007.29121004566,1888,2007,0.966664410572691,-0.256046709278117
2007-06-19,289,289,1,289,57512,6,171,2007.46381278539,1890,2007,0.225416945478941,-0.974262388009998
2007-07-24,206,206,1,206,57547,7,206,2007.55970319635,1891,2007,-0.366389999105822,-0.930461374026475
2007-08-14,160,160,1,160,57568,8,227,2007.61723744292,1892,2007,-0.671791432713519,-0.740740353249853
2007-09-18,168,168,1,168,57603,9,262,2007.71312785388,1893,2007,-0.97328327562586,-0.229607633555586
2007-10-16,234,234,1,234,57631,10,290,2007.78984018265,1894,2008,-0.968832397698579,0.247717147508248
2007-11-27,377,377,1,377,57673,11,332,2007.9049086758,1895,2008,-0.562557869813468,0.826757910824525
2007-12-11,446,446,1,446,57687,12,346,2007.94326484018,1896,2008,-0.348975379169964,0.937131892922858
2008-01-22,265,265,1,265,57729,1,22,2008.05817395264,1897,2008,0.357432865369652,0.933938834589097
2008-02-18,319,319,1,319,57756,2,49,2008.13194444444,1898,2008,0.737277336809727,0.675590207616094
2008-03-18,268,268,1,268,57785,3,78,2008.21117941712,1899,2008,0.970399464786576,0.241505442468543
2008-04-15,188,188,1,188,57813,4,106,2008.28768214936,1900,2008,0.972102110506832,-0.234558066900637
2008-05-20,546,546,1,546,57848,5,141,2008.38331056466,1901,2008,0.669236913642579,-0.743049092199267
2008-06-17,413,413,1,413,57876,6,169,2008.4598132969,1902,2008,0.249825951157699,-0.968290759084352
2008-07-15,217,217,1,217,57904,7,197,2008.53631602914,1903,2008,-0.226205405996682,-0.974079624208348
2008-08-26,204,204,1,204,57946,8,239,2008.6510701275,1904,2008,-0.812950833003668,-0.582332330476887
2008-09-16,206,206,1,206,57967,9,260,2008.70844717668,1905,2008,-0.966110712135287,-0.258128053294192
2008-10-21,488,488,1,488,58002,10,295,2008.80407559199,1906,2009,-0.942832354081052,0.333267388290517
2008-11-18,315,315,1,315,58030,11,323,2008.88057832423,1907,2009,-0.681893725788502,0.73145126066627
2008-12-16,326,326,1,326,58058,12,351,2008.95708105647,1908,2009,-0.266411137199856,0.963859484559798
2009-01-20,529,529,1,529,58093,1,20,2009.05285388128,1909,2009,0.326020238103345,0.945362789804548
2009-02-17,322,322,1,322,58121,2,48,2009.12956621005,1910,2009,0.727100132324487,0.686531425044559
2009-03-18,555,555,1,555,58150,3,78,2009.20901826484,1911,2009,0.967030719233232,0.254659749586105
2009-05-19,181,181,1,181,58212,5,140,2009.37888127854,1913,2009,0.689654170846842,-0.724138884906449
2009-06-16,295,295,1,295,58240,6,168,2009.45559360731,1914,2009,0.275407523535953,-0.9613275695515
2009-07-21,185,185,1,185,58275,7,203,2009.55148401826,1915,2009,-0.317871427434066,-0.948133827906709
2009-08-18,194,194,1,194,58303,8,231,2009.62819634703,1916,2009,-0.721164226052935,-0.692764143891318
2009-09-15,150,150,1,150,58331,9,259,2009.7049086758,1917,2009,-0.960133440579583,-0.279542083201818
