"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
1974-01-22,8.3,8.3,1,8.3,45311,1,22,1974.05833333333,1489,1974,0.358367949545282,0.933580426497209
1974-02-19,7.5,7.5,1,7.5,45339,2,50,1974.1350456621,1490,1974,0.750300771404051,0.661096628663681
1974-03-26,7,7,1,7,45374,3,86,1974.23093607306,1491,1974,0.992834687339266,0.119495956483645
1974-07-16,15,15,1,15,45486,7,198,1974.53778538813,1495,1974,-0.23518858932529,-0.971949755620722
1974-08-14,21,21,1,21,45515,8,227,1974.61723744292,1496,1974,-0.671791432713541,-0.740740353249833
1974-09-10,7,7,1,7,45542,9,254,1974.69121004566,1497,1974,-0.932548415622419,-0.361044945290911
1974-10-08,3,3,1,3,45570,10,282,1974.76792237443,1498,1975,-0.99366623643891,0.112371751616374
1974-11-12,2,2,1,2,45605,11,317,1974.86381278539,1499,1975,-0.755023203248124,0.655698072711017
1974-12-17,12,12,1,12,45640,12,352,1974.95970319635,1500,1975,-0.250495737634989,0.96811770225872
1975-01-21,6.5,6.5,1,6.5,45675,1,21,1975.05559360731,1501,1975,0.342244801084734,0.939610821633335
1975-02-20,6.5,6.5,1,6.5,45705,2,51,1975.13778538813,1502,1975,0.761569297970856,0.648083485662286
1975-03-18,3.3,3.3,1,3.3,45731,3,78,1975.20901826484,1503,1975,0.967030719233071,0.254659749586715
1975-04-15,3.7,3.7,1,3.7,45759,4,106,1975.28573059361,1504,1975,0.974905106342369,-0.222620829276089
1975-05-13,1.3,1.3,1,1.3,45787,5,134,1975.36244292237,1505,1975,0.760638827793874,-0.649175302712881
1975-06-10,11.5,11.5,1,11.5,45815,6,162,1975.43915525114,1506,1975,0.373054331470083,-0.927809498642587
1975-07-10,4.9,4.9,1,4.9,45845,7,192,1975.52134703196,1507,1975,-0.133725557340118,-0.991018403115742
1975-08-07,6.2,6.2,1,6.2,45873,8,220,1975.59805936073,1508,1975,-0.577877136941578,-0.81612377406874
1975-09-02,1,1,1,1,45899,9,246,1975.66929223744,1509,1975,-0.874155662091289,-0.485645836421707
1975-10-02,4.5,4.5,1,4.5,45929,10,276,1975.75148401826,1510,1976,-0.999956528453874,0.00932422664231255
1975-10-28,9,9,1,9,45955,10,302,1975.82271689498,1510,1976,-0.897427196749591,0.441162585147665
1975-12-02,3.8,3.8,1,3.8,45990,12,337,1975.91860730594,1512,1976,-0.489403301581506,0.872057571723978
1976-01-22,0.5,0.5,1,0.5,46041,1,22,1976.05817395264,1513,1976,0.357432865370296,0.93393883458885
1976-02-17,3,3,1,3,46067,2,48,1976.12921220401,1514,1976,0.725571293018999,0.688147003733024
1976-03-18,3.8,3.8,1,3.8,46097,3,78,1976.21117941712,1515,1976,0.970399464786743,0.241505442467874
1976-04-15,4.5,4.5,1,4.5,46125,4,106,1976.28768214936,1516,1976,0.97210211050667,-0.234558066901308
1976-09-14,4,4,1,4,46277,9,258,1976.70298269581,1521,1976,-0.956680402871979,-0.291140184036329
1976-10-13,8,8,1,8,46306,10,287,1976.78221766849,1522,1977,-0.979581002430898,0.201049893500288
1976-11-10,10.3,10.3,1,10.3,46334,11,315,1976.85872040073,1523,1977,-0.775613147306448,0.631208559610361
1976-12-14,8.1,8.1,1,8.1,46368,12,349,1976.95161657559,1524,1977,-0.299341106935123,0.954146163697604
1977-07-27,9.6,9.6,1,9.6,46593,7,209,1977.56792237443,1531,1977,-0.413931640417836,-0.910307968250855
1977-08-24,11.1,11.1,1,11.1,46621,8,237,1977.6446347032,1532,1977,-0.788746171185542,-0.614719023164363
