"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
1974-01-23,7.7,7.7,1,7.7,45312,1,23,1974.06107305936,1489,1974,0.374384905847088,0.927273391332819
1974-02-20,8,8,1,8,45340,2,51,1974.13778538813,1490,1974,0.761569297970428,0.648083485662789
1974-03-27,6.5,6.5,1,6.5,45375,3,87,1974.23367579909,1491,1974,0.994744514624823,0.102388234792018
1975-01-22,NA,0.2,0,0.1,45676,1,22,1975.05833333333,1501,1975,0.358367949545899,0.933580426496972
1975-04-16,0.2,0.2,1,0.2,45760,4,107,1975.28847031963,1504,1975,0.970928612008505,-0.239369234412525
1975-09-02,8.2,8.2,1,8.2,45899,9,246,1975.66929223744,1509,1975,-0.874155662091289,-0.485645836421707
1976-01-21,NA,0.2,0,0.1,46040,1,21,1976.0554417122,1513,1976,0.341347894811182,0.939937026990625
1976-03-17,1.6,1.6,1,1.6,46096,3,77,1976.20844717668,1515,1976,0.966110712135379,0.258128053293845
1976-09-14,4.6,4.6,1,4.6,46277,9,258,1976.70298269581,1521,1976,-0.956680402871979,-0.291140184036329
1976-10-12,3.3,3.3,1,3.3,46305,10,286,1976.77948542805,1522,1977,-0.982887947691214,0.184204457827039
1976-11-09,5.6,5.6,1,5.6,46333,11,314,1976.85598816029,1523,1977,-0.786334393206864,0.617801118532488
1976-12-14,1.9,1.9,1,1.9,46368,12,349,1976.95161657559,1524,1977,-0.299341106935123,0.954146163697604
1977-07-26,12.3,12.3,1,12.3,46592,7,208,1977.5651826484,1531,1977,-0.398200856708721,-0.917298249053404
1977-08-23,22.3,22.3,1,22.3,46620,8,236,1977.64189497717,1532,1977,-0.778047932446899,-0.628204914669652
1977-09-20,27.5,27.5,1,27.5,46648,9,264,1977.71860730594,1533,1977,-0.980609973464245,-0.195969589330726
1977-10-18,10.5,10.5,1,10.5,46676,10,292,1977.7953196347,1534,1978,-0.959731444892944,0.280919123029567
1977-11-15,2.7,2.7,1,2.7,46704,11,320,1977.87203196347,1535,1978,-0.720169702299824,0.693797953217926
1977-12-19,8.1,8.1,1,8.1,46738,12,354,1977.9651826484,1536,1978,-0.217023122493601,0.976166463418575
1978-01-24,15.5,15.5,1,15.5,46774,1,24,1978.06381278539,1537,1978,0.390290923822172,0.920691585050084
1978-02-21,18.2,18.2,1,18.2,46802,2,52,1978.14052511416,1538,1978,0.772612155118348,0.63487830153769
1978-03-22,13,13,1,13,46831,3,82,1978.21997716895,1539,1978,0.982260360449859,0.187522223453414
1978-04-18,3.6,3.6,1,3.6,46858,4,109,1978.29394977169,1540,1978,0.962113765609763,-0.272648311977542
1978-05-16,4.9,4.9,1,4.9,46886,5,137,1978.37066210046,1541,1978,0.726114543401822,-0.687573755942126
1979-03-21,9.4,9.4,1,9.4,47195,3,81,1979.21723744292,1551,1979,0.97888694115887,0.204402437433197
1979-04-18,0.7,0.7,1,0.7,47223,4,109,1979.29394977169,1552,1979,0.962113765609583,-0.272648311978177
1979-05-16,9.7,9.7,1,9.7,47251,5,137,1979.37066210046,1553,1979,0.726114543401368,-0.687573755942606
1979-06-13,1.9,1.9,1,1.9,47279,6,165,1979.44737442922,1554,1979,0.324663763945221,-0.945829498578323
1979-07-10,2.2,2.2,1,2.2,47306,7,192,1979.52134703196,1555,1979,-0.133725557339131,-0.991018403115875
1979-08-07,8.6,8.6,1,8.6,47334,8,220,1979.59805936073,1556,1979,-0.577877136940766,-0.816123774069316
1979-09-04,28.3,28.3,1,28.3,47362,9,248,1979.6747716895,1557,1979,-0.890354350459677,-0.455268196360702
1979-10-30,5.8,5.8,1,5.8,47418,10,304,1979.82819634703,1558,1980,-0.881709854888589,0.471792042951493
1979-12-04,3.6,3.6,1,3.6,47453,12,339,1979.92408675799,1560,1980,-0.459095654501198,0.888386841425579
1980-01-30,9,9,1,9,47510,1,30,1980.08003187614,1561,1980,0.481929174369446,0.876210175067366
1980-02-26,4.4,4.4,1,4.4,47537,2,57,1980.15380236794,1562,1980,0.822827551645688,0.568291140396155
1980-04-22,3,3,1,3,47593,4,113,1980.30680783242,1564,1980,0.936972447685298,-0.349403251671504
1980-05-20,1.6,1.6,1,1.6,47621,5,141,1980.38331056466,1565,1980,0.669236913642807,-0.743049092199062
1980-06-17,5.8,5.8,1,5.8,47649,6,169,1980.4598132969,1566,1980,0.249825951157995,-0.968290759084276
1980-07-15,3.6,3.6,1,3.6,47677,7,197,1980.53631602914,1567,1980,-0.226205405998156,-0.974079624208006
1980-08-12,10,10,1,10,47705,8,225,1980.61281876138,1568,1980,-0.650969713814244,-0.759103702860553
1980-09-09,5.4,5.4,1,5.4,47733,9,253,1980.68932149362,1569,1980,-0.928198659739047,-0.372085001120223
1980-10-14,1.8,1.8,1,1.8,47768,10,288,1980.78494990893,1570,1981,-0.975985370153129,0.217836078846136
1980-11-12,NA,0.2,0,0.1,47797,11,317,1980.8641848816,1571,1981,-0.753488152203347,0.657461485175508
1980-12-16,0.3,0.3,1,0.3,47831,12,351,1980.95708105647,1572,1981,-0.266411137200151,0.963859484559716
1981-01-27,2.2,2.2,1,2.2,47873,1,27,1981.07203196347,1573,1981,0.437296387556476,0.899317446417035
1981-02-24,9.2,9.2,1,9.2,47901,2,55,1981.14874429224,1574,1981,0.804354327831228,0.594149909786388
1981-03-24,6.5,6.5,1,6.5,47929,3,84,1981.225456621,1575,1981,0.988133090833234,0.153600113282376
1981-05-05,1,1,1,1,47971,5,126,1981.34052511416,1577,1981,0.842555431723491,-0.53860964015996
1981-06-02,11.8,11.8,1,11.8,47999,6,154,1981.41723744292,1578,1981,0.49689097045694,-0.867812977247034
1981-09-22,18.9,18.9,1,18.9,48111,9,266,1981.72408675799,1581,1981,-0.9867744538133,-0.162099282236112
1981-10-14,2.1,2.1,1,2.1,48133,10,288,1981.78436073059,1582,1982,-0.97678509178038,0.214221577987828
1981-11-03,5.9,5.9,1,5.9,48153,11,308,1981.83915525114,1583,1982,-0.847160034223348,0.531337817602602
1981-12-08,0.5,0.5,1,0.5,48188,12,343,1981.9350456621,1584,1982,-0.396884567335815,0.917868531005755
1982-01-26,8,8,1,8,48237,1,26,1982.06929223744,1585,1982,0.421751325873571,0.906711541298491
1982-02-23,18.4,18.4,1,18.4,48265,2,54,1982.14600456621,1586,1982,0.794007840049453,0.607907517587998
1982-03-23,6.6,6.6,1,6.6,48293,3,83,1982.22271689498,1587,1982,0.985342714797437,0.170586442590309
1982-04-20,5.6,5.6,1,5.6,48321,4,111,1982.29942922374,1588,1982,0.952158623399713,-0.305604247165453
1982-05-18,2,2,1,2,48349,5,139,1982.37614155251,1589,1982,0.702016851672084,-0.712160333048967
1982-06-15,4.8,4.8,1,4.8,48377,6,167,1982.45285388128,1590,1982,0.291914392777165,-0.956444450707692
1982-07-13,16.8,16.8,1,16.8,48405,7,195,1982.52956621005,1591,1982,-0.184703316786506,-0.982794324753691
1982-08-10,29.2,29.2,1,29.2,48433,8,223,1982.60627853881,1592,1982,-0.619234758185994,-0.785205905641528
1982-09-14,24.4,24.4,1,24.4,48468,9,258,1982.70216894977,1593,1982,-0.955179329011328,-0.296027784894372
1982-10-12,24.4,24.4,1,24.4,48496,10,286,1982.77888127854,1594,1983,-0.98358010161614,0.180472113371525
1982-11-16,3.7,3.7,1,3.7,48531,11,321,1982.8747716895,1595,1983,-0.708120410117773,0.706091697143251
1983-01-25,4.8,4.8,1,4.8,48601,1,25,1983.06655251142,1597,1983,0.406081290173963,0.913836957980279
1983-03-01,17.8,17.8,1,17.8,48636,3,61,1983.16244292237,1599,1983,0.852452726233122,0.522804312853019
1983-03-29,23,23,1,23,48664,3,89,1983.23915525114,1599,1983,0.997679397814066,0.0680868502529104
1983-05-24,3.3,3.3,1,3.3,48720,5,145,1983.39257990868,1601,1983,0.624850738252855,-0.780744231425927
1983-06-21,9.2,9.2,1,9.2,48748,6,173,1983.46929223744,1602,1983,0.191747682026195,-0.981444255389771
1983-07-19,22,22,1,22,48776,7,201,1983.54600456621,1603,1983,-0.285046762671538,-0.958513611322487
1983-08-16,11.6,11.6,1,11.6,48804,8,229,1983.62271689498,1604,1983,-0.696890806359456,-0.717177247276897
1983-09-13,14.7,14.7,1,14.7,48832,9,257,1983.69942922374,1605,1983,-0.949942177192996,-0.312425767166908
