"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
2005-01-19,51.2,51.2,1,51.2,56631,1,19,2005.05011415525,1861,2005,0.309699068289656,0.950834626578418
2005-02-16,30.7,30.7,1,30.7,56659,2,47,2005.12682648402,1862,2005,0.715174894662374,0.698945541544306
2005-03-16,35.8,35.8,1,35.8,56687,3,76,2005.20353881279,1863,2005,0.957691858548377,0.287795594250772
2005-04-20,31.3,31.3,1,31.3,56722,4,111,2005.29942922374,1864,2005,0.952158623399517,-0.305604247166063
2005-05-18,37.8,37.8,1,37.8,56750,5,139,2005.37614155251,1865,2005,0.702016851671628,-0.712160333049417
2005-06-15,120,120,1,120,56778,6,167,2005.45285388128,1866,2005,0.291914392776552,-0.956444450707879
2005-07-20,62.2,62.2,1,62.2,56813,7,202,2005.54874429224,1867,2005,-0.30150376609057,-0.953464985740537
2005-08-17,43.7,43.7,1,43.7,56841,8,230,2005.625456621,1868,2005,-0.709132581851344,-0.705075160076461
2005-09-21,29,29,1,29,56876,9,265,2005.72134703196,1869,2005,-0.983837979851795,-0.179060965598699
2005-10-19,36.1,36.1,1,36.1,56904,10,293,2005.79805936073,1870,2006,-0.954753689407498,0.297397701004515
2005-11-16,36.2,36.2,1,36.2,56932,11,321,2005.8747716895,1871,2006,-0.708120410118605,0.706091697142417
2005-12-21,31,31,1,31,56967,12,356,2005.97066210046,1872,2006,-0.183293291870143,0.983058273529808
2006-01-18,26,26,1,26,56995,1,18,2006.04737442922,1873,2006,0.293286127957859,0.956024710531839
2006-02-15,32,32,1,32,57023,2,46,2006.12408675799,1874,2006,0.703037735243996,0.711152545395848
2006-03-15,25.8,25.8,1,25.8,57051,3,75,2006.20079908676,1875,2006,0.952596038101175,0.304238045276959
2006-04-19,20.6,20.6,1,20.6,57086,4,110,2006.29668949772,1876,2006,0.957278025574126,-0.289169123097371
2006-05-17,22.8,22.8,1,22.8,57114,5,138,2006.37340182648,1877,2006,0.714171509752734,-0.699970752715784
2006-06-21,50.7,50.7,1,50.7,57149,6,173,2006.46929223744,1878,2006,0.191747682025566,-0.981444255389893
2006-07-19,69.6,69.6,1,69.6,57177,7,201,2006.54600456621,1879,2006,-0.285046762672153,-0.958513611322304
2006-08-16,84.7,84.7,1,84.7,57205,8,229,2006.62271689498,1880,2006,-0.696890806359915,-0.717177247276451
2006-09-20,90.5,90.5,1,90.5,57240,9,264,2006.71860730594,1881,2006,-0.980609973464434,-0.195969589329778
2006-10-18,38.5,38.5,1,38.5,57268,10,292,2006.7953196347,1882,2007,-0.959731444892673,0.280919123030494
2006-11-15,27.8,27.8,1,27.8,57296,11,320,2006.87203196347,1883,2007,-0.720169702299153,0.693797953218622
2006-12-20,33.6,33.6,1,33.6,57331,12,355,2006.96792237443,1884,2007,-0.200187867173799,0.97975753012488
2007-01-17,30.5,30.5,1,30.5,57359,1,17,2007.0446347032,1885,2007,0.27678628061846,0.960931503730312
2007-02-21,36,36,1,36,57394,2,52,2007.14052511416,1886,2007,0.772612155118962,0.634878301536943
2007-03-21,28.9,28.9,1,28.9,57422,3,81,2007.21723744292,1887,2007,0.97888694115856,0.204402437434678
2007-04-18,46.2,46.2,1,46.2,57450,4,109,2007.29394977169,1888,2007,0.962113765609995,-0.272648311976721
2007-05-16,20.8,20.8,1,20.8,57478,5,137,2007.37066210046,1889,2007,0.726114543402409,-0.687573755941507
2007-06-20,29.7,29.7,1,29.7,57513,6,172,2007.46655251142,1890,2007,0.208613222052787,-0.977998222689977
2007-07-25,76.6,76.6,1,76.6,57548,7,207,2007.56244292237,1891,2007,-0.382352077493376,-0.924016714587187
2007-08-15,67.7,67.7,1,67.7,57569,8,228,2007.61997716895,1892,2007,-0.684442527082419,-0.729066819380111
2007-09-19,61.5,61.5,1,61.5,57604,9,263,2007.71586757991,1893,2007,-0.977091391178302,-0.212820143043956
2007-10-17,77.8,77.8,1,77.8,57632,10,291,2007.79257990868,1894,2008,-0.964424811238556,0.264357302655849
2007-11-28,37,37,1,37,57674,11,333,2007.90764840183,1895,2008,-0.548243242421581,0.836318926689496
2007-12-12,30.7,30.7,1,30.7,57688,12,347,2007.94600456621,1896,2008,-0.332792489662987,0.943000084212038
2008-01-23,62.5,62.5,1,62.5,57730,1,23,2008.06090619308,1897,2008,0.373412498822738,0.927665406126023
2008-02-19,41.6,41.6,1,41.6,57757,2,50,2008.13467668488,1898,2008,0.748766101585686,0.662834311963535
2008-03-19,53.3,53.3,1,53.3,57786,3,79,2008.21391165756,1899,2008,0.974402236261568,0.224811658880175
2008-04-16,69.8,69.8,1,69.8,57814,4,107,2008.2904143898,1900,2008,0.967932367907094,-0.25121092961447
2008-05-21,27.8,27.8,1,27.8,57849,5,142,2008.3860428051,1901,2008,0.656382874306184,-0.75442794375444
2008-06-18,78.8,78.8,1,78.8,57877,6,170,2008.46254553734,1902,2008,0.233167140260722,-0.972436673877861
2008-07-16,63,63,1,63,57905,7,198,2008.53904826958,1903,2008,-0.24289344615009,-0.970052974747943
2008-08-27,122.4,122.4,1,122.4,57947,8,240,2008.65380236794,1904,2008,-0.822827551645016,-0.568291140397128
2008-09-17,43.4,43.4,1,43.4,57968,9,261,2008.71117941712,1905,2008,-0.970399464786656,-0.241505442468223
2008-10-21,34.3,34.3,1,34.3,58002,10,295,2008.80407559199,1906,2009,-0.942832354081052,0.333267388290517
2008-11-19,25.9,25.9,1,25.9,58031,11,324,2008.88331056466,1907,2009,-0.669236913642334,0.743049092199488
2008-12-17,35.3,35.3,1,35.3,58059,12,352,2008.9598132969,1908,2009,-0.249825951157379,0.968290759084435
2009-01-21,25.2,25.2,1,25.2,58094,1,21,2009.05559360731,1909,2009,0.342244801085327,0.939610821633119
2009-02-18,27.8,27.8,1,27.8,58122,2,49,2009.13230593607,1910,2009,0.738809914524732,0.67391387446762
2009-03-16,22.1,22.1,1,22.1,58148,3,76,2009.20353881279,1911,2009,0.957691858548091,0.287795594251726
2009-04-22,23,23,1,23,58185,4,113,2009.3049086758,1912,2009,0.941074984197067,-0.33819798065407
2009-05-20,42,42,1,42,58213,5,141,2009.38162100457,1913,2009,0.677087130607884,-0.735902858783129
2009-06-17,108.566666666667,108.566666666667,1,108.566666666667,58241,6,169,2009.45833333333,1914,2009,0.258819045103145,-0.965925826288901
2009-07-22,163.9,163.9,1,163.9,58276,7,204,2009.55422374429,1915,2009,-0.334144896616058,-0.942521717556388
2009-08-19,119.7,119.7,1,119.7,58304,8,232,2009.63093607306,1916,2009,-0.732982173732308,-0.680247846737247
2009-09-16,135.2,135.2,1,135.2,58332,9,260,2009.70764840183,1917,2009,-0.964803043888628,-0.262973547154913
2009-10-21,47.7,47.7,1,47.7,58367,10,295,2009.80353881279,1918,2010,-0.943950994915595,0.330085624039972
2009-11-18,30.9,30.9,1,30.9,58395,11,323,2009.88025114155,1919,2010,-0.683395964317578,0.730047913464896
2009-12-16,42.4,42.4,1,42.4,58423,12,351,2009.95696347032,1920,2010,-0.267123178799592,0.963662392826451
2010-01-20,40.8,40.8,1,40.8,58458,1,20,2010.05285388128,1921,2010,0.32602023810225,0.945362789804926
2010-02-16,44.5,44.5,1,44.5,58485,2,47,2010.12682648402,1922,2010,0.71517489466214,0.698945541544545
2010-03-16,74.6,74.6,1,74.6,58513,3,76,2010.20353881279,1923,2010,0.957691858548281,0.287795594251093
2010-04-20,52.5,52.5,1,52.5,58548,4,111,2010.29942922374,1924,2010,0.95215862339962,-0.305604247165744
2010-05-18,36.9,36.9,1,36.9,58576,5,139,2010.37614155251,1925,2010,0.702016851671866,-0.712160333049181
2010-06-08,41.1,41.1,1,41.1,58597,6,160,2010.43367579909,1926,2010,0.404769957970328,-0.914418548108414
2010-07-13,75.3,75.3,1,75.3,58632,7,195,2010.52956621005,1927,2010,-0.184703316786807,-0.982794324753635
2010-08-17,63.5,63.5,1,63.5,58667,8,230,2010.625456621,1928,2010,-0.709132581851107,-0.705075160076699
2010-09-21,50.6,50.6,1,50.6,58702,9,265,2010.72134703196,1929,2010,-0.983837979852061,-0.179060965597239
2010-10-19,32.6,32.6,1,32.6,58730,10,293,2010.79805936073,1930,2011,-0.954753689407057,0.297397701005932
2010-11-16,33.1,33.1,1,33.1,58758,11,321,2010.8747716895,1931,2011,-0.708120410117557,0.706091697143468
2010-12-14,27.2,27.2,1,27.2,58786,12,349,2010.95148401826,1932,2011,-0.300135694422256,0.953896516889369
2011-01-05,45,45,1,45,58808,1,5,2011.01175799087,1933,2011,0.0738104509455851,0.997272288460483
2011-01-18,29,29,1,29,58821,1,18,2011.04737442922,1933,2011,0.293286127957539,0.956024710531937
2011-02-02,65,65,1,65,58836,2,33,2011.08847031963,1934,2011,0.527687111625049,0.84943882194353
2011-02-15,34.5,34.5,1,34.5,58849,2,46,2011.12408675799,1934,2011,0.703037735243757,0.711152545396083
2011-03-02,60,60,1,60,58864,3,62,2011.1651826484,1935,2011,0.861325643000613,0.508053281368776
2011-03-15,39.9,39.9,1,39.9,58877,3,75,2011.20079908676,1935,2011,0.952596038101073,0.304238045277278
2011-04-06,150,150,1,150,58899,4,97,2011.26107305936,1936,2011,0.997580699558283,-0.0695179679565378
2011-04-19,35.1,35.1,1,35.1,58912,4,110,2011.29668949772,1936,2011,0.957278025574223,-0.28916912309705
2011-05-04,51,51,1,51,58927,5,125,2011.33778538813,1937,2011,0.851701877610019,-0.524026632601405
2011-05-17,28.1,28.1,1,28.1,58940,5,138,2011.37340182648,1937,2011,0.714171509752968,-0.699970752715544
2011-06-08,43,43,1,43,58962,6,160,2011.43367579909,1938,2011,0.404769957971387,-0.914418548107945
2011-06-21,23.2,23.2,1,23.2,58975,6,173,2011.46929223744,1938,2011,0.191747682025895,-0.981444255389829
2011-07-13,190,190,1,190,58997,7,195,2011.52956621005,1939,2011,-0.184703316785668,-0.982794324753849
2011-07-19,102,102,1,102,59003,7,201,2011.54600456621,1939,2011,-0.285046762671831,-0.9585136113224
2011-08-03,130,130,1,130,59018,8,216,2011.58710045662,1940,2011,-0.520356448329586,-0.853949159307402
2011-08-16,100.5,100.5,1,100.5,59031,8,229,2011.62271689498,1940,2011,-0.696890806359675,-0.717177247276684
2011-08-31,140,140,1,140,59046,8,244,2011.66381278539,1940,2011,-0.856920925724095,-0.51544788975818
2011-09-20,76.5,76.5,1,76.5,59066,9,264,2011.71860730594,1941,2011,-0.980609973464368,-0.195969589330107
2011-10-05,85,85,1,85,59081,10,279,2011.75970319635,1942,2012,-0.99814208922155,0.0609292189711865
2011-10-18,72.8,72.8,1,72.8,59094,10,292,2011.7953196347,1942,2012,-0.959731444892767,0.280919123030173
2011-11-02,95,95,1,95,59109,11,307,2011.83641552511,1943,2012,-0.856180625415798,0.516676626781794
2011-11-22,30.3,30.3,1,30.3,59129,11,327,2011.89121004566,1943,2012,-0.631547456399235,0.775337223610253
2011-12-07,51,51,1,51,59144,12,342,2011.93230593607,1944,2012,-0.412625362532277,0.910900823468234
2011-12-20,24.1,24.1,1,24.1,59157,12,355,2011.96792237443,1944,2012,-0.200187867174127,0.979757530124813
2012-01-04,44,44,1,44,59172,1,4,2012.00899362477,1945,2012,0.0564785417274407,0.99840381325611
2012-01-24,30,30,1,30,59192,1,24,2012.06363843352,1945,2012,0.389282085897549,0.921118590410189
2012-02-08,50,50,1,50,59207,2,39,2012.10462204007,1946,2012,0.611028873121198,0.79160830984284
2012-02-27,27.4,27.4,1,27.4,59226,2,58,2012.15653460838,1946,2012,0.832461779229401,0.554082472310955
2012-03-07,51,51,1,51,59235,3,67,2012.18112477231,1947,2012,0.907813479220816,0.419374161036416
2012-03-27,33.6,33.6,1,33.6,59255,3,87,2012.23576958106,1947,2012,0.996005377347495,0.0892932712743499
2012-04-04,35,35,1,35,59263,4,95,2012.25762750455,1948,2012,0.998851815799823,-0.0479066808847921
2012-04-16,22,22,1,22,59275,4,107,2012.2904143898,1948,2012,0.967932367906887,-0.251210929615266
2012-05-22,27.4,27.4,1,27.4,59311,5,143,2012.38877504554,1949,2012,0.643335395926103,-0.765584461929972
2012-06-06,47,47,1,47,59326,6,158,2012.42975865209,1950,2012,0.427150911640783,-0.90418034632724
2012-06-27,103.8,103.8,1,103.8,59347,6,179,2012.48713570128,1950,2012,0.0807407885069276,-0.996735132856909
2012-07-11,130,130,1,130,59361,7,193,2012.5253870674,1951,2012,-0.158836074056046,-0.987304968881684
2012-07-31,80.7,80.7,1,80.7,59381,7,213,2012.58003187614,1951,2012,-0.481929174369131,-0.876210175067539
2012-08-08,190,190,1,190,59389,8,221,2012.60188979964,1952,2012,-0.597349827332141,-0.801980787666551
2012-08-29,113.8,113.8,1,113.8,59410,8,242,2012.65926684882,1952,2012,-0.841850676507399,-0.539710513575598
2012-09-06,130,130,1,130,59418,9,250,2012.68112477231,1953,2012,-0.907813479220954,-0.419374161036116
2012-09-25,76.3,76.3,1,76.3,59437,9,269,2012.73303734062,1953,2012,-0.9943257759299,-0.106377870449645
2012-10-03,95,95,1,95,59445,10,277,2012.75489526412,1954,2013,-0.999527014573909,0.0307530020805833
2012-10-24,40.6,40.6,1,40.6,59466,10,298,2012.8122723133,1954,2013,-0.924426052970482,0.381361341236123
2012-11-07,49,49,1,49,59480,11,312,2012.85052367942,1955,2013,-0.807078584637427,0.590444034790468
2012-11-27,34.7,34.7,1,34.7,59500,11,332,2012.90516848816,1955,2013,-0.561207480536033,0.827675155958181
2012-12-04,45,45,1,45,59507,12,339,2012.92429417122,1956,2013,-0.457937505241756,0.888984387541736
2012-12-18,37.1,37.1,1,37.1,59521,12,353,2012.96254553734,1956,2013,-0.233167140261369,0.972436673877706
2013-01-08,59,59,1,59,59542,1,8,2013.01997716895,1957,2013,0.125190911714771,0.992132670374292
2013-01-29,30.2,30.2,1,30.2,59563,1,29,2013.07751141553,1957,2013,0.467993201906328,0.883732065147272
2013-02-07,41,41,1,41,59572,2,38,2013.10216894977,1958,2013,0.59875554361587,0.800931831674372
2013-02-25,30.1,30.1,1,30.1,59590,2,56,2013.15148401826,1958,2013,0.814462468064091,0.580216242546647
2013-03-06,42,42,1,42,59599,3,66,2013.17614155251,1959,2013,0.894239862897242,0.447588055700241
2013-03-26,34.2,34.2,1,34.2,59619,3,86,2013.23093607306,1959,2013,0.992834687339302,0.119495956483351
2013-04-03,41,41,1,41,59627,4,94,2013.25285388128,1960,2013,0.999839235590684,-0.0179305039928313
2013-04-23,51.2,51.2,1,51.2,59647,4,114,2013.30764840183,1960,2013,0.935114031490949,-0.3543469318461
2013-05-08,76,76,1,76,59662,5,129,2013.34874429224,1961,2013,0.813629300158368,-0.58138400556242
2013-05-29,33,33,1,33,59683,5,150,2013.40627853881,1961,2013,0.555421129407005,-0.83156922081583
2013-06-04,56,56,1,56,59689,6,156,2013.42271689498,1962,2013,0.466724991971903,-0.884402499922308
2013-06-24,67.2,67.2,1,67.2,59709,6,176,2013.47751141553,1962,2013,0.140830221277471,-0.990033761431871
2013-07-10,160,160,1,160,59725,7,192,2013.52134703196,1963,2013,-0.133725557339757,-0.99101840311579
2013-07-23,105.9,105.9,1,105.9,59738,7,205,2013.55696347032,1963,2013,-0.350319351452801,-0.936630317680187
2013-08-06,130,130,1,130,59752,8,219,2013.5953196347,1964,2013,-0.563743289018035,-0.825950061497139
2013-08-26,104.7,104.7,1,104.7,59772,8,239,2013.65011415525,1964,2013,-0.809438380260579,-0.587204826752242
2013-09-09,100,100,1,100,59786,9,253,2013.68847031963,1965,2013,-0.926195453279807,-0.377043740597577
2013-09-24,74.9,74.9,1,74.9,59801,9,268,2013.72956621005,1965,2013,-0.99176941053928,-0.128036855313494
2013-10-03,99,99,1,99,59810,10,277,2013.75422374429,1966,2014,-0.999647872869729,0.0265354530209478
2013-10-21,36.3,36.3,1,36.3,59828,10,295,2013.80353881279,1966,2014,-0.943950994915924,0.330085624039032
2013-11-04,48,48,1,48,59842,11,309,2013.84189497717,1967,2014,-0.837888411229055,0.545841561561641
