"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
1988-01-26,24,24,1,24,50428,1,26,1988.06910291439,1657,1988,0.420672447362965,0.907212594726095
1988-02-23,6,6,1,6,50456,2,54,1988.14560564663,1658,1988,0.792481636016707,0.609895775174975
1988-03-15,12,12,1,12,50477,3,75,1988.20298269581,1659,1988,0.956680402872073,0.291140184036022
1988-04-26,3,3,1,3,50519,4,117,1988.31773679417,1660,1988,0.910790008139851,-0.41286990817037
1988-05-24,2,2,1,2,50547,5,145,1988.39423952641,1661,1988,0.616675558506456,-0.787217413133596
1988-06-21,4,4,1,4,50575,6,173,1988.47074225865,1662,1988,0.182798152526348,-0.98315046428965
1988-07-27,8,8,1,8,50611,7,209,1988.56910291439,1663,1988,-0.420672447363264,-0.907212594725956
1988-08-23,6,6,1,6,50638,8,236,1988.64287340619,1664,1988,-0.781895190035919,-0.623409906721648
1988-09-27,33,33,1,33,50673,9,271,1988.73850182149,1665,1988,-0.997391451408902,-0.0721823569609876
1988-10-25,5,5,1,5,50701,10,299,1988.81500455373,1666,1989,-0.917743262130856,0.397174149226022
1988-11-29,8,8,1,8,50736,11,334,1988.91063296903,1667,1989,-0.532464621958527,0.846452258761569
1988-12-27,8,8,1,8,50764,12,362,1988.98713570128,1668,1989,-0.0807407885060826,0.996735132856977
1989-01-24,22,22,1,22,50792,1,24,1989.06381278539,1669,1989,0.390290923822163,0.920691585050088
1989-02-21,8,8,1,8,50820,2,52,1989.14052511416,1670,1989,0.772612155118342,0.634878301537697
1989-03-21,5,5,1,5,50848,3,81,1989.21723744292,1671,1989,0.978886941158733,0.204402437433853
1989-04-25,4,4,1,4,50883,4,116,1989.31312785388,1672,1989,0.922362691140323,-0.386325078130298
1989-05-30,4,4,1,4,50918,5,151,1989.40901826484,1673,1989,0.541024740607333,-0.841006676579186
1989-06-27,19,19,1,19,50946,6,179,1989.48573059361,1674,1989,0.0895372554156433,-0.995983473704576
1989-07-25,9,9,1,9,50974,7,207,1989.56244292237,1675,1989,-0.382352077494154,-0.924016714586865
1989-08-29,8,8,1,8,51009,8,242,1989.65833333333,1676,1989,-0.83867056794528,-0.544639035015249
1989-09-26,34,34,1,34,51037,9,270,1989.7350456621,1677,1989,-0.995588923627272,-0.093822679298179
1989-10-24,5,5,1,5,51065,10,298,1989.81175799087,1678,1990,-0.925653624756326,0.3783719954958
1989-11-28,8,8,1,8,51100,11,333,1989.90764840183,1679,1990,-0.548243242420877,0.836318926689958
1989-12-19,10,10,1,10,51121,12,354,1989.9651826484,1680,1990,-0.217023122494742,0.976166463418321
1990-01-30,4,4,1,4,51163,1,30,1990.08025114155,1681,1990,0.483135858445824,0.875545397043361
1990-02-27,9,9,1,9,51191,2,58,1990.15696347032,1682,1990,0.833951796365855,0.551837296073909
1990-03-27,6,6,1,6,51219,3,87,1990.23367579909,1683,1990,0.994744514624788,0.102388234792361
1990-04-24,4,4,1,4,51247,4,115,1990.31038812785,1684,1990,0.928875984316429,-0.370390882393431
1990-05-29,5,5,1,5,51282,5,150,1990.40627853881,1685,1990,0.555421129407538,-0.831569220815474
1990-06-26,11,11,1,11,51310,6,178,1990.48299086758,1686,1990,0.106668207763591,-0.994294671338685
1990-07-31,7,7,1,7,51345,7,213,1990.57888127854,1687,1990,-0.475582146159064,-0.879671314898206
1990-08-28,9,9,1,9,51373,8,241,1990.65559360731,1688,1990,-0.829171244164374,-0.558994676048801
1990-09-25,5,5,1,5,51401,9,269,1990.73230593607,1689,1990,-0.993826413190663,-0.110946205183333
1990-10-23,9,9,1,9,51429,10,297,1990.80901826484,1690,1991,-0.932029531101178,0.362382330081528
1990-11-27,14,14,1,14,51464,11,332,1990.9049086758,1691,1991,-0.562557869813729,0.826757910824347
1990-12-18,13,13,1,13,51485,12,353,1990.96244292237,1692,1991,-0.233794069178019,0.972286137521863
1991-01-22,9,9,1,9,51520,1,22,1991.05833333333,1693,1991,0.358367949545577,0.933580426497096
1991-02-25,7,7,1,7,51554,2,56,1991.15148401826,1694,1991,0.814462468064102,0.580216242546631
1991-03-26,6,6,1,6,51583,3,86,1991.23093607306,1695,1991,0.992834687339304,0.119495956483331
1991-04-23,9,9,1,9,51611,4,114,1991.30764840183,1696,1991,0.935114031490942,-0.354346931846118
1991-05-21,24,24,1,24,51639,5,142,1991.38436073059,1697,1991,0.664319454837419,-0.747448768762457
1991-06-25,9,9,1,9,51674,6,177,1991.48025114155,1698,1991,0.123767552017683,-0.992311238003254
1991-07-30,37,37,1,37,51709,7,212,1991.57614155251,1699,1991,-0.460369587888457,-0.887727346963814
1991-08-27,14,14,1,14,51737,8,240,1991.65285388128,1700,1991,-0.819426219048832,-0.573184674895741
1991-09-24,4,4,1,4,51765,9,268,1991.72956621005,1701,1991,-0.991769410539283,-0.128036855313474
1991-10-22,6,6,1,6,51793,10,296,1991.80627853881,1702,1992,-0.93812925698111,0.346285282961998
1991-11-19,4,4,1,4,51821,11,324,1991.88299086758,1703,1992,-0.670728137085717,0.741703287117917
1991-12-10,5,5,1,5,51842,12,345,1991.94052511416,1704,1992,-0.365054859740255,0.930986009228937
1992-01-28,7,7,1,7,51891,1,28,1992.07456739526,1705,1992,0.451566948961646,0.892237238970371
1992-02-25,20,20,1,20,51919,2,56,1992.1510701275,1706,1992,0.812950833003676,0.582332330476875
1992-03-24,11,11,1,11,51947,3,84,1992.22757285974,1707,1992,0.990088057328407,0.140447992992644
1992-04-21,14,14,1,14,51975,4,112,1992.30407559199,1708,1992,0.942832354081047,-0.333267388290531
1992-05-26,4,4,1,4,52010,5,147,1992.39970400729,1709,1992,0.589288826176377,-0.807922446367018
1992-06-23,6,6,1,6,52038,6,175,1992.47620673953,1710,1992,0.148941221173769,-0.988846051028807
1992-07-28,11,11,1,11,52073,7,210,1992.57183515483,1711,1992,-0.436183970871295,-0.899857512917989
1992-08-25,5,5,1,5,52101,8,238,1992.64833788707,1712,1992,-0.802834534021699,-0.596201904544226
1992-09-22,11,11,1,11,52129,9,266,1992.72484061931,1713,1992,-0.987531189019749,-0.157423475737389
1992-10-27,14,14,1,14,52164,10,301,1992.82046903461,1714,1993,-0.903568340152375,0.428443992459087
1992-11-17,2,2,1,2,52185,11,322,1992.87784608379,1715,1993,-0.694349580723555,0.719637867089429
1992-12-15,3,3,1,3,52213,12,350,1992.95434881603,1716,1993,-0.282917810655304,0.959144156221581
1993-01-19,10,10,1,10,52248,1,19,1993.05011415525,1717,1993,0.309699068289037,0.950834626578619
1993-02-16,6,6,1,6,52276,2,47,1993.12682648402,1718,1993,0.715174894661919,0.698945541544771
1993-03-16,7,7,1,7,52304,3,76,1993.20353881279,1719,1993,0.95769185854819,0.287795594251395
1993-04-20,3,3,1,3,52339,4,111,1993.29942922374,1720,1993,0.952158623399716,-0.305604247165443
1993-05-18,5,5,1,5,52367,5,139,1993.37614155251,1721,1993,0.702016851672091,-0.71216033304896
1993-06-15,3,3,1,3,52395,6,167,1993.45285388128,1722,1993,0.291914392777175,-0.956444450707689
1993-07-20,5,5,1,5,52430,7,202,1993.54874429224,1723,1993,-0.30150376608995,-0.953464985740733
1993-08-17,10,10,1,10,52458,8,230,1993.625456621,1724,1993,-0.709132581850885,-0.705075160076923
1993-09-14,13,13,1,13,52486,9,258,1993.70216894977,1725,1993,-0.955179329011326,-0.296027784894381
1993-10-19,6,6,1,6,52521,10,293,1993.79805936073,1726,1994,-0.954753689407151,0.29739770100563
1993-11-16,3,3,1,3,52549,11,321,1993.8747716895,1727,1994,-0.70812041011778,0.706091697143244
1993-12-14,3,3,1,3,52577,12,349,1993.95148401826,1728,1994,-0.300135694420822,0.95389651688982
1994-01-25,7,7,1,7,52619,1,25,1994.06655251142,1729,1994,0.406081290173954,0.913836957980283
1994-02-22,4,4,1,4,52647,2,53,1994.14326484018,1730,1994,0.783426070610776,0.621484989269539
1994-03-22,2,2,1,2,52675,3,82,1994.21997716895,1731,1994,0.982260360450136,0.187522223451966
1994-04-26,5,5,1,5,52710,4,117,1994.31586757991,1732,1994,0.915576081993206,-0.402144797407565
1994-05-24,2,2,1,2,52738,5,145,1994.39257990868,1733,1994,0.624850738252863,-0.780744231425921
1994-06-21,13,13,1,13,52766,6,173,1994.46929223744,1734,1994,0.191747682026205,-0.981444255389769
1994-07-26,13,13,1,13,52801,7,208,1994.5651826484,1735,1994,-0.398200856709011,-0.917298249053278
