"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
2013-01-08,104,104,1,104,59542,1,8,2013.01997716895,1957,2013,0.125190911714771,0.992132670374292
2013-02-07,129,129,1,129,59572,2,38,2013.10216894977,1958,2013,0.59875554361587,0.800931831674372
2013-03-06,150,150,1,150,59599,3,66,2013.17614155251,1959,2013,0.894239862897242,0.447588055700241
2013-04-03,167,167,1,167,59627,4,94,2013.25285388128,1960,2013,0.999839235590684,-0.0179305039928313
2013-05-08,130,130,1,130,59662,5,129,2013.34874429224,1961,2013,0.813629300158368,-0.58138400556242
2013-06-04,109,109,1,109,59689,6,156,2013.42271689498,1962,2013,0.466724991971903,-0.884402499922308
2013-07-10,92,92,1,92,59725,7,192,2013.52134703196,1963,2013,-0.133725557339757,-0.99101840311579
2013-08-06,85,85,1,85,59752,8,219,2013.5953196347,1964,2013,-0.563743289018035,-0.825950061497139
2013-09-09,100,100,1,100,59786,9,253,2013.68847031963,1965,2013,-0.926195453279807,-0.377043740597577
2013-10-03,112,112,1,112,59810,10,277,2013.75422374429,1966,2014,-0.999647872869729,0.0265354530209478
2013-11-04,115,115,1,115,59842,11,309,2013.84189497717,1967,2014,-0.837888411229055,0.545841561561641
2013-12-02,114,114,1,114,59870,12,337,2013.91860730594,1968,2014,-0.489403301581824,0.8720575717238
2014-01-06,104,104,1,104,59905,1,6,2014.01449771689,1969,2014,0.0909659182157422,0.995854006229411
2014-02-05,118,118,1,118,59935,2,36,2014.09668949772,1970,2014,0.570831357076363,0.821067330843432
2014-05-06,76,76,1,76,60025,5,127,2014.34326484018,1973,2014,0.833159318479802,-0.553033046056265
2014-05-13,122,122,1,122,60032,5,134,2014.36244292237,1973,2014,0.760638827793682,-0.649175302713107
2014-06-03,111,111,1,111,60053,6,155,2014.41997716895,1974,2014,0.481879376844523,-0.876237562634662
2014-07-02,126,126,1,126,60082,7,184,2014.49942922374,1975,2014,0.00358628529681865,-0.999993569258208
2014-08-04,111,111,1,111,60115,8,217,2014.58984018265,1976,2014,-0.534978682925762,-0.844865556650889
2014-09-03,118,118,1,118,60145,9,247,2014.67203196347,1977,2014,-0.88238574124471,-0.470526730003752
2014-10-02,56,56,1,56,60174,10,276,2014.75148401826,1978,2015,-0.999956528453888,0.00932422664078961
2014-11-03,115,115,1,115,60206,11,308,2014.83915525114,1979,2015,-0.847160034223364,0.531337817602577
2014-12-01,72,72,1,72,60234,12,336,2014.91586757991,1980,2015,-0.504341828772353,0.863504093650145
2015-01-06,103,103,1,103,60270,1,6,2015.01449771689,1981,2015,0.0909659182164,0.99585400622935
2015-02-02,108,108,1,108,60297,2,33,2015.08847031963,1982,2015,0.527687111624204,0.849438821944056
2015-03-02,57,57,1,57,60325,3,62,2015.1651826484,1983,2015,0.861325643000107,0.508053281369633
2015-04-01,119,119,1,119,60355,4,92,2015.24737442922,1984,2015,0.999863928443919,0.0164961994620842
2015-05-04,135,135,1,135,60388,5,125,2015.33778538813,1985,2015,0.851701877609587,-0.524026632602107
2015-06-01,108,108,1,108,60416,6,153,2015.4144977169,1986,2015,0.511755324552085,-0.859131240144712
2015-07-06,68,68,1,68,60451,7,188,2015.51038812785,1987,2015,-0.0652241974570515,-0.997870634935252
2015-08-03,50,50,1,50,60479,8,216,2015.58710045662,1988,2015,-0.520356448330289,-0.853949159306974
2015-08-31,76,76,1,76,60507,8,244,2015.66381278539,1988,2015,-0.856920925724519,-0.515447889757474
2015-10-08,102,102,1,102,60545,10,282,2015.76792237443,1990,2016,-0.993666236438933,0.112371751616173
2015-10-28,114,114,1,114,60565,10,302,2015.82271689498,1990,2016,-0.897427196749971,0.441162585146891
