"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
2017-04-06,18,18,1,18,61091,4,97,2017.26107305936,2008,2017,0.997580699558387,-0.0695179679550478
2017-04-26,13.8,13.8,1,13.8,61111,4,117,2017.31586757991,2008,2017,0.915576081992948,-0.402144797408151
2017-05-31,28,28,1,28,61146,5,152,2017.41175799087,2009,2017,0.526468034500935,-0.850194923913759
2017-06-28,4.8,4.8,1,4.8,61174,6,180,2017.48847031963,2010,2017,0.0723797712473934,-0.997377144672052
2017-07-25,37,37,1,37,61201,7,207,2017.56244292237,2011,2017,-0.382352077494437,-0.924016714586748
2017-08-30,6.9,6.9,1,6.9,61237,8,243,2017.66107305936,2012,2017,-0.847921375536449,-0.530122005682066
2017-09-27,29,29,1,29,61265,9,271,2017.73778538813,2013,2017,-0.997056419579166,-0.076671351729139
2017-10-25,30,30,1,30,61293,10,299,2017.81449771689,2014,2018,-0.919003427265544,0.394249541121083
2017-11-30,12,12,1,12,61329,11,335,2017.91312785388,2015,2018,-0.519130908594849,0.854694740677329
2017-12-20,9,9,1,9,61349,12,355,2017.96792237443,2016,2018,-0.200187867173808,0.979757530124878
2018-01-31,16,16,1,16,61391,1,31,2018.08299086758,2017,2018,0.498135351405959,0.867099285941155
2018-02-26,16,16,1,16,61417,2,57,2018.15422374429,2018,2018,0.8243292654914,0.566110644710386
2018-03-28,8,8,1,8,61447,3,88,2018.23641552511,2019,2018,0.996359577642532,0.0852501732549333
2018-04-02,10.5,10.5,1,10.5,61452,4,93,2018.25011415525,2020,2018,0.999999742770064,-0.000717258534879108
2018-04-30,14,14,1,14,61480,4,121,2018.32682648402,2020,2018,0.88573790822198,-0.464185693379871
2018-05-29,19,19,1,19,61509,5,150,2018.40627853881,2021,2018,0.555421129407284,-0.831569220815644
2018-06-26,15,15,1,15,61537,6,178,2018.48299086758,2022,2018,0.106668207763287,-0.994294671338718
2018-07-31,10,10,1,10,61572,7,213,2018.57888127854,2023,2018,-0.475582146159333,-0.879671314898061
2018-08-29,22,22,1,22,61601,8,242,2018.65833333333,2024,2018,-0.838670567944815,-0.544639035015964
2018-09-25,27,27,1,27,61628,9,269,2018.73230593607,2025,2018,-0.993826413190697,-0.110946205183029
2018-10-30,15,15,1,15,61663,10,304,2018.82819634703,2026,2019,-0.881709854888449,0.471792042951754
2018-11-29,9,9,1,9,61693,11,334,2018.91038812785,2027,2019,-0.53376615872493,0.845632123207268
2018-12-27,14,14,1,14,61721,12,362,2018.98710045662,2028,2019,-0.0809615122181522,0.996717228475233
