"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
2013-01-22,2.3,2.3,1,2.3,59556,1,22,2013.05833333333,1957,2013,0.358367949545558,0.933580426497103
2013-02-18,1.7,1.7,1,1.7,59583,2,49,2013.13230593607,1958,2013,0.738809914525287,0.673913874467011
2013-03-20,2.7,2.7,1,2.7,59613,3,80,2013.2144977169,1959,2013,0.975223456540745,0.221222082561215
2013-04-10,4,4,1,4,59634,4,101,2013.27203196347,1960,2013,0.990433732966791,-0.137989204655539
2013-05-20,3.7,3.7,1,3.7,59674,5,141,2013.38162100457,1961,2013,0.677087130608616,-0.735902858782455
2013-06-17,7.8,7.8,1,7.8,59702,6,169,2013.45833333333,1962,2013,0.258819045104107,-0.965925826288643
2013-07-17,5,5,1,5,59732,7,199,2013.54052511416,1963,2013,-0.251884260908203,-0.967757365824063
2013-08-21,2.8,2.8,1,2.8,59767,8,234,2013.63641552511,1964,2013,-0.755963036226579,-0.654614304655109
2013-09-18,2.1,2.1,1,2.1,59795,9,262,2013.71312785388,1965,2013,-0.973283275625935,-0.229607633555269
2013-10-15,2.7,2.7,1,2.7,59822,10,289,2013.78710045662,1966,2014,-0.972952898210841,0.231003588420451
2013-11-13,2.4,2.4,1,2.4,59851,11,318,2013.86655251142,1967,2014,-0.743624573957287,0.668597407269011
2013-12-30,1.9,1.9,1,1.9,59898,12,365,2013.9953196347,1968,2014,-0.0294033639977611,0.99956762761987
2014-01-21,3.6,3.6,1,3.6,59920,1,21,2014.05559360731,1969,2014,0.342244801085012,0.939610821633234
2014-02-19,2.7,2.7,1,2.7,59949,2,50,2014.1350456621,1970,2014,0.750300771403481,0.661096628664328
2014-03-18,3.4,3.4,1,3.4,59976,3,78,2014.20901826484,1971,2014,0.967030719233147,0.254659749586429
2014-04-07,1.8,1.8,1,1.8,59996,4,98,2014.26381278539,1972,2014,0.996236259671259,-0.086679379994438
2014-05-14,3.4,3.4,1,3.4,60033,5,135,2014.3651826484,1973,2014,0.74935164525076,-0.662172267434978
2014-06-09,2.7,2.7,1,2.7,60059,6,161,2014.43641552511,1974,2014,0.388969774789149,-0.921250516580848
2014-07-16,7.2,7.2,1,7.2,60096,7,198,2014.53778538813,1975,2014,-0.235188589324451,-0.971949755620924
2014-08-19,2,2,1,2,60130,8,232,2014.63093607306,1976,2014,-0.73298217373208,-0.680247846737492
2014-09-17,2,2,1,2,60159,9,261,2014.71038812785,1977,2014,-0.969186755233051,-0.246327086372631
2014-10-20,2.9,2.9,1,2.9,60192,10,294,2014.80079908676,1978,2015,-0.949493019798568,0.313788153622466
2014-11-19,1.8,1.8,1,1.8,60222,11,324,2014.88299086758,1979,2015,-0.670728137085242,0.741703287118347
2014-12-22,1.3,1.3,1,1.3,60255,12,357,2014.97340182648,1980,2015,-0.16634440280719,0.986067715552395
2015-01-21,1.1,1.1,1,1.1,60285,1,21,2015.05559360731,1981,2015,0.342244801085633,0.939610821633008
2015-02-18,1.3,1.3,1,1.3,60313,2,49,2015.13230593607,1982,2015,0.738809914524951,0.673913874467379
2015-03-18,2.1,2.1,1,2.1,60341,3,78,2015.20901826484,1983,2015,0.967030719233315,0.25465974958579
2015-04-21,1.9,1.9,1,1.9,60375,4,112,2015.30216894977,1984,2015,0.946757076076107,-0.321948814099105
2015-05-18,3.2,3.2,1,3.2,60402,5,139,2015.37614155251,1985,2015,0.702016851672105,-0.712160333048946
2015-06-17,2.3,2.3,1,2.3,60432,6,169,2015.45833333333,1986,2015,0.258819045102831,-0.965925826288985
2015-07-22,5.3,5.3,1,5.3,60467,7,204,2015.55422374429,1987,2015,-0.334144896616364,-0.94252171755628
2015-10-21,1.9,1.9,1,1.9,60558,10,295,2015.80353881279,1990,2016,-0.943950994916088,0.330085624038562
2015-11-16,2.4,2.4,1,2.4,60584,11,321,2015.8747716895,1991,2016,-0.708120410117794,0.70609169714323
2015-12-15,1.9,1.9,1,1.9,60613,12,350,2015.95422374429,1992,2016,-0.28367146559875,0.958921529430358
2016-01-19,4.3,4.3,1,4.3,60648,1,19,2016.04997723133,1993,2016,0.308880933280714,0.951100714464896
2016-02-09,2.1,2.1,1,2.1,60669,2,40,2016.10735428051,1994,2016,0.624527845897685,0.781002541416094
2016-03-16,4.3,4.3,1,4.3,60705,3,76,2016.20571493625,1995,2016,0.961537242222987,0.274674592596789
2016-04-20,4.2,4.2,1,4.2,60740,4,111,2016.30134335155,1996,2016,0.948414403453649,-0.317033309482867
2016-05-18,2.2,2.2,1,2.2,60768,5,139,2016.37784608379,1997,2016,0.694349580722856,-0.719637867090104
2016-06-21,6.8,6.8,1,6.8,60802,6,173,2016.47074225865,1998,2016,0.182798152527836,-0.983150464289373
2016-07-20,4.2,4.2,1,4.2,60831,7,202,2016.54997723133,1999,2016,-0.308880933281028,-0.951100714464794
2016-08-16,6.3,6.3,1,6.3,60858,8,229,2016.62374772313,2000,2016,-0.701521230707584,-0.712648554945926
2016-09-21,6.2,6.2,1,6.2,60894,9,265,2016.72210837887,2001,2016,-0.984683290737124,-0.174352565060309
2016-10-18,6.6,6.6,1,6.6,60921,10,292,2016.79587887067,2002,2017,-0.95873843328039,0.284289670144841
2016-11-16,2.8,2.8,1,2.8,60950,11,321,2016.87511384335,2003,2017,-0.706600807649453,0.707612392930721
2016-12-20,3.8,3.8,1,3.8,60984,12,355,2016.96801001821,2004,2017,-0.199648301867782,0.979867621447566
2017-04-18,3.2,3.2,1,3.2,61103,4,109,2017.29394977169,2008,2017,0.962113765609682,-0.272648311977826
2017-05-17,6.8,6.8,1,6.8,61132,5,138,2017.37340182648,2009,2017,0.714171509752741,-0.699970752715777
2017-07-19,3.3,3.3,1,3.3,61195,7,201,2017.54600456621,2011,2017,-0.285046762672143,-0.958513611322307
2017-08-15,3,3,1,3,61222,8,228,2017.61997716895,2012,2017,-0.684442527083257,-0.729066819379325
2017-09-20,3.6,3.6,1,3.6,61258,9,264,2017.71860730594,2013,2017,-0.980609973464432,-0.195969589329788
2017-10-17,1.7,1.7,1,1.7,61285,10,291,2017.79257990868,2014,2018,-0.964424811238733,0.264357302655202
2017-11-14,2.1,2.1,1,2.1,61313,11,319,2017.86929223744,2015,2018,-0.732005592656108,0.681298621986116
2017-12-19,1.6,1.6,1,1.6,61348,12,354,2017.9651826484,2016,2018,-0.217023122494443,0.976166463418387
2018-01-17,3.9,3.9,1,3.9,61377,1,17,2018.0446347032,2017,2018,0.276786280618451,0.960931503730315
2018-03-13,1.5,1.5,1,1.5,61432,3,73,2018.1953196347,2019,2018,0.941559166558418,0.336847644892786
2018-05-16,2.1,2.1,1,2.1,61496,5,137,2018.37066210046,2021,2018,0.726114543402415,-0.6875737559415
2018-06-19,2.8,2.8,1,2.8,61530,6,171,2018.46381278539,2022,2018,0.225416945478951,-0.974262388009996
2018-07-18,1.4,1.4,1,1.4,61559,7,200,2018.54326484018,2023,2018,-0.26850529374613,-0.963278208634611
2018-08-22,7.2,7.2,1,7.2,61594,8,235,2018.63915525114,2024,2018,-0.767119141315234,-0.641504655499691
2018-09-19,5.6,5.6,1,5.6,61622,9,263,2018.71586757991,2025,2018,-0.9770913911783,-0.212820143043966
2018-10-10,1.7,1.7,1,1.7,61643,10,284,2018.77340182648,2026,2019,-0.98920937377096,0.146508753471132
2018-11-19,2.9,2.9,1,2.9,61683,11,324,2018.88299086758,2027,2019,-0.67072813708598,0.741703287117679
2018-12-18,2.2,2.2,1,2.2,61712,12,353,2018.96244292237,2028,2019,-0.233794069177722,0.972286137521935
2019-01-22,1.7,1.7,1,1.7,61747,1,22,2019.05833333333,2029,2019,0.358367949545862,0.933580426496986
2019-03-19,2,2,1,2,61803,3,79,2019.21175799087,2031,2019,0.971270992165318,0.237976174812101
