"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,2.6741,4.63682610812409,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,2.7045,4.63682610812409,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,2.735,4.63682610812409,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,2.7654,4.63682610812409,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,2.7959,4.63682610812409,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,2.8263,4.63682610812409,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,2.8568,4.63682610812409,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,2.8872,4.63682610812409,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,2.9176,4.63682610812409,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,2.9481,4.63682610812409,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,2.9785,4.63682610812409,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,3.009,4.63682610812409,0.9999916,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,3.0394,4.63682610812409,0.9999911,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,3.0699,4.63682610812409,0.9999864,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,3.1003,4.63682610812409,0.9999822,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,3.1307,4.63682610812409,0.9999822,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,3.1612,4.63682610812409,0.9999754,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,3.1916,4.63682610812409,0.999972,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,3.2221,4.63682610812409,0.9999633,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,3.2525,4.63682610812409,0.9999492,1,1,1,0.9995,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"21",101,3.283,4.63682610812409,0.9999167,1,1,1,0.9993,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"22",101,3.3134,4.63682610812409,0.9998837,1,0.9995,1,0.9989,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"23",101,3.3438,4.63682610812409,0.9998205,1,0.9989,1,0.9958,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"24",101,3.3743,4.63682610812409,0.9997662,1,0.9987,1,0.9958,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"25",101,3.4047,4.63682610812409,0.9996603,1,0.9958,1,0.9958,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"26",101,3.4352,4.63682610812409,0.9995161,1,0.9958,1,0.9958,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"27",101,3.4656,4.63682610812409,0.9993903,1,0.9958,1,0.9953,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"28",101,3.4961,4.63682610812409,0.9992243,1,0.9958,1,0.9951,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"29",101,3.5265,4.63682610812409,0.9989581,1,0.99529,1,0.9945,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"30",101,3.557,4.63682610812409,0.9986975,1,0.9946,1,0.994,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"31",101,3.5874,4.63682610812409,0.9983676,0.9995,0.9942,1,0.9935,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"32",101,3.6178,4.63682610812409,0.9979794,0.9989,0.9938,1,0.9927975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"33",101,3.6483,4.63682610812409,0.9974399,0.9985,0.992895,1,0.992,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"34",101,3.6787,4.63682610812409,0.9968668,0.9976,0.9924,1,0.9913,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"35",101,3.7092,4.63682610812409,0.9962777,0.996,0.9917,1,0.9905,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"36",101,3.7396,4.63682610812409,0.9955421,0.9953,0.9905,1,0.9893975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"37",101,3.7701,4.63682610812409,0.9946979,0.9946,0.989285,1,0.986995,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"38",101,3.8005,4.63682610812409,0.9937728,0.9938,0.98749,0.9995,0.9849,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"39",101,3.8309,4.63682610812409,0.99268,0.9928,0.985195,0.9989,0.9828,0.9995,1000,"NLDAS-2_Hargreaves","1989-2012"
"40",101,3.8614,4.63682610812409,0.9912978,0.99185,0.9825,0.9982,0.980285,0.9989,1000,"NLDAS-2_Hargreaves","1989-2012"
"41",101,3.8918,4.63682610812409,0.9899376,0.9909,0.980395,0.9974,0.977585,0.9982,1000,"NLDAS-2_Hargreaves","1989-2012"
"42",101,3.9223,4.63682610812409,0.9879752,0.9896,0.97619,0.995605,0.9705975,0.9973025,1000,"NLDAS-2_Hargreaves","1989-2012"
"43",101,3.9527,4.63682610812409,0.9858279,0.988,0.971395,0.9946,0.9664925,0.9961025,1000,"NLDAS-2_Hargreaves","1989-2012"
"44",101,3.9832,4.63682610812409,0.9835664,0.9862,0.967895,0.9929,0.9597925,0.9940025,1000,"NLDAS-2_Hargreaves","1989-2012"
"45",101,4.0136,4.63682610812409,0.9811584,0.9836,0.96315,0.991805,0.95289,0.993005,1000,"NLDAS-2_Hargreaves","1989-2012"
"46",101,4.0441,4.63682610812409,0.9773397,0.9805,0.95219,0.990005,0.9408775,0.9912025,1000,"NLDAS-2_Hargreaves","1989-2012"
"47",101,4.0745,4.63682610812409,0.9735417,0.9775,0.943895,0.9886,0.934675,0.9897075,1000,"NLDAS-2_Hargreaves","1989-2012"
"48",101,4.1049,4.63682610812409,0.9686009,0.9733,0.93435,0.9872,0.9189875,0.9885,1000,"NLDAS-2_Hargreaves","1989-2012"
"49",101,4.1354,4.63682610812409,0.9626199,0.9674,0.91707,0.9853,0.9059975,0.987805,1000,"NLDAS-2_Hargreaves","1989-2012"
"50",101,4.1658,4.63682610812409,0.9557598,0.9633,0.90368,0.9833,0.8911875,0.9851,1000,"NLDAS-2_Hargreaves","1989-2012"
"51",101,4.1963,4.63682610812409,0.9476896,0.9543,0.89288,0.9802,0.874385,0.982215,1000,"NLDAS-2_Hargreaves","1989-2012"
"52",101,4.2267,4.63682610812409,0.937304,0.94485,0.87772,0.9754,0.86243,0.9790025,1000,"NLDAS-2_Hargreaves","1989-2012"
"53",101,4.2572,4.63682610812409,0.925464,0.9323,0.855495,0.970105,0.8398825,0.9752,1000,"NLDAS-2_Hargreaves","1989-2012"
"54",101,4.2876,4.63682610812409,0.9118882,0.92035,0.833565,0.965405,0.8113825,0.9703,1000,"NLDAS-2_Hargreaves","1989-2012"
"55",101,4.318,4.63682610812409,0.8932443,0.89855,0.805395,0.95871,0.7818,0.9653025,1000,"NLDAS-2_Hargreaves","1989-2012"
"56",101,4.3485,4.63682610812409,0.8737627,0.88065,0.775585,0.94822,0.750035,0.9568075,1000,"NLDAS-2_Hargreaves","1989-2012"
"57",101,4.3789,4.63682610812409,0.8510923,0.8553,0.749095,0.93871,0.712785,0.946225,1000,"NLDAS-2_Hargreaves","1989-2012"
"58",101,4.4094,4.63682610812409,0.8238228,0.8286,0.707165,0.922255,0.6764275,0.9381125,1000,"NLDAS-2_Hargreaves","1989-2012"
"59",101,4.4398,4.63682610812409,0.7946091,0.7982,0.663985,0.90132,0.62219,0.9128125,1000,"NLDAS-2_Hargreaves","1989-2012"
"60",101,4.4703,4.63682610812409,0.7606246,0.7666,0.616995,0.87715,0.5901925,0.8957025,1000,"NLDAS-2_Hargreaves","1989-2012"
"61",101,4.5007,4.63682610812409,0.7241498,0.7315,0.579055,0.84763,0.543755,0.8668025,1000,"NLDAS-2_Hargreaves","1989-2012"
"62",101,4.5312,4.63682610812409,0.6829789,0.6865,0.53156,0.821065,0.50095,0.8441125,1000,"NLDAS-2_Hargreaves","1989-2012"
"63",101,4.5616,4.63682610812409,0.636323,0.6399,0.470655,0.78901,0.44897,0.8127075,1000,"NLDAS-2_Hargreaves","1989-2012"
"64",101,4.592,4.63682610812409,0.5868304,0.5852,0.42635,0.74817,0.405355,0.7727325,1000,"NLDAS-2_Hargreaves","1989-2012"
"65",101,4.6225,4.63682610812409,0.5369543,0.5394,0.3734,0.696935,0.34338,0.7286575,1000,"NLDAS-2_Hargreaves","1989-2012"
"66",101,4.6529,4.63682610812409,0.4857446,0.4836,0.3192,0.65153,0.290095,0.67761,1000,"NLDAS-2_Hargreaves","1989-2012"
"67",101,4.6834,4.63682610812409,0.4324728,0.43105,0.268125,0.59864,0.2385875,0.6287025,1000,"NLDAS-2_Hargreaves","1989-2012"
"68",101,4.7138,4.63682610812409,0.378344,0.3752,0.2195,0.55234,0.19439,0.577105,1000,"NLDAS-2_Hargreaves","1989-2012"
"69",101,4.7443,4.63682610812409,0.326807,0.32035,0.172095,0.49612,0.1521625,0.52127,1000,"NLDAS-2_Hargreaves","1989-2012"
"70",101,4.7747,4.63682610812409,0.2785426,0.2724,0.138655,0.43745,0.1147875,0.472225,1000,"NLDAS-2_Hargreaves","1989-2012"
"71",101,4.8051,4.63682610812409,0.2351186,0.22695,0.1038,0.387375,0.0863825,0.4260075,1000,"NLDAS-2_Hargreaves","1989-2012"
"72",101,4.8356,4.63682610812409,0.1938383,0.1886,0.076075,0.33536,0.0624975,0.361705,1000,"NLDAS-2_Hargreaves","1989-2012"
"73",101,4.866,4.63682610812409,0.15807,0.15165,0.05376,0.2875,0.0403175,0.3176225,1000,"NLDAS-2_Hargreaves","1989-2012"
"74",101,4.8965,4.63682610812409,0.1270725,0.11725,0.036185,0.247565,0.026685,0.273425,1000,"NLDAS-2_Hargreaves","1989-2012"
"75",101,4.9269,4.63682610812409,0.0980767,0.09015,0.020785,0.20768,0.015095,0.235915,1000,"NLDAS-2_Hargreaves","1989-2012"
"76",101,4.9574,4.63682610812409,0.0746218,0.065,0.012175,0.17401,0.0063975,0.1934075,1000,"NLDAS-2_Hargreaves","1989-2012"
"77",101,4.9878,4.63682610812409,0.0561999,0.0468,0.00496,0.137235,0.0024975,0.1542175,1000,"NLDAS-2_Hargreaves","1989-2012"
"78",101,5.0182,4.63682610812409,0.0407406,0.03215,0.0019,0.11072,9e-04,0.1262325,1000,"NLDAS-2_Hargreaves","1989-2012"
"79",101,5.0487,4.63682610812409,0.0302465,0.0212,0,0.085705,0,0.0981475,1000,"NLDAS-2_Hargreaves","1989-2012"
"80",101,5.0791,4.63682610812409,0.0207229,0.0147,0,0.06881,0,0.0835025,1000,"NLDAS-2_Hargreaves","1989-2012"
"81",101,5.1096,4.63682610812409,0.0146275,0.007,0,0.05594,0,0.0695225,1000,"NLDAS-2_Hargreaves","1989-2012"
"82",101,5.14,4.63682610812409,0.0099396,0.0033,0,0.04064,0,0.05922,1000,"NLDAS-2_Hargreaves","1989-2012"
"83",101,5.1705,4.63682610812409,0.0065498,0.001,0,0.028915,0,0.0406,1000,"NLDAS-2_Hargreaves","1989-2012"
"84",101,5.2009,4.63682610812409,0.0040322,0,0,0.01931,0,0.028705,1000,"NLDAS-2_Hargreaves","1989-2012"
