"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,-2.3521,1.47873679650945,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,-2.2919,1.47873679650945,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,-2.2317,1.47873679650945,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,-2.1715,1.47873679650945,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,-2.1113,1.47873679650945,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,-2.0511,1.47873679650945,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,-1.9909,1.47873679650945,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,-1.9307,1.47873679650945,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,-1.8705,1.47873679650945,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,-1.8103,1.47873679650945,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,-1.7501,1.47873679650945,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,-1.6899,1.47873679650945,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,-1.6297,1.47873679650945,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,-1.5695,1.47873679650945,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,-1.5093,1.47873679650945,0.999991,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,-1.4491,1.47873679650945,0.999991,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,-1.3889,1.47873679650945,0.999991,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,-1.3287,1.47873679650945,0.9999883,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,-1.2685,1.47873679650945,0.9999883,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,-1.2083,1.47873679650945,0.999971,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"21",101,-1.1481,1.47873679650945,0.999971,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"22",101,-1.0879,1.47873679650945,0.9999668,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
