"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,-2.5219,-1.46624707284318,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,-2.5029,-1.46624707284318,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,-2.484,-1.46624707284318,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,-2.465,-1.46624707284318,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,-2.4461,-1.46624707284318,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,-2.4271,-1.46624707284318,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,-2.4082,-1.46624707284318,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,-2.3892,-1.46624707284318,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,-2.3703,-1.46624707284318,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,-2.3513,-1.46624707284318,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,-2.3324,-1.46624707284318,0.9999545,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,-2.3134,-1.46624707284318,0.999909,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,-2.2944,-1.46624707284318,0.9998635,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,-2.2755,-1.46624707284318,0.9998635,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,-2.2565,-1.46624707284318,0.9998635,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,-2.2376,-1.46624707284318,0.9998635,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,-2.2186,-1.46624707284318,0.9998349,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,-2.1997,-1.46624707284318,0.9996477,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,-2.1807,-1.46624707284318,0.999486,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,-2.1618,-1.46624707284318,0.999293,1,1,1,0.9959925,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"21",101,-2.1428,-1.46624707284318,0.9991669,1,1,1,0.991,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"22",101,-2.1239,-1.46624707284318,0.9988816,1,1,1,0.9804,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"23",101,-2.1049,-1.46624707284318,0.9984185,1,0.991,1,0.978575,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"24",101,-2.086,-1.46624707284318,0.9977152,1,0.9804,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"25",101,-2.067,-1.46624707284318,0.9970667,1,0.97855,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"26",101,-2.0481,-1.46624707284318,0.9963987,1,0.95868,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"27",101,-2.0291,-1.46624707284318,0.9954157,1,0.9545,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"28",101,-2.0102,-1.46624707284318,0.9942955,1,0.9545,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"29",101,-1.9912,-1.46624707284318,0.9926261,1,0.9545,1,0.9517,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"30",101,-1.9723,-1.46624707284318,0.9904935,1,0.95448,1,0.9391,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"31",101,-1.9533,-1.46624707284318,0.9881007,1,0.95009,1,0.936,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"32",101,-1.9344,-1.46624707284318,0.9854302,1,0.9391,1,0.933,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"33",101,-1.9154,-1.46624707284318,0.9821634,0.9964,0.93488,1,0.922745,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"34",101,-1.8965,-1.46624707284318,0.9786143,0.99065,0.9295,1,0.9176,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"35",101,-1.8775,-1.46624707284318,0.9741948,0.9819,0.9206,1,0.9097825,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"36",101,-1.8586,-1.46624707284318,0.968778,0.976,0.909895,1,0.898,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"37",101,-1.8396,-1.46624707284318,0.9619397,0.9667,0.902625,1,0.8889975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"38",101,-1.8207,-1.46624707284318,0.9556227,0.9545,0.895145,1,0.88156,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"39",101,-1.8017,-1.46624707284318,0.9478372,0.9513,0.881885,1,0.863375,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"40",101,-1.7828,-1.46624707284318,0.9393286,0.9437,0.868995,1,0.8530575,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"41",101,-1.7638,-1.46624707284318,0.9285986,0.93115,0.85607,0.996,0.8376875,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"42",101,-1.7449,-1.46624707284318,0.917874,0.9216,0.840185,0.987065,0.8128975,0.996,1000,"NLDAS-2_Hargreaves","1989-2012"
"43",101,-1.7259,-1.46624707284318,0.9038535,0.90655,0.81794,0.98041,0.79277,0.9910175,1000,"NLDAS-2_Hargreaves","1989-2012"
"44",101,-1.707,-1.46624707284318,0.8896227,0.8927,0.79059,0.97,0.764975,0.982845,1000,"NLDAS-2_Hargreaves","1989-2012"
"45",101,-1.688,-1.46624707284318,0.8735479,0.8787,0.768165,0.958825,0.745495,0.9716125,1000,"NLDAS-2_Hargreaves","1989-2012"
"46",101,-1.6691,-1.46624707284318,0.856498,0.8606,0.755805,0.94892,0.72466,0.9612375,1000,"NLDAS-2_Hargreaves","1989-2012"
"47",101,-1.6501,-1.46624707284318,0.8388444,0.847,0.72747,0.93242,0.7043825,0.94556,1000,"NLDAS-2_Hargreaves","1989-2012"
"48",101,-1.6312,-1.46624707284318,0.8166045,0.82185,0.70389,0.914605,0.6758225,0.9327075,1000,"NLDAS-2_Hargreaves","1989-2012"
"49",101,-1.6122,-1.46624707284318,0.793226,0.7978,0.672655,0.899855,0.644515,0.9134425,1000,"NLDAS-2_Hargreaves","1989-2012"
"50",101,-1.5933,-1.46624707284318,0.7670123,0.77075,0.64143,0.88041,0.6082775,0.89532,1000,"NLDAS-2_Hargreaves","1989-2012"
"51",101,-1.5743,-1.46624707284318,0.7382189,0.74315,0.60519,0.857915,0.5788725,0.8750025,1000,"NLDAS-2_Hargreaves","1989-2012"
"52",101,-1.5554,-1.46624707284318,0.7077392,0.7115,0.57396,0.83498,0.5314575,0.8572125,1000,"NLDAS-2_Hargreaves","1989-2012"
