"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,-4.9158,-0.760869431056326,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,-4.8551,-0.760869431056326,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,-4.7944,-0.760869431056326,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,-4.7337,-0.760869431056326,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,-4.6729,-0.760869431056326,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,-4.6122,-0.760869431056326,0.9999893,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,-4.5515,-0.760869431056326,0.9999784,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,-4.4908,-0.760869431056326,0.9999459,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,-4.4301,-0.760869431056326,0.9999245,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,-4.3694,-0.760869431056326,0.9999025,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,-4.3087,-0.760869431056326,0.9998694,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,-4.248,-0.760869431056326,0.999805,1,1,1,0.9998,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,-4.1873,-0.760869431056326,0.9997618,1,1,1,0.9998,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,-4.1266,-0.760869431056326,0.9996753,1,1,1,0.9893,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,-4.0658,-0.760869431056326,0.9995112,1,0.9994,1,0.9893,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,-4.0051,-0.760869431056326,0.9994223,1,0.9893,1,0.9893,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,-3.9444,-0.760869431056326,0.9993218,1,0.9893,1,0.9893,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,-3.8837,-0.760869431056326,0.9992205,1,0.9893,1,0.9893,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,-3.823,-0.760869431056326,0.9990311,1,0.9893,1,0.9893,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,-3.7623,-0.760869431056326,0.9988181,1,0.9893,1,0.9892925,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"21",101,-3.7016,-0.760869431056326,0.99857,1,0.9893,1,0.989,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"22",101,-3.6409,-0.760869431056326,0.998258,1,0.989,1,0.989,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"23",101,-3.5802,-0.760869431056326,0.997968,1,0.989,1,0.9887,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"24",101,-3.5195,-0.760869431056326,0.997661,1,0.989,1,0.9885,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"25",101,-3.4587,-0.760869431056326,0.9972455,1,0.9887,1,0.9884975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"26",101,-3.398,-0.760869431056326,0.9968647,1,0.9885,1,0.9883,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"27",101,-3.3373,-0.760869431056326,0.9963901,1,0.98849,1,0.988,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"28",101,-3.2766,-0.760869431056326,0.9959767,0.9998,0.9883,1,0.9877,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"29",101,-3.2159,-0.760869431056326,0.9954627,0.9998,0.988,1,0.9875,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"30",101,-3.1552,-0.760869431056326,0.9949528,0.9993,0.9876,1,0.9872,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"31",101,-3.0945,-0.760869431056326,0.9943147,0.9984,0.9875,1,0.987,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"32",101,-3.0338,-0.760869431056326,0.9936696,0.9893,0.9872,1,0.9864,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"33",101,-2.9731,-0.760869431056326,0.992881,0.9893,0.9868,1,0.9854925,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"34",101,-2.9124,-0.760869431056326,0.9921371,0.989,0.98589,1,0.9844,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"35",101,-2.8516,-0.760869431056326,0.9915004,0.9888,0.9851,1,0.9835925,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"36",101,-2.7909,-0.760869431056326,0.9907076,0.9885,0.9843,1,0.983,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"37",101,-2.7302,-0.760869431056326,0.989898,0.9883,0.98349,1,0.9823,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"38",101,-2.6695,-0.760869431056326,0.9890963,0.9878,0.982895,0.9998,0.981495,1,1000,"NLDAS-2_Hargreaves","1989-2012"
