"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,-7.2788,-0.983218772307035,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,-7.1835,-0.983218772307035,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,-7.0881,-0.983218772307035,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,-6.9928,-0.983218772307035,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,-6.8974,-0.983218772307035,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,-6.8021,-0.983218772307035,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,-6.7067,-0.983218772307035,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,-6.6114,-0.983218772307035,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,-6.5161,-0.983218772307035,0.999991,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,-6.4207,-0.983218772307035,0.9999831,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,-6.3254,-0.983218772307035,0.9999804,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,-6.23,-0.983218772307035,0.9999777,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,-6.1347,-0.983218772307035,0.999975,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,-6.0393,-0.983218772307035,0.9999723,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,-5.944,-0.983218772307035,0.9999586,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,-5.8486,-0.983218772307035,0.9999503,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,-5.7533,-0.983218772307035,0.9999476,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,-5.6579,-0.983218772307035,0.9999407,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,-5.5626,-0.983218772307035,0.99987,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,-5.4673,-0.983218772307035,0.9997987,1,1,1,0.9973,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"21",101,-5.3719,-0.983218772307035,0.9997359,1,1,1,0.9958,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"22",101,-5.2766,-0.983218772307035,0.9996504,1,0.9973,1,0.9957,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"23",101,-5.1812,-0.983218772307035,0.9995726,1,0.9973,1,0.993585,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"24",101,-5.0859,-0.983218772307035,0.999419,1,0.9958,1,0.991,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"25",101,-4.9905,-0.983218772307035,0.9992239,1,0.9936,1,0.991,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"26",101,-4.8952,-0.983218772307035,0.9989712,1,0.991,1,0.991,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"27",101,-4.7998,-0.983218772307035,0.998637,1,0.991,1,0.9883,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"28",101,-4.7045,-0.983218772307035,0.9982301,1,0.990875,1,0.9870975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"29",101,-4.6091,-0.983218772307035,0.9976429,1,0.9883,1,0.9852975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"30",101,-4.5138,-0.983218772307035,0.9971578,1,0.9868,1,0.9839,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"31",101,-4.4185,-0.983218772307035,0.9963978,1,0.9839,1,0.9819975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"32",101,-4.3231,-0.983218772307035,0.9954182,1,0.9827,1,0.979195,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"33",101,-4.2278,-0.983218772307035,0.9940284,0.9973,0.977195,1,0.9724775,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"34",101,-4.1324,-0.983218772307035,0.9922733,0.9957,0.9732,1,0.9702,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"35",101,-4.0371,-0.983218772307035,0.9905746,0.9936,0.9715,1,0.9658,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"36",101,-3.9417,-0.983218772307035,0.988439,0.991,0.9661,1,0.9625,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"37",101,-3.8464,-0.983218772307035,0.9858881,0.9881,0.9627,1,0.9573975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"38",101,-3.751,-0.983218772307035,0.9828072,0.9851,0.95688,1,0.9514975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"39",101,-3.6557,-0.983218772307035,0.9792082,0.9814,0.9511,1,0.94469,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"40",101,-3.5603,-0.983218772307035,0.9750485,0.977,0.943875,1,0.936795,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"41",101,-3.465,-0.983218772307035,0.9698039,0.9718,0.936485,0.9958,0.9289875,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"42",101,-3.3696,-0.983218772307035,0.9636781,0.9654,0.928095,0.992505,0.9211925,0.99602,1000,"NLDAS-2_Hargreaves","1989-2012"
"43",101,-3.2743,-0.983218772307035,0.956939,0.95885,0.9209,0.987005,0.91257,0.993,1000,"NLDAS-2_Hargreaves","1989-2012"
"44",101,-3.179,-0.983218772307035,0.9501417,0.952,0.913195,0.98393,0.89847,0.989,1000,"NLDAS-2_Hargreaves","1989-2012"
"45",101,-3.0836,-0.983218772307035,0.9409873,0.9427,0.897585,0.97621,0.88638,0.9819,1000,"NLDAS-2_Hargreaves","1989-2012"
"46",101,-2.9883,-0.983218772307035,0.9311512,0.933,0.88516,0.969415,0.8752775,0.9762,1000,"NLDAS-2_Hargreaves","1989-2012"
"47",101,-2.8929,-0.983218772307035,0.9205759,0.9239,0.86928,0.963505,0.8507675,0.968515,1000,"NLDAS-2_Hargreaves","1989-2012"
"48",101,-2.7976,-0.983218772307035,0.9089887,0.9137,0.8523,0.952325,0.8375825,0.961005,1000,"NLDAS-2_Hargreaves","1989-2012"
"49",101,-2.7022,-0.983218772307035,0.8968151,0.9024,0.836885,0.942015,0.8223825,0.948,1000,"NLDAS-2_Hargreaves","1989-2012"
"50",101,-2.6069,-0.983218772307035,0.8835406,0.88845,0.814185,0.931815,0.803785,0.9384125,1000,"NLDAS-2_Hargreaves","1989-2012"
"51",101,-2.5115,-0.983218772307035,0.8680524,0.8733,0.803775,0.91912,0.78309,0.9273025,1000,"NLDAS-2_Hargreaves","1989-2012"
