"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,-2.0756,-0.0187853449034157,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,-2.0402,-0.0187853449034157,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,-2.0048,-0.0187853449034157,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,-1.9694,-0.0187853449034157,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,-1.934,-0.0187853449034157,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,-1.8986,-0.0187853449034157,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,-1.8632,-0.0187853449034157,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,-1.8278,-0.0187853449034157,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,-1.7924,-0.0187853449034157,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,-1.757,-0.0187853449034157,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,-1.7216,-0.0187853449034157,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,-1.6862,-0.0187853449034157,0.9999813,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,-1.6508,-0.0187853449034157,0.9999813,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,-1.6154,-0.0187853449034157,0.9999787,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,-1.58,-0.0187853449034157,0.9999768,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,-1.5446,-0.0187853449034157,0.9999768,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,-1.5092,-0.0187853449034157,0.9999712,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
