"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,-5.2649,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,-5.2032,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,-5.1415,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,-5.0797,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,-5.018,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,-4.9563,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,-4.8946,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,-4.8329,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,-4.7712,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,-4.7095,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,-4.6478,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,-4.5861,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,-4.5243,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,-4.4626,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,-4.4009,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,-4.3392,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,-4.2775,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,-4.2158,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,-4.1541,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,-4.0924,-1.85846032653031,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"21",101,-4.0307,-1.85846032653031,0.9999786,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"22",101,-3.9689,-1.85846032653031,0.9998876,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"23",101,-3.9072,-1.85846032653031,0.9998011,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"24",101,-3.8455,-1.85846032653031,0.999645,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"25",101,-3.7838,-1.85846032653031,0.9995085,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"26",101,-3.7221,-1.85846032653031,0.9992255,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"27",101,-3.6604,-1.85846032653031,0.9989906,1,1,1,0.980355,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"28",101,-3.5987,-1.85846032653031,0.9986538,1,1,1,0.9786,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"29",101,-3.537,-1.85846032653031,0.9978371,1,0.9786,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"30",101,-3.4753,-1.85846032653031,0.9971262,1,0.975,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"31",101,-3.4135,-1.85846032653031,0.9957564,1,0.9545,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"32",101,-3.3518,-1.85846032653031,0.9944867,1,0.9545,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"33",101,-3.2901,-1.85846032653031,0.9927546,1,0.9545,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"34",101,-3.2284,-1.85846032653031,0.9904891,1,0.9545,1,0.9391,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"35",101,-3.1667,-1.85846032653031,0.9868522,1,0.9391,1,0.933,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"36",101,-3.105,-1.85846032653031,0.983352,1,0.933865,1,0.9295,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"37",101,-3.0433,-1.85846032653031,0.9778076,0.9846,0.928895,1,0.9176,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"38",101,-2.9816,-1.85846032653031,0.9716656,0.9786,0.9176,1,0.9066,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"39",101,-2.9199,-1.85846032653031,0.9642106,0.9714,0.909495,1,0.8912975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"40",101,-2.8581,-1.85846032653031,0.9540444,0.9545,0.8905,1,0.8772825,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"41",101,-2.7964,-1.85846032653031,0.9421949,0.9391,0.875985,1,0.85157,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"42",101,-2.7347,-1.85846032653031,0.9294519,0.9344,0.85154,1,0.833745,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"43",101,-2.673,-1.85846032653031,0.9156527,0.9176,0.82865,0.9846,0.801595,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"44",101,-2.6113,-1.85846032653031,0.9002068,0.9066,0.811995,0.9786,0.78787,0.9846,1000,"NLDAS-2_Hargreaves","1989-2012"
"45",101,-2.5496,-1.85846032653031,0.8808438,0.8884,0.779385,0.9596,0.756595,0.9804,1000,"NLDAS-2_Hargreaves","1989-2012"
"46",101,-2.4879,-1.85846032653031,0.8612387,0.868,0.75359,0.94866,0.7323175,0.965,1000,"NLDAS-2_Hargreaves","1989-2012"
"47",101,-2.4262,-1.85846032653031,0.8376766,0.8446,0.734385,0.931,0.704265,0.93914,1000,"NLDAS-2_Hargreaves","1989-2012"
"48",101,-2.3645,-1.85846032653031,0.8123827,0.8183,0.69724,0.908455,0.6752975,0.9195,1000,"NLDAS-2_Hargreaves","1989-2012"
"49",101,-2.3027,-1.85846032653031,0.7834839,0.7885,0.6651,0.889,0.643475,0.898,1000,"NLDAS-2_Hargreaves","1989-2012"
"50",101,-2.241,-1.85846032653031,0.7536688,0.7569,0.6343,0.860455,0.61889,0.8715375,1000,"NLDAS-2_Hargreaves","1989-2012"
"51",101,-2.1793,-1.85846032653031,0.7205086,0.7261,0.5967,0.83761,0.571085,0.8479575,1000,"NLDAS-2_Hargreaves","1989-2012"
"52",101,-2.1176,-1.85846032653031,0.685497,0.68715,0.55507,0.805405,0.535055,0.82422,1000,"NLDAS-2_Hargreaves","1989-2012"
"53",101,-2.0559,-1.85846032653031,0.6492425,0.65135,0.52486,0.7769,0.4908825,0.796655,1000,"NLDAS-2_Hargreaves","1989-2012"
"54",101,-1.9942,-1.85846032653031,0.6150445,0.61665,0.48239,0.748635,0.45207,0.7677075,1000,"NLDAS-2_Hargreaves","1989-2012"
"55",101,-1.9325,-1.85846032653031,0.5762776,0.57675,0.4384,0.71233,0.4117975,0.7291,1000,"NLDAS-2_Hargreaves","1989-2012"
"56",101,-1.8708,-1.85846032653031,0.5363046,0.5361,0.402295,0.670235,0.3794125,0.6871075,1000,"NLDAS-2_Hargreaves","1989-2012"
"57",101,-1.809,-1.85846032653031,0.4947677,0.4899,0.361465,0.632345,0.3401875,0.66191,1000,"NLDAS-2_Hargreaves","1989-2012"
"58",101,-1.7473,-1.85846032653031,0.4567104,0.4536,0.319765,0.59786,0.302155,0.626405,1000,"NLDAS-2_Hargreaves","1989-2012"
"59",101,-1.6856,-1.85846032653031,0.4153402,0.40995,0.287795,0.554535,0.2704975,0.57893,1000,"NLDAS-2_Hargreaves","1989-2012"
"60",101,-1.6239,-1.85846032653031,0.3744844,0.3684,0.25959,0.506495,0.2425775,0.5348575,1000,"NLDAS-2_Hargreaves","1989-2012"
"61",101,-1.5622,-1.85846032653031,0.337202,0.3318,0.220845,0.46162,0.2010775,0.4956225,1000,"NLDAS-2_Hargreaves","1989-2012"
"62",101,-1.5005,-1.85846032653031,0.2991261,0.2946,0.190995,0.42141,0.172245,0.4406025,1000,"NLDAS-2_Hargreaves","1989-2012"
"63",101,-1.4388,-1.85846032653031,0.2645446,0.26005,0.16503,0.385935,0.14688,0.40666,1000,"NLDAS-2_Hargreaves","1989-2012"
"64",101,-1.3771,-1.85846032653031,0.2297144,0.22405,0.13939,0.34143,0.124975,0.3649175,1000,"NLDAS-2_Hargreaves","1989-2012"
"65",101,-1.3154,-1.85846032653031,0.1980003,0.192,0.114245,0.299835,0.0999,0.314135,1000,"NLDAS-2_Hargreaves","1989-2012"
"66",101,-1.2536,-1.85846032653031,0.1703115,0.16555,0.089,0.265265,0.080885,0.28861,1000,"NLDAS-2_Hargreaves","1989-2012"
"67",101,-1.1919,-1.85846032653031,0.144889,0.13955,0.076285,0.23132,0.0658975,0.247325,1000,"NLDAS-2_Hargreaves","1989-2012"
"68",101,-1.1302,-1.85846032653031,0.1219666,0.11775,0.05728,0.20038,0.050395,0.22095,1000,"NLDAS-2_Hargreaves","1989-2012"
"69",101,-1.0685,-1.85846032653031,0.1021245,0.0974,0.0433,0.171925,0.038795,0.1867075,1000,"NLDAS-2_Hargreaves","1989-2012"
"70",101,-1.0068,-1.85846032653031,0.0837118,0.0781,0.032995,0.14705,0.0242975,0.1653325,1000,"NLDAS-2_Hargreaves","1989-2012"
"71",101,-0.9451,-1.85846032653031,0.0682783,0.0641,0.0238,0.12434,0.0184,0.14201,1000,"NLDAS-2_Hargreaves","1989-2012"
"72",101,-0.8834,-1.85846032653031,0.0546896,0.05045,0.016895,0.103905,0.0122,0.11432,1000,"NLDAS-2_Hargreaves","1989-2012"
"73",101,-0.8217,-1.85846032653031,0.0433424,0.0411,0.01189,0.08273,0.00709,0.097725,1000,"NLDAS-2_Hargreaves","1989-2012"
"74",101,-0.76,-1.85846032653031,0.0342133,0.03235,0.0064,0.0691449999999999,0.0032,0.0784125,1000,"NLDAS-2_Hargreaves","1989-2012"
"75",101,-0.6982,-1.85846032653031,0.0267616,0.0245,0.0032,0.05572,0,0.0639025,1000,"NLDAS-2_Hargreaves","1989-2012"
"76",101,-0.6365,-1.85846032653031,0.0201929,0.0181,0,0.04541,0,0.0511025,1000,"NLDAS-2_Hargreaves","1989-2012"
"77",101,-0.5748,-1.85846032653031,0.0151567,0.0135,0,0.036405,0,0.04231,1000,"NLDAS-2_Hargreaves","1989-2012"
"78",101,-0.5131,-1.85846032653031,0.0109043,0.009,0,0.029115,0,0.0345,1000,"NLDAS-2_Hargreaves","1989-2012"
"79",101,-0.4514,-1.85846032653031,0.0077487,0.0049,0,0.024805,0,0.0286025,1000,"NLDAS-2_Hargreaves","1989-2012"
"80",101,-0.3897,-1.85846032653031,0.0055837,0.0027,0,0.02041,0,0.025405,1000,"NLDAS-2_Hargreaves","1989-2012"
"81",101,-0.328,-1.85846032653031,0.0039672,0,0,0.017105,0,0.02141,1000,"NLDAS-2_Hargreaves","1989-2012"
"82",101,-0.2663,-1.85846032653031,0.0027355,0,0,0.0132,0,0.017705,1000,"NLDAS-2_Hargreaves","1989-2012"
"83",101,-0.2046,-1.85846032653031,0.0018907,0,0,0.010315,0,0.0133,1000,"NLDAS-2_Hargreaves","1989-2012"
