"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,4.2185,5.81999032962588,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,4.2402,5.81999032962588,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,4.2619,5.81999032962588,0.999991,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,4.2835,5.81999032962588,0.999982,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,4.3052,5.81999032962588,0.999982,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,4.3268,5.81999032962588,0.999982,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,4.3485,5.81999032962588,0.999982,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,4.3702,5.81999032962588,0.999982,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,4.3918,5.81999032962588,0.999973,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,4.4135,5.81999032962588,0.999973,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,4.4351,5.81999032962588,0.9999538,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,4.4568,5.81999032962588,0.9999511,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,4.4785,5.81999032962588,0.9999007,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,4.5001,5.81999032962588,0.9997963,1,1,1,0.9973,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,4.5218,5.81999032962588,0.9996785,1,1,1,0.991,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,4.5434,5.81999032962588,0.9995093,1,0.995985,1,0.991,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,4.5651,5.81999032962588,0.9991904,1,0.991,1,0.991,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,4.5868,5.81999032962588,0.9988837,1,0.991,1,0.991,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,4.6084,5.81999032962588,0.9982951,1,0.991,1,0.9883,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,4.6301,5.81999032962588,0.9976475,1,0.9883,1,0.9883,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"21",101,4.6517,5.81999032962588,0.9966301,1,0.9883,1,0.98778,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"22",101,4.6734,5.81999032962588,0.9955585,1,0.986985,1,0.9839,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"23",101,4.6951,5.81999032962588,0.9943114,0.9957,0.9851,1,0.9839,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"24",101,4.7167,5.81999032962588,0.9929631,0.991,0.9839,1,0.9835,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"25",101,4.7384,5.81999032962588,0.9916325,0.991,0.9808,1,0.9807,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"26",101,4.76,5.81999032962588,0.9901167,0.9883,0.9807,1,0.979895,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"27",101,4.7817,5.81999032962588,0.9885782,0.9883,0.9799,1,0.9767,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"28",101,4.8034,5.81999032962588,0.9868797,0.9851,0.9767,1,0.9765,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"29",101,4.825,5.81999032962588,0.9851974,0.9839,0.9765,1,0.9725,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"30",101,4.8467,5.81999032962588,0.9832884,0.9815,0.9725,0.9973,0.9725,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"31",101,4.8683,5.81999032962588,0.9816177,0.9807,0.971895,0.99604,0.97158,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"32",101,4.89,5.81999032962588,0.9797507,0.9797,0.9703,0.993,0.9676,0.9973,1000,"NLDAS-2_Hargreaves","1989-2012"
"33",101,4.9117,5.81999032962588,0.9777983,0.9767,0.9676,0.991,0.9655,0.9957075,1000,"NLDAS-2_Hargreaves","1989-2012"
"34",101,4.9333,5.81999032962588,0.9756561,0.9758,0.9655,0.9883,0.9612975,0.9930275,1000,"NLDAS-2_Hargreaves","1989-2012"
"35",101,4.955,5.81999032962588,0.9735069,0.9725,0.9612,0.9857,0.9612,0.991,1000,"NLDAS-2_Hargreaves","1989-2012"
"36",101,4.9767,5.81999032962588,0.9711333,0.9718,0.9612,0.984,0.9588875,0.9883,1000,"NLDAS-2_Hargreaves","1989-2012"
"37",101,4.9983,5.81999032962588,0.9687483,0.9676,0.9549,0.9808,0.9544,0.9851,1000,"NLDAS-2_Hargreaves","1989-2012"
"38",101,5.02,5.81999032962588,0.966058,0.9661,0.9543,0.9799,0.9529,0.9808075,1000,"NLDAS-2_Hargreaves","1989-2012"
"39",101,5.0416,5.81999032962588,0.9630477,0.9613,0.95089,0.9767,0.948,0.9797,1000,"NLDAS-2_Hargreaves","1989-2012"
"40",101,5.0633,5.81999032962588,0.9602296,0.9612,0.948,0.97302,0.9464,0.9767,1000,"NLDAS-2_Hargreaves","1989-2012"
"41",101,5.085,5.81999032962588,0.9573429,0.9549,0.9447,0.9718,0.9401,0.9757125,1000,"NLDAS-2_Hargreaves","1989-2012"
"42",101,5.1066,5.81999032962588,0.9539034,0.9549,0.9401,0.9676,0.9368,0.9718,1000,"NLDAS-2_Hargreaves","1989-2012"
"43",101,5.1283,5.81999032962588,0.9501802,0.948,0.9333,0.9661,0.9298,0.9676,1000,"NLDAS-2_Hargreaves","1989-2012"
"44",101,5.1499,5.81999032962588,0.9463282,0.948,0.9298,0.9612,0.9251,0.9661,1000,"NLDAS-2_Hargreaves","1989-2012"
"45",101,5.1716,5.81999032962588,0.9422375,0.9401,0.9251,0.9573,0.9175975,0.9612,1000,"NLDAS-2_Hargreaves","1989-2012"
"46",101,5.1933,5.81999032962588,0.9373616,0.9401,0.9148,0.9549,0.9148,0.9549,1000,"NLDAS-2_Hargreaves","1989-2012"
"47",101,5.2149,5.81999032962588,0.9327658,0.9329,0.9148,0.948,0.9093625,0.9549,1000,"NLDAS-2_Hargreaves","1989-2012"
"48",101,5.2366,5.81999032962588,0.9276395,0.9298,0.9025,0.948,0.9025,0.948,1000,"NLDAS-2_Hargreaves","1989-2012"
"49",101,5.2582,5.81999032962588,0.9216026,0.9227,0.9001,0.9401,0.8957175,0.9471,1000,"NLDAS-2_Hargreaves","1989-2012"
