"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,1.7474,4.43509051065631,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,1.7944,4.43509051065631,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,1.8415,4.43509051065631,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,1.8885,4.43509051065631,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,1.9355,4.43509051065631,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,1.9825,4.43509051065631,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,2.0295,4.43509051065631,0.9999993,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,2.0766,4.43509051065631,0.9999993,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,2.1236,4.43509051065631,0.9999993,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,2.1706,4.43509051065631,0.9999865,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,2.2176,4.43509051065631,0.9999865,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,2.2646,4.43509051065631,0.9999858,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,2.3117,4.43509051065631,0.9999858,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,2.3587,4.43509051065631,0.999979,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,2.4057,4.43509051065631,0.999979,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,2.4527,4.43509051065631,0.9999775,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,2.4997,4.43509051065631,0.999971,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,2.5468,4.43509051065631,0.9999697,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,2.5938,4.43509051065631,0.9999636,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,2.6408,4.43509051065631,0.999953,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"21",101,2.6878,4.43509051065631,0.9999349,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"22",101,2.7348,4.43509051065631,0.9998922,1,1,1,0.9987,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"23",101,2.7819,4.43509051065631,0.9998534,1,0.999965,1,0.9985,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"24",101,2.8289,4.43509051065631,0.9997648,1,0.9987,1,0.9981,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"25",101,2.8759,4.43509051065631,0.9995367,1,0.9985,1,0.9942,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"26",101,2.9229,4.43509051065631,0.9993977,1,0.9982,1,0.9942,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"27",101,2.9699,4.43509051065631,0.9992108,1,0.997085,1,0.994175,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"28",101,3.017,4.43509051065631,0.9990679,1,0.9942,1,0.9916,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"29",101,3.064,4.43509051065631,0.9987157,1,0.9942,1,0.9892775,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"30",101,3.111,4.43509051065631,0.9983242,1,0.9929,1,0.9871825,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"31",101,3.158,4.43509051065631,0.9976594,1,0.98949,1,0.9798,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"32",101,3.205,4.43509051065631,0.9970331,1,0.98589,1,0.97033,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"33",101,3.2521,4.43509051065631,0.99635,1,0.9813,1,0.962965,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"34",101,3.2991,4.43509051065631,0.9954484,1,0.9798,1,0.9523075,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"35",101,3.3461,4.43509051065631,0.9941239,0.9993,0.964555,1,0.9403,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"36",101,3.3931,4.43509051065631,0.9926039,0.9985,0.95804,1,0.9390875,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"37",101,3.4401,4.43509051065631,0.9907118,0.9978,0.94908,1,0.935495,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"38",101,3.4872,4.43509051065631,0.9882451,0.996,0.9403,1,0.9303975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"39",101,3.5342,4.43509051065631,0.9849003,0.9935,0.93409,1,0.9221875,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"40",101,3.5812,4.43509051065631,0.9808512,0.9905,0.92758,1,0.9080825,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"41",101,3.6282,4.43509051065631,0.9757058,0.9869,0.91578,1,0.8956975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"42",101,3.6752,4.43509051065631,0.9701521,0.9819,0.904995,0.9993,0.886485,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"43",101,3.7223,4.43509051065631,0.9622375,0.97505,0.887395,0.99831,0.86649,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"44",101,3.7693,4.43509051065631,0.9535651,0.96665,0.87609,0.997005,0.8524,0.9985,1000,"NLDAS-2_Hargreaves","1989-2012"
"45",101,3.8163,4.43509051065631,0.9416242,0.95325,0.85117,0.99362,0.83209,0.9969,1000,"NLDAS-2_Hargreaves","1989-2012"
"46",101,3.8633,4.43509051065631,0.9287007,0.9364,0.829185,0.989705,0.80478,0.993505,1000,"NLDAS-2_Hargreaves","1989-2012"
"47",101,3.9104,4.43509051065631,0.9130408,0.9209,0.813395,0.984705,0.77942,0.98841,1000,"NLDAS-2_Hargreaves","1989-2012"
"48",101,3.9574,4.43509051065631,0.8953128,0.90285,0.776295,0.978905,0.7535675,0.9843075,1000,"NLDAS-2_Hargreaves","1989-2012"
"49",101,4.0044,4.43509051065631,0.875227,0.8819,0.748535,0.9698,0.7233875,0.9788025,1000,"NLDAS-2_Hargreaves","1989-2012"
"50",101,4.0514,4.43509051065631,0.8505102,0.85865,0.7204,0.957815,0.69498,0.966025,1000,"NLDAS-2_Hargreaves","1989-2012"
"51",101,4.0984,4.43509051065631,0.8220438,0.82685,0.680865,0.94193,0.65006,0.95531,1000,"NLDAS-2_Hargreaves","1989-2012"
"52",101,4.1455,4.43509051065631,0.7902355,0.79585,0.63939,0.92381,0.603655,0.9370025,1000,"NLDAS-2_Hargreaves","1989-2012"
"53",101,4.1925,4.43509051065631,0.7547228,0.76425,0.58503,0.890505,0.5497675,0.910335,1000,"NLDAS-2_Hargreaves","1989-2012"
"54",101,4.2395,4.43509051065631,0.7143438,0.7207,0.541935,0.858015,0.5069225,0.874015,1000,"NLDAS-2_Hargreaves","1989-2012"
"55",101,4.2865,4.43509051065631,0.6720341,0.67515,0.498165,0.827245,0.4645925,0.8499025,1000,"NLDAS-2_Hargreaves","1989-2012"
"56",101,4.3335,4.43509051065631,0.6223545,0.6261,0.44075,0.78207,0.4123825,0.811475,1000,"NLDAS-2_Hargreaves","1989-2012"
"57",101,4.3806,4.43509051065631,0.5723086,0.5719,0.392915,0.743455,0.3509975,0.7802475,1000,"NLDAS-2_Hargreaves","1989-2012"
"58",101,4.4276,4.43509051065631,0.5212748,0.5205,0.349215,0.70183,0.3049975,0.737105,1000,"NLDAS-2_Hargreaves","1989-2012"
"59",101,4.4746,4.43509051065631,0.4705477,0.46815,0.2888,0.652075,0.255255,0.69115,1000,"NLDAS-2_Hargreaves","1989-2012"
"60",101,4.5216,4.43509051065631,0.4198506,0.4183,0.23839,0.60652,0.2093975,0.6352,1000,"NLDAS-2_Hargreaves","1989-2012"
"61",101,4.5686,4.43509051065631,0.3700008,0.3658,0.20386,0.55751,0.1693925,0.5856525,1000,"NLDAS-2_Hargreaves","1989-2012"
"62",101,4.6157,4.43509051065631,0.3220706,0.3227,0.16129,0.50432,0.1272925,0.5519325,1000,"NLDAS-2_Hargreaves","1989-2012"
"63",101,4.6627,4.43509051065631,0.2790344,0.27405,0.127925,0.457325,0.1064575,0.4998325,1000,"NLDAS-2_Hargreaves","1989-2012"
"64",101,4.7097,4.43509051065631,0.2356017,0.22955,0.096675,0.404435,0.0748975,0.4360025,1000,"NLDAS-2_Hargreaves","1989-2012"
"65",101,4.7567,4.43509051065631,0.1953396,0.19055,0.0645,0.346585,0.0495875,0.3928075,1000,"NLDAS-2_Hargreaves","1989-2012"
"66",101,4.8037,4.43509051065631,0.1574666,0.14975,0.04528,0.30031,0.0307025,0.3334275,1000,"NLDAS-2_Hargreaves","1989-2012"
"67",101,4.8508,4.43509051065631,0.1264697,0.11965,0.0237,0.256145,0.0147975,0.28917,1000,"NLDAS-2_Hargreaves","1989-2012"
"68",101,4.8978,4.43509051065631,0.1007651,0.0911,0.01238,0.214425,0.006,0.25232,1000,"NLDAS-2_Hargreaves","1989-2012"
"69",101,4.9448,4.43509051065631,0.0763449,0.06715,0.0056,0.180865,0.0024925,0.2004025,1000,"NLDAS-2_Hargreaves","1989-2012"
"70",101,4.9918,4.43509051065631,0.0584167,0.04695,0.0019,0.14895,0,0.16761,1000,"NLDAS-2_Hargreaves","1989-2012"
"71",101,5.0388,4.43509051065631,0.0445378,0.03155,0,0.12943,0,0.145415,1000,"NLDAS-2_Hargreaves","1989-2012"
"72",101,5.0859,4.43509051065631,0.0311611,0.0191,0,0.0966,0,0.1234225,1000,"NLDAS-2_Hargreaves","1989-2012"
"73",101,5.1329,4.43509051065631,0.0216324,0.0111,0,0.0791,0,0.1000175,1000,"NLDAS-2_Hargreaves","1989-2012"
"74",101,5.1799,4.43509051065631,0.0154135,0.0053,0,0.065325,0,0.0788075,1000,"NLDAS-2_Hargreaves","1989-2012"
"75",101,5.2269,4.43509051065631,0.0106916,0.00185,0,0.0601,0,0.0678,1000,"NLDAS-2_Hargreaves","1989-2012"
"76",101,5.2739,4.43509051065631,0.0070653,2e-04,0,0.03842,0,0.05971,1000,"NLDAS-2_Hargreaves","1989-2012"
"77",101,5.321,4.43509051065631,0.0043994,0,0,0.0202,0,0.0406,1000,"NLDAS-2_Hargreaves","1989-2012"
"78",101,5.368,4.43509051065631,0.0031585,0,0,0.0162,0,0.0289,1000,"NLDAS-2_Hargreaves","1989-2012"
"79",101,5.415,4.43509051065631,0.0019976,0,0,0.011905,0,0.0178225,1000,"NLDAS-2_Hargreaves","1989-2012"
"80",101,5.462,4.43509051065631,0.0014541,0,0,0.0107,0,0.0136125,1000,"NLDAS-2_Hargreaves","1989-2012"
"81",101,5.509,4.43509051065631,0.0009854,0,0,0.00433499999999997,0,0.0113025,1000,"NLDAS-2_Hargreaves","1989-2012"
"82",101,5.5561,4.43509051065631,0.0007225,0,0,0.00190999999999999,0,0.011,1000,"NLDAS-2_Hargreaves","1989-2012"
"83",101,5.6031,4.43509051065631,0.0004296,0,0,0.000904999999999995,0,0.00497749999999993,1000,"NLDAS-2_Hargreaves","1989-2012"
"84",101,5.6501,4.43509051065631,0.0003002,0,0,6e-04,0,0.0018025,1000,"NLDAS-2_Hargreaves","1989-2012"
"85",101,5.6971,4.43509051065631,0.000235,0,0,2e-04,0,0.001,1000,"NLDAS-2_Hargreaves","1989-2012"
"86",101,5.7441,4.43509051065631,0.0001407,0,0,0,0,6e-04,1000,"NLDAS-2_Hargreaves","1989-2012"
"87",101,5.7912,4.43509051065631,0.0001064,0,0,0,0,4.99999999999545e-06,1000,"NLDAS-2_Hargreaves","1989-2012"
"88",101,5.8382,4.43509051065631,7.98e-05,0,0,0,0,0,1000,"NLDAS-2_Hargreaves","1989-2012"
"89",101,5.8852,4.43509051065631,5.39e-05,0,0,0,0,0,1000,"NLDAS-2_Hargreaves","1989-2012"
"90",101,5.9322,4.43509051065631,2.89e-05,0,0,0,0,0,1000,"NLDAS-2_Hargreaves","1989-2012"
"91",101,5.9792,4.43509051065631,2.26e-05,0,0,0,0,0,1000,"NLDAS-2_Hargreaves","1989-2012"
"92",101,6.0263,4.43509051065631,1.19e-05,0,0,0,0,0,1000,"NLDAS-2_Hargreaves","1989-2012"
"93",101,6.0733,4.43509051065631,1e-06,0,0,0,0,0,1000,"NLDAS-2_Hargreaves","1989-2012"
"94",101,6.1203,4.43509051065631,0,0,0,0,0,0,1000,"NLDAS-2_Hargreaves","1989-2012"
"95",101,6.1673,4.43509051065631,0,0,0,0,0,0,1000,"NLDAS-2_Hargreaves","1989-2012"
"96",101,6.2143,4.43509051065631,0,0,0,0,0,0,1000,"NLDAS-2_Hargreaves","1989-2012"
"97",101,6.2614,4.43509051065631,0,0,0,0,0,0,1000,"NLDAS-2_Hargreaves","1989-2012"
"98",101,6.3084,4.43509051065631,0,0,0,0,0,0,1000,"NLDAS-2_Hargreaves","1989-2012"
"99",101,6.3554,4.43509051065631,0,0,0,0,0,0,1000,"NLDAS-2_Hargreaves","1989-2012"
"100",101,6.4024,4.43509051065631,0,0,0,0,0,0,1000,"NLDAS-2_Hargreaves","1989-2012"
"101",101,4.4351,4.43509051065631,0.5128108,0.5104,0.33953,0.69063,0.29469,0.72751,1000,"NLDAS-2_Hargreaves","1989-2012"
"102",104,1.7474,4.43509051065631,1,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"103",104,1.7944,4.43509051065631,1,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"104",104,1.8415,4.43509051065631,1,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"105",104,1.8885,4.43509051065631,1,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"106",104,1.9355,4.43509051065631,1,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"107",104,1.9825,4.43509051065631,1,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"108",104,2.0295,4.43509051065631,0.999999,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"109",104,2.0766,4.43509051065631,0.999999,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"110",104,2.1236,4.43509051065631,0.999999,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"111",104,2.1706,4.43509051065631,0.9999829,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"112",104,2.2176,4.43509051065631,0.9999829,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"113",104,2.2646,4.43509051065631,0.9999818,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"114",104,2.3117,4.43509051065631,0.9999818,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"115",104,2.3587,4.43509051065631,0.9999746,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"116",104,2.4057,4.43509051065631,0.9999746,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"117",104,2.4527,4.43509051065631,0.9999728,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"118",104,2.4997,4.43509051065631,0.9999668,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"119",104,2.5468,4.43509051065631,0.9999652,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"120",104,2.5938,4.43509051065631,0.9999578,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"121",104,2.6408,4.43509051065631,0.9999459,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"122",104,2.6878,4.43509051065631,0.9999271,1,1,1,1,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"123",104,2.7348,4.43509051065631,0.9998794,1,1,1,0.9982,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"124",104,2.7819,4.43509051065631,0.9998452,1,0.99999,1,0.9981975,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"125",104,2.8289,4.43509051065631,0.9997594,1,0.9984,1,0.9970975,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"126",104,2.8759,4.43509051065631,0.9995123,1,0.9981,1,0.9951,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"127",104,2.9229,4.43509051065631,0.9993645,1,0.9975,1,0.9951,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"128",104,2.9699,4.43509051065631,0.9991722,1,0.99599,1,0.9933975,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"129",104,3.017,4.43509051065631,0.999003,1,0.9951,1,0.9927725,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"130",104,3.064,4.43509051065631,0.9986416,1,0.994595,1,0.988675,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"131",104,3.111,4.43509051065631,0.9982376,1,0.9928,1,0.9839,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"132",104,3.158,4.43509051065631,0.9975298,1,0.9887,1,0.9765,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"133",104,3.205,4.43509051065631,0.9968856,1,0.983885,1,0.9664325,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"134",104,3.2521,4.43509051065631,0.9961576,1,0.978995,1,0.962635,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"135",104,3.2991,4.43509051065631,0.995209,1,0.9765,1,0.9497375,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"136",104,3.3461,4.43509051065631,0.9937902,0.999,0.964465,1,0.943575,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"137",104,3.3931,4.43509051065631,0.9921897,0.9981,0.953715,1,0.9389,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"138",104,3.4401,4.43509051065631,0.9901626,0.9966,0.945745,1,0.937685,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"139",104,3.4872,4.43509051065631,0.9875336,0.9951,0.939385,1,0.9303975,1,1000,"BNU_ESM_Hargreaves","1989-2012"
"140",104,3.5342,4.43509051065631,0.9840484,0.993,0.933685,1,0.9239525,1,1000,"BNU_ESM_Hargreaves","1989-2012"
