"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,-8.0164,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,-7.8789,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,-7.7415,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,-7.604,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,-7.4665,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,-7.3291,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,-7.1916,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,-7.0541,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,-6.9167,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,-6.7792,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,-6.6417,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,-6.5043,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,-6.3668,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,-6.2293,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,-6.0918,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,-5.9544,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,-5.8169,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,-5.6794,2.31056119911967,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,-5.542,2.31056119911967,0.9999958,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,-5.4045,2.31056119911967,0.9999958,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"21",101,-5.267,2.31056119911967,0.9999958,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"22",101,-5.1296,2.31056119911967,0.9999958,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"23",101,-4.9921,2.31056119911967,0.9999958,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"24",101,-4.8546,2.31056119911967,0.9999958,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"25",101,-4.7172,2.31056119911967,0.9999958,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"26",101,-4.5797,2.31056119911967,0.9999958,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"27",101,-4.4422,2.31056119911967,0.9999958,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"28",101,-4.3047,2.31056119911967,0.9999958,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"29",101,-4.1673,2.31056119911967,0.9999958,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"30",101,-4.0298,2.31056119911967,0.9999958,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"31",101,-3.8923,2.31056119911967,0.9999787,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"32",101,-3.7549,2.31056119911967,0.9999427,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"33",101,-3.6174,2.31056119911967,0.9999287,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"34",101,-3.4799,2.31056119911967,0.9999213,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"35",101,-3.3425,2.31056119911967,0.9998957,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"36",101,-3.205,2.31056119911967,0.9998654,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"37",101,-3.0675,2.31056119911967,0.9997923,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"38",101,-2.93,2.31056119911967,0.9997322,1,1,1,0.9972875,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"39",101,-2.7926,2.31056119911967,0.9996815,1,1,1,0.996775,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"40",101,-2.6551,2.31056119911967,0.9995553,1,1,1,0.9957,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"41",101,-2.5176,2.31056119911967,0.9994598,1,0.999865,1,0.9936,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"42",101,-2.3802,2.31056119911967,0.9993738,1,0.9968,1,0.9920725,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"43",101,-2.2427,2.31056119911967,0.9991953,1,0.9957,1,0.991,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"44",101,-2.1052,2.31056119911967,0.9989916,1,0.99357,1,0.98934,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"45",101,-1.9678,2.31056119911967,0.9988,1,0.9921,1,0.9856,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"46",101,-1.8303,2.31056119911967,0.9984901,1,0.991,1,0.9849,1,1000,"NLDAS-2_Hargreaves","1989-2012"
