"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,4.0678,5.67017929225708,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,4.0945,5.67017929225708,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,4.1212,5.67017929225708,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,4.1478,5.67017929225708,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,4.1745,5.67017929225708,0.9999988,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,4.2012,5.67017929225708,0.9999988,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,4.2278,5.67017929225708,0.9999946,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,4.2545,5.67017929225708,0.9999946,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,4.2812,5.67017929225708,0.9999946,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,4.3078,5.67017929225708,0.9999904,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,4.3345,5.67017929225708,0.9999893,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,4.3612,5.67017929225708,0.9999846,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,4.3878,5.67017929225708,0.9999731,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,4.4145,5.67017929225708,0.9999615,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,4.4412,5.67017929225708,0.9999511,1,1,1,0.9995,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,4.4678,5.67017929225708,0.9999355,1,1,1,0.9995,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,4.4945,5.67017929225708,0.9998972,1,0.9995,1,0.9989,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,4.5212,5.67017929225708,0.9998685,1,0.9995,1,0.9985,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,4.5478,5.67017929225708,0.9998099,1,0.9989,1,0.9958,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,4.5745,5.67017929225708,0.999751,1,0.9985,1,0.9958,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"21",101,4.6012,5.67017929225708,0.9996557,1,0.99699,1,0.9958,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"22",101,4.6278,5.67017929225708,0.9995583,1,0.9958,1,0.9958,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"23",101,4.6545,5.67017929225708,0.9993877,1,0.9958,1,0.9953,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"24",101,4.6812,5.67017929225708,0.9991862,1,0.9953,1,0.9946,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"25",101,4.7078,5.67017929225708,0.9988998,1,0.9946,1,0.9942975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"26",101,4.7345,5.67017929225708,0.9985893,0.9995,0.994595,1,0.993995,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"27",101,4.7612,5.67017929225708,0.9982177,0.9993,0.994,1,0.9928,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"28",101,4.7878,5.67017929225708,0.9976936,0.9989,0.993,1,0.99209,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"29",101,4.8145,5.67017929225708,0.9972178,0.9982,0.9926,1,0.9910975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"30",101,4.8412,5.67017929225708,0.9966151,0.9974,0.9917,1,0.9901,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"31",101,4.8678,5.67017929225708,0.9958332,0.9958,0.99079,1,0.9888975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"32",101,4.8945,5.67017929225708,0.9949609,0.9951,0.989,1,0.9867,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"33",101,4.9212,5.67017929225708,0.9940182,0.9942,0.987195,0.9995,0.9847,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"34",101,4.9478,5.67017929225708,0.9928402,0.9934,0.984795,0.9989,0.982,0.9995,1000,"NLDAS-2_Hargreaves","1989-2012"
"35",101,4.9745,5.67017929225708,0.9917465,0.9922,0.983295,0.9984,0.980395,0.9993,1000,"NLDAS-2_Hargreaves","1989-2012"
"36",101,5.0012,5.67017929225708,0.9901531,0.9913,0.9809,0.997815,0.9750975,0.9986025,1000,"NLDAS-2_Hargreaves","1989-2012"
"37",101,5.0278,5.67017929225708,0.9884412,0.9901,0.976295,0.9965,0.9708975,0.99771,1000,"NLDAS-2_Hargreaves","1989-2012"
"38",101,5.0545,5.67017929225708,0.986349,0.98855,0.972595,0.995105,0.9674775,0.996505,1000,"NLDAS-2_Hargreaves","1989-2012"
"39",101,5.0812,5.67017929225708,0.98382,0.98675,0.966295,0.9937,0.9573875,0.99461,1000,"NLDAS-2_Hargreaves","1989-2012"
"40",101,5.1078,5.67017929225708,0.9808686,0.9838,0.95947,0.9921,0.9496825,0.9934025,1000,"NLDAS-2_Hargreaves","1989-2012"
"41",101,5.1345,5.67017929225708,0.9776648,0.9806,0.952785,0.9908,0.941875,0.992005,1000,"NLDAS-2_Hargreaves","1989-2012"
"42",101,5.1612,5.67017929225708,0.9733136,0.97735,0.941895,0.9894,0.925485,0.9905075,1000,"NLDAS-2_Hargreaves","1989-2012"
"43",101,5.1878,5.67017929225708,0.9684756,0.9734,0.934425,0.9872,0.915195,0.98881,1000,"NLDAS-2_Hargreaves","1989-2012"
"44",101,5.2145,5.67017929225708,0.9626852,0.9684,0.91457,0.985315,0.900745,0.987,1000,"NLDAS-2_Hargreaves","1989-2012"
"45",101,5.2412,5.67017929225708,0.956296,0.96335,0.906895,0.9833,0.8951,0.9853,1000,"NLDAS-2_Hargreaves","1989-2012"
"46",101,5.2678,5.67017929225708,0.9488361,0.9568,0.894795,0.9802,0.87934,0.983105,1000,"NLDAS-2_Hargreaves","1989-2012"
"47",101,5.2945,5.67017929225708,0.9388317,0.94735,0.872615,0.9754,0.8556775,0.9797,1000,"NLDAS-2_Hargreaves","1989-2012"
"48",101,5.3212,5.67017929225708,0.9268661,0.9356,0.854875,0.9705,0.8356975,0.975005,1000,"NLDAS-2_Hargreaves","1989-2012"
"49",101,5.3478,5.67017929225708,0.911979,0.92275,0.83051,0.9637,0.807275,0.9686,1000,"NLDAS-2_Hargreaves","1989-2012"
"50",101,5.3745,5.67017929225708,0.8958978,0.90535,0.807095,0.9589,0.7753,0.963745,1000,"NLDAS-2_Hargreaves","1989-2012"
"51",101,5.4012,5.67017929225708,0.8768826,0.8863,0.775185,0.948805,0.7530875,0.9569,1000,"NLDAS-2_Hargreaves","1989-2012"
"52",101,5.4278,5.67017929225708,0.8551182,0.86275,0.7465,0.93871,0.710105,0.9438025,1000,"NLDAS-2_Hargreaves","1989-2012"
"53",101,5.4545,5.67017929225708,0.8303409,0.83735,0.71072,0.9247,0.67476,0.93162,1000,"NLDAS-2_Hargreaves","1989-2012"
"54",101,5.4812,5.67017929225708,0.8027848,0.80985,0.674375,0.90776,0.6366875,0.91912,1000,"NLDAS-2_Hargreaves","1989-2012"
"55",101,5.5078,5.67017929225708,0.7720268,0.77815,0.622075,0.883315,0.5921925,0.899505,1000,"NLDAS-2_Hargreaves","1989-2012"
"56",101,5.5345,5.67017929225708,0.7376738,0.7455,0.58457,0.86082,0.5499,0.87392,1000,"NLDAS-2_Hargreaves","1989-2012"
"57",101,5.5612,5.67017929225708,0.6990355,0.70775,0.538315,0.82653,0.50789,0.8445025,1000,"NLDAS-2_Hargreaves","1989-2012"
"58",101,5.5878,5.67017929225708,0.6566129,0.66345,0.488475,0.80013,0.4568175,0.8210325,1000,"NLDAS-2_Hargreaves","1989-2012"
"59",101,5.6145,5.67017929225708,0.6096522,0.6127,0.441265,0.764705,0.39873,0.7906075,1000,"NLDAS-2_Hargreaves","1989-2012"
"60",101,5.6412,5.67017929225708,0.5621312,0.5609,0.397865,0.72148,0.3462075,0.7496625,1000,"NLDAS-2_Hargreaves","1989-2012"
"61",101,5.6678,5.67017929225708,0.5125397,0.51445,0.338425,0.67569,0.3075925,0.6983525,1000,"NLDAS-2_Hargreaves","1989-2012"
"62",101,5.6945,5.67017929225708,0.460593,0.46115,0.294665,0.619805,0.2590325,0.6495275,1000,"NLDAS-2_Hargreaves","1989-2012"
