"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,0.8805,2.56095485157353,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,0.9113,2.56095485157353,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,0.942,2.56095485157353,0.9999994,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,0.9727,2.56095485157353,0.9999994,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,1.0035,2.56095485157353,0.9999994,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,1.0342,2.56095485157353,0.9999994,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,1.0649,2.56095485157353,0.9999992,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,1.0956,2.56095485157353,0.9999992,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,1.1264,2.56095485157353,0.9999992,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,1.1571,2.56095485157353,0.999977,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,1.1878,2.56095485157353,0.999976,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,1.2186,2.56095485157353,0.9999758,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,1.2493,2.56095485157353,0.9999748,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,1.28,2.56095485157353,0.9999454,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,1.3108,2.56095485157353,0.9999103,1,1,1,0.9998,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,1.3415,2.56095485157353,0.9998874,1,1,1,0.9998,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,1.3722,2.56095485157353,0.9998502,1,1,1,0.9994,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,1.4029,2.56095485157353,0.9998427,1,0.9998,1,0.9991975,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,1.4337,2.56095485157353,0.9997819,1,0.999785,1,0.999,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,1.4644,2.56095485157353,0.9996871,1,0.999195,1,0.9968925,1,1000,"NLDAS-2_Hargreaves","1989-2012"
