"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,-1.734,0.178409748973899,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,-1.7023,0.178409748973899,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,-1.6705,0.178409748973899,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,-1.6388,0.178409748973899,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,-1.6071,0.178409748973899,0.9999886,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,-1.5754,0.178409748973899,0.9999886,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,-1.5436,0.178409748973899,0.9999886,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,-1.5119,0.178409748973899,0.9999886,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,-1.4802,0.178409748973899,0.9999886,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,-1.4485,0.178409748973899,0.9999886,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,-1.4167,0.178409748973899,0.9999886,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,-1.385,0.178409748973899,0.9999821,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,-1.3533,0.178409748973899,0.9999821,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,-1.3216,0.178409748973899,0.9999773,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,-1.2899,0.178409748973899,0.9999645,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,-1.2581,0.178409748973899,0.9999517,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,-1.2264,0.178409748973899,0.9999511,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,-1.1947,0.178409748973899,0.9999055,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,-1.163,0.178409748973899,0.9999044,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,-1.1312,0.178409748973899,0.9997377,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"21",101,-1.0995,0.178409748973899,0.9995973,1,1,1,0.9998,1,1000,"NLDAS-2_Hargreaves","1989-2012"
