"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,-4.9982,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,-4.9396,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,-4.881,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,-4.8224,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,-4.7637,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,-4.7051,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,-4.6465,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,-4.5879,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,-4.5293,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,-4.4706,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,-4.412,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,-4.3534,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,-4.2948,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,-4.2362,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,-4.1776,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,-4.1189,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,-4.0603,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,-4.0017,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,-3.9431,-1.61832730628002,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,-3.8845,-1.61832730628002,0.9999331,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"21",101,-3.8258,-1.61832730628002,0.9999331,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"22",101,-3.7672,-1.61832730628002,0.9998876,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"23",101,-3.7086,-1.61832730628002,0.9998526,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"24",101,-3.65,-1.61832730628002,0.9997462,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"25",101,-3.5914,-1.61832730628002,0.9996142,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"26",101,-3.5327,-1.61832730628002,0.9995732,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"27",101,-3.4741,-1.61832730628002,0.9994017,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"28",101,-3.4155,-1.61832730628002,0.9990072,1,1,1,0.9804,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"29",101,-3.3569,-1.61832730628002,0.9984389,1,1,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"30",101,-3.2983,-1.61832730628002,0.9978169,1,0.9804,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"31",101,-3.2397,-1.61832730628002,0.9969257,1,0.962985,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"32",101,-3.181,-1.61832730628002,0.9959882,1,0.9545,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"33",101,-3.1224,-1.61832730628002,0.9945117,1,0.9545,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"34",101,-3.0638,-1.61832730628002,0.9928968,1,0.9545,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"35",101,-3.0052,-1.61832730628002,0.9907116,1,0.9545,1,0.9391,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"36",101,-2.9466,-1.61832730628002,0.9880856,1,0.949895,1,0.9348525,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"37",101,-2.8879,-1.61832730628002,0.984581,1,0.9391,1,0.933,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"38",101,-2.8293,-1.61832730628002,0.980031,1,0.933,1,0.9195,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"39",101,-2.7707,-1.61832730628002,0.9746973,0.9846,0.91945,1,0.9134,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"40",101,-2.7121,-1.61832730628002,0.968932,0.9786,0.9141,1,0.9008275,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"41",101,-2.6535,-1.61832730628002,0.9610061,0.9589,0.902895,1,0.890485,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"42",101,-2.5949,-1.61832730628002,0.9525472,0.9545,0.8905,1,0.8759875,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"43",101,-2.5362,-1.61832730628002,0.9412664,0.9391,0.87437,1,0.8602675,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"44",101,-2.4776,-1.61832730628002,0.9285511,0.933,0.86182,1,0.838965,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"45",101,-2.419,-1.61832730628002,0.9149236,0.9176,0.83399,0.9846,0.8178925,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"46",101,-2.3604,-1.61832730628002,0.8992773,0.898,0.81615,0.9786,0.7974975,0.9846,1000,"NLDAS-2_Hargreaves","1989-2012"
"47",101,-2.3018,-1.61832730628002,0.8805092,0.8884,0.795555,0.9554,0.7769,0.9714,1000,"NLDAS-2_Hargreaves","1989-2012"
"48",101,-2.2431,-1.61832730628002,0.8616434,0.86795,0.77236,0.9391,0.7541775,0.9562475,1000,"NLDAS-2_Hargreaves","1989-2012"
"49",101,-2.1845,-1.61832730628002,0.8397998,0.8444,0.74116,0.9195,0.7239,0.9391,1000,"NLDAS-2_Hargreaves","1989-2012"
"50",101,-2.1259,-1.61832730628002,0.8168786,0.82315,0.71006,0.9075,0.6853,0.9195,1000,"NLDAS-2_Hargreaves","1989-2012"
"51",101,-2.0673,-1.61832730628002,0.790077,0.79535,0.6777,0.8899,0.65587,0.8981625,1000,"NLDAS-2_Hargreaves","1989-2012"
"52",101,-2.0087,-1.61832730628002,0.7629794,0.7693,0.64166,0.86941,0.6228525,0.884125,1000,"NLDAS-2_Hargreaves","1989-2012"
"53",101,-1.95,-1.61832730628002,0.733005,0.73445,0.6149,0.845915,0.5966725,0.85814,1000,"NLDAS-2_Hargreaves","1989-2012"
"54",101,-1.8914,-1.61832730628002,0.7001588,0.7043,0.57427,0.8179,0.55554,0.8376,1000,"NLDAS-2_Hargreaves","1989-2012"
"55",101,-1.8328,-1.61832730628002,0.6662462,0.6716,0.53316,0.7964,0.5007325,0.8055,1000,"NLDAS-2_Hargreaves","1989-2012"
"56",101,-1.7742,-1.61832730628002,0.6299475,0.6351,0.49019,0.76181,0.4689225,0.7769,1000,"NLDAS-2_Hargreaves","1989-2012"
"57",101,-1.7156,-1.61832730628002,0.592943,0.59345,0.44921,0.7267,0.4300875,0.7486,1000,"NLDAS-2_Hargreaves","1989-2012"
"58",101,-1.657,-1.61832730628002,0.5564764,0.55505,0.41866,0.69063,0.3976,0.72,1000,"NLDAS-2_Hargreaves","1989-2012"
"59",101,-1.5983,-1.61832730628002,0.519006,0.5204,0.37998,0.6623,0.3545875,0.684715,1000,"NLDAS-2_Hargreaves","1989-2012"
"60",101,-1.5397,-1.61832730628002,0.4776408,0.4763,0.344585,0.624525,0.3168,0.64215,1000,"NLDAS-2_Hargreaves","1989-2012"
"61",101,-1.4811,-1.61832730628002,0.4380636,0.437,0.30775,0.57731,0.2789575,0.6006375,1000,"NLDAS-2_Hargreaves","1989-2012"
"62",101,-1.4225,-1.61832730628002,0.3986843,0.3984,0.270595,0.53347,0.24409,0.558115,1000,"NLDAS-2_Hargreaves","1989-2012"
"63",101,-1.3639,-1.61832730628002,0.3589846,0.3542,0.24279,0.48594,0.220535,0.503005,1000,"NLDAS-2_Hargreaves","1989-2012"
"64",101,-1.3052,-1.61832730628002,0.3209377,0.3189,0.20143,0.444415,0.1830975,0.468455,1000,"NLDAS-2_Hargreaves","1989-2012"
"65",101,-1.2466,-1.61832730628002,0.285094,0.2778,0.17586,0.412865,0.1530775,0.4335225,1000,"NLDAS-2_Hargreaves","1989-2012"
"66",101,-1.188,-1.61832730628002,0.2494393,0.2447,0.148765,0.36951,0.1293925,0.39285,1000,"NLDAS-2_Hargreaves","1989-2012"
"67",101,-1.1294,-1.61832730628002,0.2170998,0.20985,0.12308,0.330165,0.1068,0.355605,1000,"NLDAS-2_Hargreaves","1989-2012"
"68",101,-1.0708,-1.61832730628002,0.1845895,0.17855,0.09746,0.28265,0.084495,0.306325,1000,"NLDAS-2_Hargreaves","1989-2012"
"69",101,-1.0121,-1.61832730628002,0.1561907,0.152,0.080175,0.24974,0.071585,0.2712225,1000,"NLDAS-2_Hargreaves","1989-2012"
"70",101,-0.9535,-1.61832730628002,0.1307673,0.12605,0.06319,0.221115,0.052685,0.237525,1000,"NLDAS-2_Hargreaves","1989-2012"
"71",101,-0.8949,-1.61832730628002,0.1085902,0.1047,0.04709,0.188655,0.0374,0.2122225,1000,"NLDAS-2_Hargreaves","1989-2012"
"72",101,-0.8363,-1.61832730628002,0.0884317,0.0829,0.03466,0.161815,0.0275975,0.178205,1000,"NLDAS-2_Hargreaves","1989-2012"
"73",101,-0.7777,-1.61832730628002,0.0717743,0.06625,0.023595,0.1379,0.017095,0.145965,1000,"NLDAS-2_Hargreaves","1989-2012"
"74",101,-0.7191,-1.61832730628002,0.0564178,0.05175,0.0152,0.1119,0.0116975,0.12322,1000,"NLDAS-2_Hargreaves","1989-2012"
"75",101,-0.6604,-1.61832730628002,0.0443182,0.04005,0.009475,0.0947849999999999,0.0064,0.1078,1000,"NLDAS-2_Hargreaves","1989-2012"
"76",101,-0.6018,-1.61832730628002,0.0342731,0.0305,0.0032,0.077105,0,0.089725,1000,"NLDAS-2_Hargreaves","1989-2012"
"77",101,-0.5432,-1.61832730628002,0.0261127,0.0235,0,0.063205,0,0.0724,1000,"NLDAS-2_Hargreaves","1989-2012"
"78",101,-0.4846,-1.61832730628002,0.0197147,0.01705,0,0.05081,0,0.0608075,1000,"NLDAS-2_Hargreaves","1989-2012"
"79",101,-0.426,-1.61832730628002,0.0143164,0.0119,0,0.041505,0,0.0505125,1000,"NLDAS-2_Hargreaves","1989-2012"
