"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,0.8405,4.04580899688963,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,0.8989,4.04580899688963,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,0.9573,4.04580899688963,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,1.0158,4.04580899688963,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,1.0742,4.04580899688963,0.9999992,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,1.1326,4.04580899688963,0.9999992,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,1.191,4.04580899688963,0.9999992,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,1.2495,4.04580899688963,0.9999814,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,1.3079,4.04580899688963,0.9999707,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,1.3663,4.04580899688963,0.9999707,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,1.4248,4.04580899688963,0.9999596,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,1.4832,4.04580899688963,0.999959,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,1.5416,4.04580899688963,0.9999475,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,1.6001,4.04580899688963,0.9999473,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,1.6585,4.04580899688963,0.999933,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,1.7169,4.04580899688963,0.9999208,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,1.7753,4.04580899688963,0.9998931,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,1.8338,4.04580899688963,0.9998655,1,1,1,0.9998,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,1.8922,4.04580899688963,0.9998522,1,1,1,0.9994,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,1.9506,4.04580899688963,0.9997852,1,0.9998,1,0.999,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"21",101,2.0091,4.04580899688963,0.9996768,1,0.9992,1,0.994985,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"22",101,2.0675,4.04580899688963,0.9996036,1,0.999,1,0.9909575,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"23",101,2.1259,4.04580899688963,0.9995417,1,0.9984,1,0.9893,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"24",101,2.1844,4.04580899688963,0.9993319,1,0.9944,1,0.9893,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"25",101,2.2428,4.04580899688963,0.9991166,1,0.991,1,0.9893,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"26",101,2.3012,4.04580899688963,0.9987938,1,0.9893,1,0.989,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"27",101,2.3596,4.04580899688963,0.9984698,1,0.9893,1,0.9879,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"28",101,2.4181,4.04580899688963,0.9980223,1,0.9887,1,0.98707,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"29",101,2.4765,4.04580899688963,0.9973772,1,0.9878,1,0.9826875,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"30",101,2.5349,4.04580899688963,0.9966235,0.9998,0.98569,1,0.9816775,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"31",101,2.5934,4.04580899688963,0.9957632,0.9992,0.983095,1,0.9730925,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"32",101,2.6518,4.04580899688963,0.9945227,0.9989,0.9798,1,0.9661525,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"33",101,2.7102,4.04580899688963,0.9929955,0.9979,0.97505,1,0.95148,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"34",101,2.7687,4.04580899688963,0.9910892,0.9967,0.966695,1,0.9367,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"35",101,2.8271,4.04580899688963,0.9886095,0.9948,0.951495,1,0.9340925,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"36",101,2.8855,4.04580899688963,0.9860787,0.9922,0.939295,1,0.928195,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"37",101,2.9439,4.04580899688963,0.9828744,0.988,0.93349,1,0.922295,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"38",101,3.0024,4.04580899688963,0.9784484,0.98525,0.92459,0.999515,0.9151875,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"39",101,3.0608,4.04580899688963,0.9732525,0.9817,0.9147,0.9986,0.902495,0.9998,1000,"NLDAS-2_Hargreaves","1989-2012"
"40",101,3.1192,4.04580899688963,0.9665874,0.9768,0.905145,0.9974,0.88909,0.9986,1000,"NLDAS-2_Hargreaves","1989-2012"
"41",101,3.1777,4.04580899688963,0.9586954,0.9691,0.89207,0.9956,0.8720325,0.9975025,1000,"NLDAS-2_Hargreaves","1989-2012"
"42",101,3.2361,4.04580899688963,0.9486006,0.96085,0.876695,0.99061,0.8575975,0.995105,1000,"NLDAS-2_Hargreaves","1989-2012"
"43",101,3.2945,4.04580899688963,0.9359892,0.94565,0.85688,0.985115,0.8303975,0.9912025,1000,"NLDAS-2_Hargreaves","1989-2012"
"44",101,3.3529,4.04580899688963,0.9220534,0.92845,0.83079,0.979505,0.814595,0.9843025,1000,"NLDAS-2_Hargreaves","1989-2012"
"45",101,3.4114,4.04580899688963,0.9059976,0.9132,0.80736,0.9742,0.78949,0.97902,1000,"NLDAS-2_Hargreaves","1989-2012"
"46",101,3.4698,4.04580899688963,0.8849835,0.8937,0.78003,0.96372,0.7553825,0.97311,1000,"NLDAS-2_Hargreaves","1989-2012"
"47",101,3.5282,4.04580899688963,0.8605264,0.8671,0.744,0.948105,0.7225975,0.955405,1000,"NLDAS-2_Hargreaves","1989-2012"
"48",101,3.5867,4.04580899688963,0.8349774,0.8411,0.71606,0.937705,0.6865925,0.9470075,1000,"NLDAS-2_Hargreaves","1989-2012"
"49",101,3.6451,4.04580899688963,0.804932,0.8102,0.675505,0.91283,0.642535,0.9286375,1000,"NLDAS-2_Hargreaves","1989-2012"
"50",101,3.7035,4.04580899688963,0.7727633,0.77765,0.62769,0.89311,0.609395,0.905435,1000,"NLDAS-2_Hargreaves","1989-2012"
"51",101,3.762,4.04580899688963,0.7360504,0.74105,0.59127,0.864415,0.5569,0.8746025,1000,"NLDAS-2_Hargreaves","1989-2012"
"52",101,3.8204,4.04580899688963,0.6974415,0.69765,0.555555,0.83612,0.5227625,0.8552225,1000,"NLDAS-2_Hargreaves","1989-2012"
"53",101,3.8788,4.04580899688963,0.655021,0.6571,0.501465,0.7955,0.47435,0.8161025,1000,"NLDAS-2_Hargreaves","1989-2012"
"54",101,3.9372,4.04580899688963,0.607799,0.61035,0.45197,0.755015,0.42229,0.773315,1000,"NLDAS-2_Hargreaves","1989-2012"
"55",101,3.9957,4.04580899688963,0.5612557,0.56195,0.403795,0.722505,0.3755225,0.7485025,1000,"NLDAS-2_Hargreaves","1989-2012"
"56",101,4.0541,4.04580899688963,0.5113778,0.5141,0.347225,0.67421,0.31543,0.7017625,1000,"NLDAS-2_Hargreaves","1989-2012"
"57",101,4.1125,4.04580899688963,0.4634462,0.4638,0.30219,0.634325,0.2694,0.6593725,1000,"NLDAS-2_Hargreaves","1989-2012"
"58",101,4.171,4.04580899688963,0.4136796,0.41425,0.251795,0.573525,0.230895,0.5990375,1000,"NLDAS-2_Hargreaves","1989-2012"
"59",101,4.2294,4.04580899688963,0.3666651,0.36485,0.21768,0.52988,0.1969325,0.5653025,1000,"NLDAS-2_Hargreaves","1989-2012"
"60",101,4.2878,4.04580899688963,0.3195159,0.30955,0.174,0.480935,0.1572725,0.50812,1000,"NLDAS-2_Hargreaves","1989-2012"
"61",101,4.3463,4.04580899688963,0.2742182,0.26895,0.134275,0.422525,0.1165975,0.4609025,1000,"NLDAS-2_Hargreaves","1989-2012"
"62",101,4.4047,4.04580899688963,0.2318754,0.22525,0.1062,0.37292,0.0864875,0.405955,1000,"NLDAS-2_Hargreaves","1989-2012"
"63",101,4.4631,4.04580899688963,0.195327,0.19325,0.08378,0.32202,0.069995,0.36503,1000,"NLDAS-2_Hargreaves","1989-2012"
"64",101,4.5215,4.04580899688963,0.1624864,0.1578,0.06449,0.27873,0.05259,0.3029225,1000,"NLDAS-2_Hargreaves","1989-2012"
"65",101,4.58,4.04580899688963,0.1333374,0.1261,0.047295,0.23963,0.037275,0.268145,1000,"NLDAS-2_Hargreaves","1989-2012"
"66",101,4.6384,4.04580899688963,0.1075324,0.1002,0.03488,0.201155,0.0297925,0.23216,1000,"NLDAS-2_Hargreaves","1989-2012"
