"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,-0.1245,3.56673724354537,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,-0.0617,3.56673724354537,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,0.0011,3.56673724354537,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,0.0638,3.56673724354537,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,0.1266,3.56673724354537,0.9999786,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,0.1893,3.56673724354537,0.9999786,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,0.2521,3.56673724354537,0.9999786,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,0.3148,3.56673724354537,0.9999786,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,0.3776,3.56673724354537,0.9998876,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,0.4404,3.56673724354537,0.9997511,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,0.5031,3.56673724354537,0.9996601,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,0.5659,3.56673724354537,0.9995082,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,0.6286,3.56673724354537,0.9995082,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,0.6914,3.56673724354537,0.9993717,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,0.7541,3.56673724354537,0.9988585,1,1,1,0.9786,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,0.8169,3.56673724354537,0.9984276,1,1,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,0.8797,3.56673724354537,0.9977993,1,0.9843,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,0.9424,3.56673724354537,0.9971609,1,0.9545,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,1.0052,3.56673724354537,0.9963107,1,0.9545,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"20",101,1.0679,3.56673724354537,0.9948879,1,0.9545,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"21",101,1.1307,3.56673724354537,0.9933511,1,0.9545,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"22",101,1.1934,3.56673724354537,0.9909831,1,0.9545,1,0.9545,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"23",101,1.2562,3.56673724354537,0.9877262,1,0.9545,1,0.9391,1,1000,"NLDAS-2_Hargreaves","1989-2012"
