"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,-3.4887,1.33546148703843,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,-3.4157,1.33546148703843,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,-3.3428,1.33546148703843,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,-3.2698,1.33546148703843,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,-3.1968,1.33546148703843,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,-3.1238,1.33546148703843,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,-3.0509,1.33546148703843,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,-2.9779,1.33546148703843,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,-2.9049,1.33546148703843,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,-2.832,1.33546148703843,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,-2.759,1.33546148703843,0.9999992,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,-2.686,1.33546148703843,0.9999992,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,-2.613,1.33546148703843,0.9999992,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,-2.5401,1.33546148703843,0.9999992,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,-2.4671,1.33546148703843,0.9999992,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,-2.3941,1.33546148703843,0.9999992,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,-2.3211,1.33546148703843,0.9999992,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
