"","Chang_item","log_wq_level","median_wq_val","mean_exceed","median_exceed","low_exceed_90","high_exceed_90","low_exceed_95","high_exceed_95","n","model","per"
"1",101,1.7609,2.03308407235739,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"2",101,1.7658,2.03308407235739,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"3",101,1.7707,2.03308407235739,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"4",101,1.7757,2.03308407235739,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"5",101,1.7806,2.03308407235739,1,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"6",101,1.7855,2.03308407235739,0.9999958,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"7",101,1.7904,2.03308407235739,0.9999958,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"8",101,1.7953,2.03308407235739,0.9999942,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"9",101,1.8003,2.03308407235739,0.9999937,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"10",101,1.8052,2.03308407235739,0.9999895,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"11",101,1.8101,2.03308407235739,0.999975,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"12",101,1.815,2.03308407235739,0.9999697,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"13",101,1.8199,2.03308407235739,0.9999589,1,1,1,1,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"14",101,1.8248,2.03308407235739,0.9999451,1,1,1,0.9999875,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"15",101,1.8298,2.03308407235739,0.9999391,1,1,1,0.9995,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"16",101,1.8347,2.03308407235739,0.9999151,1,1,1,0.9989,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"17",101,1.8396,2.03308407235739,0.99989,1,0.9995,1,0.9987,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"18",101,1.8445,2.03308407235739,0.9998264,1,0.9989,1,0.9958,1,1000,"NLDAS-2_Hargreaves","1989-2012"
"19",101,1.8494,2.03308407235739,0.9997965,1,0.9989,1,0.9958,1,1000,"NLDAS-2_Hargreaves","1989-2012"
