"wq_name","site","model","month","Fut1diff_median","Fut2diff_median","Fut1like","Fut2like","Fut1med_use","Fut2med_use","X0"
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Jan",-0.0254914746785726,-0.0393807855143127,58,65,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Feb",0.00190920343495526,-0.00975314367225999,52,52,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Mar",-0.0157857693501522,-0.0191890824348098,52,57,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Apr",-0.00955601530129746,-0.0109238046944573,53,55,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","May",0.00777030870353479,-0.0187100592530702,54,55,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Jun",-0.00992903530784472,-0.0336614709856748,53,61,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Jul",-0.0397669440162622,-0.0607359421804725,63,69,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Aug",-0.0368394538056074,-0.0219807287779576,60,60,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Sep",-0.0452874823473923,-0.0536676924608801,70,66,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Oct",-0.00117366275138253,-0.0128613703366998,50,57,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Nov",-0.02648407351091,-0.0169814287592447,62,59,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Dec",-0.00464222103079726,-0.00581958245906988,52,52,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Jan",-0.0145891967546579,0.0224783563213025,58,58,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Feb",0.04128236410718,0.0197079714789627,68,56,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Mar",0.02580715341854,0.0255347722045502,59,60,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Apr",-0.01019439742228,-0.00776964021513749,56,55,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","May",0.0120582421372,-0.00957234900736004,56,55,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Jun",0.0123272032073276,0.00886927493086764,54,55,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Jul",0.0210286712471823,0.00159993225734256,57,50,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Aug",0.0312606947288798,0.0287684509533574,65,61,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Sep",0.046263483906495,0.0302885475777046,60,60,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Oct",0.0368360650900976,0.0546605036773951,61,72,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Nov",0.0187147055052326,0.0189694185559499,56,54,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Dec",0.0216528961931926,0.0113673519495874,57,55,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Jan",-0.02196749185428,0.00987542621317261,61,54,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Feb",-0.0340629946457076,-0.0146843762008799,56,59,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Mar",-0.02638718449039,-0.0369773917065899,59,65,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Apr",-0.0390429054871699,-0.0140373870052777,62,56,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","May",-0.0250098649691097,-0.0141007785379923,60,55,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Jun",-0.02374069032577,-0.0299125763516626,58,56,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Jul",-0.04724941862483,-0.0574437224454651,63,66,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Aug",-0.0308097285033575,-0.0329691874398275,61,66,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Sep",-0.00448831200726274,-0.0222355847001874,54,56,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Oct",-0.01702175883936,-0.0200320268142451,58,54,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Nov",0.0257029992416424,0.0275115629987823,59,61,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Dec",-0.00896969825865979,-0.000690508439542548,57,51,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Jan",-0.0195496633760572,-0.0368668362481326,60,58,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Feb",-0.0117980304088425,-0.024286309655795,61,61,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Mar",0.00299171446207747,-0.0153094714580726,51,55,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Apr",0.0169882715163527,-0.0154255449615126,55,58,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","May",-0.006138738419045,0.00769229694480744,51,54,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Jun",-0.00575914233936259,-0.0134983979073049,53,59,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Jul",0.00130624154697734,-0.0312861437616849,50,61,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Aug",-0.0103056725324127,-0.0510068408080475,57,62,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Sep",-0.0202889094433996,-0.0338320816941098,55,61,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Oct",-0.0331903394680124,-0.0423630723960926,61,65,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Nov",-0.0128585750758574,-0.0376726451803875,54,66,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Dec",0.00234597622762256,-0.0136411505149074,51,54,NA,NA,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MPI-ESM-LR","Jan",-0.0194505075654277,0.00288442825399748,58,52,NA,NA,NA
