"wq_name","site","model","month","Fut1diff_median","Fut2diff_median","Fut1like","Fut2like","Fut1med_use","Fut2med_use","X0"
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Jan",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Feb",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Mar",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Apr",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","May",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Jun",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Jul",0,0,1,1,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Aug",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Sep",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Oct",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Nov",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","BNU-ESM","Dec",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Jan",0,0,1,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Feb",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Mar",0,0,1,1,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Apr",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","May",0,0,1,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Jun",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Jul",0,0,1,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Aug",0,0,0,1,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Sep",0,0,1,1,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Oct",0,0,1,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Nov",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-CM3","Dec",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Jan",0,0,1,1,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Feb",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Mar",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Apr",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","May",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Jun",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Jul",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Aug",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Sep",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Oct",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Nov",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","GFDL-ESM2G","Dec",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Jan",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Feb",0,0,1,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Mar",0,0,1,1,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Apr",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","May",0,0,0,0,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Jun",0,0,0,1,0,0,NA
"Turbidity Hillsborough R at Morris Br","Hillsborough","MIROC-ESM","Jul",0,0,0,0,0,0,NA
