"title","model","per","not_fine"
"Alkalinity Alafia R at Lithia","BNU_ESM_Hargreaves","1989-2012",0.00650239561943877
"Alkalinity Alafia R at Lithia","BNU_ESM_Hargreaves","2030-2060",0.0159865748101042
"Alkalinity Alafia R at Lithia","BNU_ESM_Hargreaves","2070-2100",0.0449567214273097
"Alkalinity Alafia R at Lithia","GFDL_CM3_Hargreaves","1989-2012",0.0107232489162674
"Alkalinity Alafia R at Lithia","GFDL_CM3_Hargreaves","2030-2060",0.0190779014308426
"Alkalinity Alafia R at Lithia","GFDL_CM3_Hargreaves","2070-2100",0.03003003003003
"Alkalinity Alafia R at Lithia","GFDL_ESM2G_Hargreaves","1989-2012",0.0117499429614419
"Alkalinity Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2030-2060",0.0172231054583996
"Alkalinity Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2070-2100",0.0491079314608727
"Alkalinity Alafia R at Lithia","MIROC_ESM_Hargreaves","1989-2012",0.00205338809034905
"Alkalinity Alafia R at Lithia","MIROC_ESM_Hargreaves","2030-2060",0.0177530471648119
"Alkalinity Alafia R at Lithia","MIROC_ESM_Hargreaves","2070-2100",0.0518459636106695
"Alkalinity Alafia R at Lithia","MPI_ESM_LR_Hargreaves","1989-2012",0.00365046771617616
"Alkalinity Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2030-2060",0.0140434552199258
"Alkalinity Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2070-2100",0.0336512983571807
"Alkalinity Alafia R at Lithia","MRI_CGCM3_Hargreaves","1989-2012",0.0041067761806981
"Alkalinity Alafia R at Lithia","MRI_CGCM3_Hargreaves","2030-2060",0.00892068539127366
"Alkalinity Alafia R at Lithia","MRI_CGCM3_Hargreaves","2070-2100",0.0123653064829535
"Alkalinity Alafia R at Lithia","NorESM1_M_Hargreaves","1989-2012",0.0140314852840521
"Alkalinity Alafia R at Lithia","NorESM1_M_Hargreaves","2030-2060",0.0136901607489843
"Alkalinity Alafia R at Lithia","NorESM1_M_Hargreaves","2070-2100",0.0438085143967497
"Alkalinity Alafia R at Lithia","bcc_csm_Hargreaves","1989-2012",0.00798539812913535
"Alkalinity Alafia R at Lithia","bcc_csm_Hargreaves","2030-2060",0.0285285285285285
"Alkalinity Alafia R at Lithia","bcc_csm_Hargreaves","2070-2100",0.104751810634164
"Color Alafia R at Lithia","BNU_ESM_Hargreaves","1989-2012",0.00844170659365728
"Color Alafia R at Lithia","BNU_ESM_Hargreaves","2030-2060",0.0174880763116058
"Color Alafia R at Lithia","BNU_ESM_Hargreaves","2070-2100",0.046193252075605
"Color Alafia R at Lithia","GFDL_CM3_Hargreaves","1989-2012",0.012434405658225
"Color Alafia R at Lithia","GFDL_CM3_Hargreaves","2030-2060",0.0236707295530825
"Color Alafia R at Lithia","GFDL_CM3_Hargreaves","2070-2100",0.0347995053877407
"Color Alafia R at Lithia","GFDL_ESM2G_Hargreaves","1989-2012",0.0150581793292266
"Color Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2030-2060",0.0206677265500795
"Color Alafia R at Lithia","GFDL_ESM2G_Hargreaves","2070-2100",0.0509627274333156
"Color Alafia R at Lithia","MIROC_ESM_Hargreaves","1989-2012",0.00444900752908961
"Color Alafia R at Lithia","MIROC_ESM_Hargreaves","2030-2060",0.021021021021021
"Color Alafia R at Lithia","MIROC_ESM_Hargreaves","2070-2100",0.0525525525525525
"Color Alafia R at Lithia","MPI_ESM_LR_Hargreaves","1989-2012",0.00616016427104726
"Color Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2030-2060",0.0166048401342519
"Color Alafia R at Lithia","MPI_ESM_LR_Hargreaves","2070-2100",0.0361243596537714
"Color Alafia R at Lithia","MRI_CGCM3_Hargreaves","1989-2012",0.00638831850330823
"Color Alafia R at Lithia","MRI_CGCM3_Hargreaves","2030-2060",0.0141317788376611
"Color Alafia R at Lithia","MRI_CGCM3_Hargreaves","2070-2100",0.0194311959017841
"Color Alafia R at Lithia","NorESM1_M_Hargreaves","1989-2012",0.0163130276066621
"Color Alafia R at Lithia","NorESM1_M_Hargreaves","2030-2060",0.0158099275746335
"Color Alafia R at Lithia","NorESM1_M_Hargreaves","2070-2100",0.0463698993110758
"Color Alafia R at Lithia","bcc_csm_Hargreaves","1989-2012",0.0111795573807895
"Color Alafia R at Lithia","bcc_csm_Hargreaves","2030-2060",0.0309132662073839
"Color Alafia R at Lithia","bcc_csm_Hargreaves","2070-2100",0.106429959371136
"Color Hillsborough R at Morris Br","BNU_ESM_Hargreaves","1989-2012",0.0311430527036276
"Color Hillsborough R at Morris Br","BNU_ESM_Hargreaves","2030-2060",0.122681505034446
"Color Hillsborough R at Morris Br","BNU_ESM_Hargreaves","2070-2100",0.222310545839958
"Color Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","1989-2012",0.052703627652293
"Color Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","2030-2060",0.0565271153506448
"Color Hillsborough R at Morris Br","GFDL_CM3_Hargreaves","2070-2100",0.076223282105635
"Color Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","1989-2012",0.0578370978781656
"Color Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","2030-2060",0.124889595477831
"Color Hillsborough R at Morris Br","GFDL_ESM2G_Hargreaves","2070-2100",0.261967850203144
"Color Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","1989-2012",0.0141455624001825
"Color Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","2030-2060",0.0739268680445151
"Color Hillsborough R at Morris Br","MIROC_ESM_Hargreaves","2070-2100",0.251104045221692
"Color Hillsborough R at Morris Br","MPI_ESM_LR_Hargreaves","1989-2012",0.0362765229295003
