"sim_low","sim_high","sim_mean","sim_median","sim_val","Q_cfs_log_round","in_or_out","method","max_flow_sampled","min_flow_sampled"
128.337292769004,235.095725143135,179.957922025076,178.597338177782,202.409594439506,-8.1,"OOR","GAM",8.1,2.5
130.356879883011,232.810939029384,176.297275415057,175.039024083591,195.922036377175,-8,"OOR","GAM",8.1,2.5
127.757764278654,243.860107087663,180.997811675658,181.083999712318,161.802427811984,-7.9,"OOR","GAM",8.1,2.5
125.421258400018,235.365111867418,176.41993526397,175.837261204752,203.038137840302,-7.8,"OOR","GAM",8.1,2.5
126.368949781796,231.145991113022,176.646121737573,177.821424631196,155.570942546274,-7.7,"OOR","GAM",8.1,2.5
124.154597615237,234.219878010128,174.336972639744,172.427942476156,168.436066043523,-7.6,"OOR","GAM",8.1,2.5
130.30367428309,231.005544231674,175.335676653764,173.1405394961,163.174489711773,-7.5,"OOR","GAM",8.1,2.5
128.667781175014,230.489285770385,174.090111550248,173.738796437797,178.056688416066,-7.4,"OOR","GAM",8.1,2.5
128.121978964017,237.056779726454,176.79678548822,175.057317736333,181.329101365704,-7.3,"OOR","GAM",8.1,2.5
130.739087886023,231.585804202259,176.957503201936,175.354089308755,188.378533857537,-7.2,"OOR","GAM",8.1,2.5
122.622893627753,227.410796672822,173.369410725173,173.402240932648,170.690199639214,-7.1,"OOR","GAM",8.1,2.5
120.747377201284,229.280354864576,173.371456410866,174.02477095594,137.239084081393,-7,"OOR","GAM",8.1,2.5
129.715030518337,233.336662378651,175.764799496556,175.357209370647,143.842005807907,-6.9,"OOR","GAM",8.1,2.5
123.733874601549,232.131290527087,171.13873651548,167.629993337637,135.337768048001,-6.8,"OOR","GAM",8.1,2.5
125.410678798028,226.409876743606,171.625774285523,170.958624813674,180.099745613779,-6.7,"OOR","GAM",8.1,2.5
127.823670070461,232.312043497884,171.556279868856,169.304455435647,168.325172534231,-6.6,"OOR","GAM",8.1,2.5
126.431037069185,225.942108064478,172.041464851095,171.680103758821,149.956751163377,-6.5,"OOR","GAM",8.1,2.5
119.474570762199,226.252090657356,168.820001824823,166.891248854893,158.612487611847,-6.4,"OOR","GAM",8.1,2.5
118.028142421761,229.420953993359,169.604251918883,169.260729434767,203.868913468723,-6.3,"OOR","GAM",8.1,2.5
123.075465415301,229.216969299223,170.838025763992,168.853881744785,200.611129386857,-6.2,"OOR","GAM",8.1,2.5
124.977727210324,229.740603101749,170.504648591261,169.004254656367,167.208956271181,-6.1,"OOR","GAM",8.1,2.5
