"Q_cfs_log_round","mu_mean","mu_025","mu_975","y_mean","y_025","y_975","title","in_or_out","method","max_flow_sampled","min_flow_sampled"
-8.1,245.444213529427,4.16722078859018,1231.85818457928,243.195234244865,4.01361113087852,1279.10033690207,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-8,235.712850250734,4.32767336599421,1162.55939548591,235.121279469512,4.13048366044332,1129.39546542363,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-7.9,226.455332358181,4.49431161457089,1097.16933487846,229.181863950821,4.60266928267421,1034.88334111359,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-7.8,217.647235054534,4.66737633683385,1038.97751912287,217.483249151455,4.70174008641832,920.532091002802,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-7.7,209.265904691136,4.846714378261,987.729578231435,213.406534100005,4.51377594200408,1143.07957873995,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-7.6,201.290264452267,5.03277630750086,939.136208348105,200.775995796099,4.97373200628827,943.908575561034,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-7.5,193.700645776769,5.22600558036481,893.065039134434,190.044876136932,5.03299852143345,877.170808685397,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-7.4,186.478642188209,5.42668555148536,849.391196512053,190.375023333604,5.15501665759556,984.605923371493,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-7.3,179.606982618488,5.62708398843431,807.996593431561,175.602734537268,5.91407676947894,810.14265896215,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-7.2,173.069421667098,5.83442301527193,768.938120787473,168.192859160409,5.64985735641434,732.405470200079,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-7.1,166.850644551783,6.04948332455717,732.522073199925,168.02838216829,5.55150732108608,758.5011680977,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-7,160.936184779775,6.27257123785258,697.991574420879,160.968567395323,6.29001234896742,777.350197549346,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-6.9,155.312352809834,6.50400723145148,665.255893629406,154.985926333256,6.03800923487119,640.530866675637,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-6.8,149.966174188265,6.74412655526557,633.693742778879,150.890068122223,6.36006791301639,667.783662387012,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-6.7,144.885335829737,6.99327986371689,597.976845388589,144.854266081322,7.47740361646792,618.334972001856,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-6.6,140.058139281458,7.25183385725687,564.428982647283,139.388343749731,7.00795692158714,535.573893872895,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-6.5,135.473459956394,7.52017193289167,532.928141036637,136.102597723955,7.28245792510541,565.848579002608,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-6.4,131.12071145377,7.79847331052006,503.358349897799,130.465844332916,7.41363943140096,499.710761194387,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-6.3,126.989814200946,8.08182078136299,477.60328112702,127.466974687462,7.72234545919583,502.88854845459,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-6.2,123.071167755162,8.37487039970514,455.754708988036,124.585091423513,8.074108360066,473.808279505345,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-6.1,119.355626194718,8.67645761462301,435.103774778242,120.437720657712,7.83843950330516,448.867475431252,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-6,115.834476110646,8.98943849658562,415.589088922163,117.684101160422,7.8817957282108,452.724337962501,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-5.9,112.499416780969,9.31429557809432,397.152049417117,111.907404977409,8.85204031385951,424.124084407177,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-5.8,109.342542172617,9.65153321459833,380.023354491338,111.918515030793,9.45245855681872,418.4579763309,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-5.7,106.356324470723,10.0016782953511,363.904294404589,107.035579294732,9.95291504032184,402.530177559128,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-5.6,103.5335988828,10.3652809417423,348.670495428645,103.164409151753,9.66670238390606,351.240390845585,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-5.5,100.86754950669,10.7102016347556,335.405182196489,100.22540240205,9.85093806334342,340.198755274176,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-5.4,98.351696086956,11.0612860068146,325.325598961754,97.9803648228095,10.5175716566595,304.760536045959,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-5.3,95.9798815146259,11.4681108810809,316.836730587479,97.0012646464599,10.8283428675311,373.926092798094,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-5.2,93.7462599515923,11.9004585783922,305.837115187961,93.0617808742524,11.4601451647613,301.439388804255,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-5.1,91.645285482622,12.360329947689,292.911588523259,91.7795000332192,11.7102278594755,286.710097802829,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-5,89.6717012164883,12.8446433754828,279.739353402392,87.986629124974,11.4459638837983,258.527547782541,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-4.9,87.8205287729161,13.3485108372826,271.579692274006,88.0127728967939,12.561891424606,290.987756225837,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-4.8,86.0870581046803,13.8727285424325,264.69990227684,85.9927767394128,11.8906161617709,249.982110376176,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-4.7,84.4668376141618,14.3663911036045,258.142905522086,84.9074832893116,13.3853573854982,283.057009027212,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-4.6,82.9556645318987,14.8507895373597,251.893024037153,83.2922262640196,12.7300989822067,257.391132810836,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-4.5,81.5495755310243,15.356288304518,242.576728086892,81.5718326188065,15.679741914078,256.592581563179,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-4.4,80.2448375561605,15.8523564544613,237.133049452253,81.7708858027057,13.4101927198322,244.44278699252,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-4.3,79.0379388490426,16.3620782211748,230.208620268698,80.0978433676655,15.652503210062,243.110884996131,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-4.2,77.9255801556607,16.8904342717409,222.819191841219,76.9448974453802,15.9942989731415,222.057097729368,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-4.1,76.9046661010823,17.4398840246822,215.469508066549,77.7565104105201,14.5237445966414,232.788124278344,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-4,75.9722967194403,18.066482681236,206.876730954263,75.5120959427863,16.3539100426973,204.562365442735,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-3.9,75.1257591263512,18.7198306702,198.872000014773,75.4798578788173,16.7828022051441,221.380884925816,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-3.8,74.3625193213546,19.3554246515574,191.920801340503,74.4646145291648,17.190012036134,222.763976925925,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-3.7,73.6802141070086,20.0169012614252,185.42899508487,74.0149212600928,17.1921190875409,206.646553250056,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-3.6,73.0766431108444,20.6955923533014,180.171980256944,72.961228310727,19.6372858356454,190.280572439107,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-3.5,72.5497608950355,21.2717936346972,176.258524594595,72.7589742943589,18.0046015185349,179.100208184181,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-3.4,72.0976691377353,21.8483670863189,173.297551018659,71.4959212133019,20.4797353999725,181.10151047956,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-3.3,71.7186088687424,22.4459114964236,171.521618147813,71.1282387644043,20.6091122816276,182.103862988542,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-3.2,71.4109527408269,23.0672585442173,169.839867024205,71.9209845021668,22.5523696835971,188.891676317688,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-3.1,71.1731973170368,23.7152605347609,168.249896890636,71.5446184634344,21.9351930511945,185.590010326254,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-3,71.0039553529092,24.3910427811458,166.892699333699,71.6912919753387,22.7079403889512,182.147364455768,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-2.9,70.9019480515908,25.1969167075612,165.950188981859,71.1938011869481,24.7203893172724,181.274083485549,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-2.8,70.8659972689757,26.1254767060135,165.068485916627,70.5879596530236,24.4488626693236,164.462191146689,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-2.7,70.8950176450279,27.083925267121,164.246198762389,70.6837452995211,24.5442822712374,173.028934581813,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-2.6,70.9880086371276,28.1021987033177,163.481897415792,72.086611789656,25.2099907359262,164.071725409425,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-2.5,71.1440464307009,29.1176474036756,162.774112133632,70.9266790249169,25.9502417279745,160.946739111203,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-2.4,71.3622757025685,30.0633440385618,162.121332439567,71.4365879492426,27.2268087660954,164.724462577598,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-2.3,71.641901212431,30.9407666104077,161.188226445409,70.6426585315829,29.495012013022,159.556374612916,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-2.2,71.9821791986341,31.9322190910786,159.962057176228,71.4829434603013,28.7019470953323,167.276168230291,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
-2.1,72.3824085552566,32.989313594867,158.696716257568,72.3399975789369,29.4495694485118,169.846810685515,"Alkalinity Alafia R at Lithia","OOR","JAGS",8.1,2.5
